Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
41	Z2014121398	O=C(NC1CCN(C1)C(=O)NC=2C=CC=CC2)C3=NNC(=O)C4=CC=CC=C34	-10.75	0.949801	7.961688
42	Z757159634	CC=1N=C(NC(=O)C=2C=CC=3NN=NC3C2)SC1CC=4C=CC=CC4F	-10.73	0.975673	8.342033
43	Z1526785744	CC=1C=CC(=CC1S(N)(=O)=O)NC(=O)C2=CC(=NN2)C3CCCCC3	-10.72	0.936654	8.142141
44	Z4295861479	O=C(NC=1C=CC=C(C1)C=2C=CC(F)=C(F)C2)N3CCCC(C3)N4CCCS4(=O)=O	-10.72	0.796435	7.888816
45	Z17050353	COC=1C=CC=CC1NC(=O)COC(=O)C2=CC=3CCC4=CC=CC=C4C3S2	-10.72	0.822171	7.603904
46	Z2077302320	O=C(C=1C=C2CCC(=O)NC2=CC1F)N3CCCC(C3)C4=CC=CC(=C4)C(F)(F)F	-10.70	0.959387	8.386541
47	Z607780962	CC1=NC=CC(=N1)C2CCCN(CC(=O)NC=3C=CC=CC3C)C2	-10.69	0.964885	7.969696
48	Z95518275	O=C(NC=1C=CC=C(C1)S(=O)(=O)N2CCCC2)C=3C=CC=C(C3)N4CCCC4=O	-10.69	0.880149	7.782781
49	Z1901764055	CC=1C=CC=CC1C(=O)NC=2C=CC(=NC2)OC=3C=CC=CC3F	-10.69	0.894850	7.811733
50	Z2438921113	CC1=COC(=N1)C=2C=C(C=CC2C)NC(=O)C3=CN(N=N3)C4CCNCC4	-10.68	0.949222	8.127776
51	Z3289149629	O=C(CC=1C=CC=C(Cl)C1)NC=2C=CC(=NN2)C=3C=CC=CC3F	-10.68	0.926724	8.078107
52	Z134744308	CC=1C=CC(C)=C(C1)NC(=O)C(C)OC=2C=CC=C(C2)N3C=NN=N3	-10.66	0.810519	7.697019
53	Z1393755421	O=C(NCCC1=NN=C(O1)C=2C=CC=CC2)C=3C=C(F)C=C(C3)C(F)(F)F	-10.66	0.859585	7.793403
54	Z4661763805	CC1=CC=CC(C)=C1NC(=O)CN2N=NC(=N2)C=3C=CC=CC3C(F)(F)F	-10.65	0.622160	7.977064
55	Z1722984098	CN1C=NC(=N1)C=2C=CC=C(C2)NC(=O)NCCNC(=O)C=3C=CC=CC3Cl	-10.65	0.825384	7.547239
56	Z424313774	CC=1C=CC=C(N1)C(=O)NC2=NC=C(CC=3C=CC(F)=C(F)C3F)S2	-10.65	0.941889	8.404160
57	Z3325175559	CC1CCC2=NNC(C(=O)N3CC[C@H](C3)NC4=NC=NC5=CC=CC=C45)=C2C1	-10.64	0.988996	8.815239
58	Z1730012194	CN1CC=2C=C(C=CC2NC1=O)NS(=O)(=O)C=3C=CC=C(C3)C(F)(F)F	-10.64	0.890130	7.605556
59	Z66582523	CC=1C=C(C)C=C(C1)N2N=NN=C2SCC3=NC(=NO3)C=4C=CC=CC4	-10.64	0.547106	7.980321
60	Z1764124102	FC=1C=CC=CC1C2=NOC(CN3N=NC(CC4=CC=CC(Br)=C4)=N3)=N2	-10.63	0.935228	8.304528
61	Z1124012987	CC1=NN=NN1C=2C=CC=C(C2)NC(=O)C=3C=CC=C(C3)C(F)F	-10.63	0.916468	7.838476
62	Z981255214	CC=1C=CC=2C(=CNC2C1)CCNC(=O)CC3=NNC(=O)C=4C=CC=CC34	-10.63	0.958000	8.121756
63	Z4510611730	CC1=NC(=NN1)C=2C=CC=C(C2)NC(=O)NC(C)C3=NN=C(N3)C(F)(F)F	-10.63	0.955942	8.112045
64	Z16884694	CC(OC=1C=CC=C(C1)N2C=NN=N2)C(=O)NC=3C=CC=CC3C=4C=CC=CC4	-10.62	0.927401	8.270638
65	Z1562693582	C1=NNC=2C=C(C=CC12)CN3CCC(CC3)C4=NN=C5C=CC=CN45	-10.62	0.988477	8.430137
66	Z811278670	CC=1NN=C2N=CC(=CC12)C(=O)NC=3C=CC=C(C(=O)N4CCOCC4)C3C	-10.61	0.917264	7.910604
67	Z4510611739	CC(NC(=O)NC=1C=CC=C(C1)C=2C=CNN2)C3=NN=C(N3)C(F)(F)F	-10.60	0.933178	7.886483
68	Z2460729661	O=C(O)C1(CCOCC1)C(=O)NC=2C=CC(=CC2)OC=3C=CC=C(F)C3	-10.60	0.723562	7.428074
69	Z916354268	NC(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC(=CC2)C3=NN=NN3	-10.59	0.986678	7.705432
70	Z1344769994	CC=1C=C(N=C(C)N1)N2CCC(CC2)NC(=O)C=3C=CC=4NC(=O)COC4C3	-10.59	0.790412	7.517780
71	Z1272290164	FC=1C=CC(=CC1)OC=2C=C(C=CN2)CNC3=NC=NC4=CC(F)=C(F)C=C34	-10.59	0.986522	8.710572
72	Z1648038979	CC=1C=CC(=CC1)N2C=C(N=N2)C(=O)NC=3C=CC=C(C3)C=4N=CN(C)N4	-10.58	0.970156	8.164329
73	Z2506386628	CC(C)(C)OC(=O)NCCC1=NOC(=N1)C=2C=CC=C3NC(=O)NC23	-10.58	0.804436	7.453976
74	Z1683566263	FC=1C=CC(=C(C1)C2=NOC(CN3N=NC(=N3)C=4C=CC=CC4)=N2)C(F)(F)F	-10.58	0.439284	7.932320
75	Z135644896	O=C(CN1C=CC(=O)NC1=O)N2CCN(CC2)C3=CC=CC(=C3)C(F)(F)F	-10.58	0.711123	7.664384
76	Z1814596996	CN(C(=O)C1C(C2CCC1O2)C(F)(F)F)C=3C=CC(=NN3)C=4C=CC=CC4	-10.57	0.547368	7.600712
