Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
3766	Z4697930095	FC(F)COC=1C=CC=CC1CNCCC2=CC=C3C=NNC3=C2	-8.79	0.947311	7.482419
3767	Z107728842	COC=1C=CC(=CC1)C(=O)NC=2C=CC(=CC2)NC(=O)CO	-8.79	0.859439	6.714228
3768	Z2353575293	CCOC=1C=CN=C(N1)N2CCN(CC=3C=CC=C(C3)C(=O)O)CC2	-8.79	0.413232	7.022404
3769	Z56881791	O=C1C2=C(N=C3C=CC(=NN13)NCC4=CC=CO4)SC=5CCCCC52	-8.79	0.586939	7.791089
3770	Z1230213319	CC1(C)C(=O)NC(=O)N1CC(=O)NC=2C=CC(=CC2)CCN3CCOCC3	-8.79	0.916132	7.658406
3771	Z1455207709	O=C(O)C1CN(CCO1)C(=O)C=2C=C3CCC(=O)NC3=CC2F	-8.79	0.881898	7.181057
3772	Z3508450127	C[C@@H](O)[C@H](NC(=O)C=1C=CC=2OC(C)CC2C1)C(=O)O	-8.79	0.771881	6.443201
3773	Z1117167563	COC(=O)C1CN(CCO1)C(=O)NCC=2C=CN=C(C2)N3CCCCC3	-8.79	0.763801	7.002185
3774	Z2895293615	COC=1C=CC(=CC1OC)CCNS(=O)(=O)C2=CC=C(Cl)C(C)=C2	-8.79	0.849154	7.476710
3775	Z1276317806	CN1N=CN=C1CNC(=O)C2=CN(N=N2)C=3C=CC=CC3	-8.79	0.760230	7.320526
3776	Z2755767454	CC1=NC=2C=CC(O)=CC2C=C1C(=O)NCC(C)N3CCOCC3	-8.79	0.741045	7.180888
3777	Z1983691247	CC=1C=CC(=C(C)C1)S(=O)(=O)NCCC=2C=CC=C(N2)C(=O)O	-8.79	0.929610	7.482393
3778	Z1738536772	[O-][N+](=O)C=1C=CC=C(Cl)C1S(=O)(=O)NCC(CC=2C=CC(Cl)=CC2)C(=O)O	-8.79	0.587302	7.786393
3779	Z3104950899	C[C@H](NC(=O)NCC1CC(=O)N(C1)C2CC2)C3=CN=CC(F)=C3	-8.78	0.948379	7.693850
3780	Z2735671157	O=C(CN1C=NC=2C=3C=CC=NC3SC2C1=O)NCC4=CC=CO4	-8.78	0.487146	7.398898
3781	Z3005518094	NC1CCC(=O)NC1C2CCCN(C2)S(=O)(=O)C3=CC=CC=C3[N+]([O-])=O	-8.78	0.833455	7.729074
3782	Z2483073232	CN(CC1=NOC(CCCC(=O)O)=N1)CC=2C=C(Cl)C=CC2F	-8.78	0.560181	7.318142
3783	Z1449834185	CC1=NOC(CCCNC=2N=C(N=C3CCCC23)C4=CC=CN=C4)=N1	-8.78	0.782853	8.118215
3784	Z2044085317	CC=1C=C(CNC(=O)NC2CCN(CC2)C=3C=CC=CC3)N(C)N1	-8.78	0.686382	7.034044
3785	Z3827771942	CC=1OC(=NC1C(=O)N[C@@H]2CC[C@H](CC2)OC=3C=CC=CC3)C4CC4	-8.78	0.624609	7.593522
3786	Z744372466	CCC=1C=CC=C2C(=CNC12)C3CCN(CC3)C(=O)NC(C)C=4C=CN=CC4	-8.78	0.826181	7.961622
3787	Z651699820	CC1=CC=C(C(=O)NC(C)CC=2C=CC=C(Cl)C2)C(=O)N1	-8.78	0.757109	7.138568
3788	Z2984214784	CC=1C=CN=C(C1Cl)N2C[C@H](C(=O)O)[C@H](C2)C3CC3 |&1:10,14,r|	-8.78	0.714921	7.306497
3789	Z2915349630	CC=1C=CC=C(C1)C=2C=CC=C(C2)C(=O)N3C[C@@H](CO)[C@H](CO)C3 |&1:17,20,r|	-8.78	0.987044	7.592903
3790	Z1602154245	CN(C(=O)C=1C=CC=C(N1)C(=O)N2CCCC2)C=3C=CC(F)=C(Cl)C3	-8.78	0.590774	7.437901
3791	Z2438271744	CC1=CC(=C(C)O1)C2=NN=C(CNC3CCCC4CC34)O2	-8.78	0.853070	7.633106
3792	Z752065690	O=C(NC=1C=NN(C1)CC2CCCO2)NC3CCN(CC3)C(=O)C=4C=CC=CC4	-8.78	0.710403	7.468598
3793	Z1801849912	CC(=O)N1CCN(CC1)C(=O)C(C)OC2=CN=C3C=CC=CC3=C2	-8.78	0.549780	6.955606
3794	Z1751845614	CC(C1CC1)N2C=C(C=N2)NC(=O)NC3CCN(CC3)C(=O)C4=CC=CO4	-8.78	0.758388	7.739422
3795	Z2056255109	CC(=O)N1CCCC(O)(C1)C(=O)N2CC=C(CC2)C=3C=CC=CC3	-8.78	0.759645	7.474889
3796	Z126604944	COC=1C=C(C=CC1OCC=2C=CC=CC2)CN(C)CC3=NN4C(=O)C=C(C)N=C4S3	-8.78	0.941540	7.934670
3797	Z3991894765	CC1(C)C(=O)NC=2C=C(C=CC21)C(=O)NC=3C=CC(=CC3)C=4C=NNC4	-8.78	0.970411	7.899816
3798	Z368148874	COC(=O)COC=1C=CC=C(C1)NC(=O)C=2C=C(Cl)C=CN2	-8.78	0.872746	7.161562
3799	Z2448358294	O=C(NC=1C=CC(=CC1)C2=CN=C(O2)C3CC3)C4=CN(N=N4)C5CCNCC5	-8.78	0.946362	7.824563
3800	Z1944024265	CC=1C=CC(=C(C)C1)C2CCN(C2)C(=O)C(C)(O)CN3C(=O)C=CC=C3C	-8.78	0.877935	7.969838
3801	Z2755633750	O=C(O)[C@@H]1C[C@H]1C=2C=CC(=CC2)NC(=O)C3CC4=CC(F)=CC=C4O3 |&1:3,5,r|	-8.78	0.883856	7.019799
3802	Z1309549897	CC1=NN=C2C=CC(=NN12)N3CCC(O)(C3)C(F)(F)F	-8.78	0.395792	6.829440
3803	Z1339262366	CS(=O)(=O)CC=1C=CC=CC1NC(=O)NC2CCN(CC2)C3CCCC3	-8.78	0.953225	7.673219
3804	Z3586334519	CC=1N=C(NC(=O)C1C(=O)N2C[C@H]3C[C@H](CO)C[C@H]32)C4=CC=CO4 |&1:12,14,18,r|	-8.78	0.723412	7.668955
3805	Z2370148136	CC(C)OC=1C=CC=C(C1)C2=NOC(=N2)C3CN(CC(F)(F)F)C3	-8.78	0.702289	7.140841
3806	Z414250060	NC(=O)C=1C=C(C=CC1F)NC(=O)NCC2=CC=CO2	-8.78	0.913508	7.032587
3807	Z1401918765	CS(=O)(=O)NC1CCCC1CNC(=O)C=2C=NN3C=CC=NC23	-8.78	0.915781	7.676584
3808	Z2180675275	CC1CN(CC(C)S1(=O)=O)C(=O)NCCC2=NC=3CCCCC3S2	-8.78	0.628235	7.535116
3809	Z3173822086	O=C(O)C=1C=CC=C(C1)CC(=O)NC2=NC=C(CC3CCCO3)S2	-8.78	0.739435	7.249460
3810	Z2439532354	CC(C=1C=CC=CC1)N2C=C(C=N2)NC(=O)N3C[C@H](C)C[C@H](O)C3 |&1:18,21,r|	-8.78	0.404911	7.207534
3811	Z3071581123	CC(C)C1=NSC(=N1)NCC=2C=CC=C(N2)C=3C=CC=CN3	-8.78	0.919632	7.891022
3812	Z1444503398	CC(C(=O)O)N(C(=O)C1=CC=CC(=C1)CC#N)C2CC2	-8.78	0.945551	7.293656
3813	Z2371982097	CNC(=O)C1CCN(CC=2C=CC(=CC2)C=3C=CC=CC3OC)C1	-8.78	0.818140	7.258512
3814	Z2482955980	COC=1C=CC(=CC1)CC2CCN(CC=3N=CC=CC3C(=O)O)CC2	-8.78	0.718604	7.425316
3815	Z2149955722	CN(C(=O)C1=CSC(=N1)C=2C=CC=3OCCOC3C2)C=4N=CC=CN4	-8.78	0.478312	7.449492
3816	Z1646180145	CN1C(CN2C=NC3=C(C=NN3C(C)(C)C)C2=O)=NN=C1C4CCC4	-8.78	0.654006	7.991168
3817	Z3045985883	NC1CN(CC21CCC2)C(=O)NCC3=CC(=O)N4C=CC=CC4=N3	-8.78	0.618368	7.370336
3818	Z2362267985	O=C(O)CCC(CC=1C=CC=CC1)NC(=O)NC=2C=CC=3N=C(OC3C2)C4CC4	-8.78	0.755662	7.640470
3819	Z136484584	O=C(NCCC1=NC=2C=CC=CC2N1)C3=CN=CN3C=4C=CC=CC4	-8.78	0.820791	7.732287
3820	Z1786642242	COCCN1C=C(C=CC1=O)NC(=O)CC2=CN=C3C=CC=CC3=C2	-8.78	0.905406	7.771917
3821	Z1625440471	CC=1C=CC(=CC1O)C(=O)N(C)C2CCN(CCN3C=CC=N3)CC2	-8.78	0.610019	7.288068
3822	Z2444384807	CCN(CCC1=NOC(CC2=CC=C3OCCCC3=C2)=N1)C(C)=O	-8.78	0.928916	7.934697
3823	Z4509024445	O=C(NC(CO)CC=1C=CC=C(F)C1)C2=CC=3C=CC=CC3S2	-8.78	0.727379	7.212511
3824	Z2054899886	O=C(CCN1N=C2C=CC=CN2C1=O)N3CCC[C@H]3CN4C=CN=N4	-8.78	0.575454	7.360271
3825	Z1443611664	COC=1C=CC(=CC1OC)C(CC(=O)O)NC(=O)C2CC3=CC(F)=CC=C3O2	-8.78	0.588945	7.216064
3826	Z340226156	CC=1C=CC=2C(=O)N(C(=O)C2C1)C(C)C(=O)NC=3C=CC=CC3NS(C)(=O)=O	-8.78	0.774269	7.570806
3827	Z750204000	CSC=1C=CC(Cl)=C(C1)C(=O)NC=2C=CC=C(C2)CN3C=NC=N3	-8.78	0.950491	7.958664
3828	Z1974308302	CN1C=NC(=N1)C=2C=CC(=CC2)NC(=O)[C@@H]3CC[C@H](CC3)C(=O)O	-8.78	0.757050	7.063008
3829	Z2054376938	CO[C@H]1C[C@@H](C(N)=O)N(CCC=2C=CC=C(C2)OC(F)(F)F)C1	-8.78	0.904522	7.440980
3830	Z1445272198	O=C(O)C1CN(CCO1)C(=O)CC=2C=CC(=CC2)N3C=NN=N3	-8.78	0.860218	7.126812
3831	Z1507899036	CC=1C=C(C(=O)O)C(F)=C(C1)S(=O)(=O)NC=2C=CC=C3NN=CC23	-8.77	0.880798	7.903828
3832	Z4479602832	COC=1C=CC=C(C1)CN2CCC(CC2)C(=O)N3CCCC=4C=CC=CC43	-8.77	0.805038	7.761235
3833	Z1417633144	O=C(NC=1C=C(F)C=CC1OC(F)F)C2=CSC(=N2)C=3C=CC=CN3	-8.77	0.887407	7.834334
3834	Z809601220	CCC1=NOC=2N=CC(=CC12)C(=O)NCC=3C=CC=CC3N4C=CN=C4	-8.77	0.765515	7.596700
3835	Z1171675137	O=C(C1=CC(=O)NC=2C=CC(Cl)=CC12)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4F	-8.77	0.424503	7.557552
3836	Z594300272	COC=1C=CC=CC1NC(=O)N2CCN(CC2)C3=NC=4C=CC=CC4S3	-8.77	0.643443	7.470716
3837	Z3632662273	COC=1C=CC(=CC1)C2=NOC(=N2)N[C@H]3C[C@](F)(CN)C3	-8.77	0.763064	6.808974
3838	Z2836665818	O=C(CN1CCC(C1)N2C=CN=N2)NC=3C=CC(Cl)=C(Cl)C3	-8.77	0.982536	7.813073
3839	Z89238691	O=C(NC=1C=CC(=CC1)C2=CSC(=N2)NCC3CCCO3)C=4C=CC=CC4	-8.77	0.914150	7.774362
3840	Z2988926557	CC1=NC2=CC(=O)NN2C(C)=C1CC(=O)NC[C@@H]3C[C@H]3C4=CC=CO4 |&1:17,19,r|	-8.77	0.706874	7.707208
3841	Z1568752542	CC1=NC(CN2CCN(CC3=CC=C(O3)C=4C=CC=CC4)CC2)=NO1	-8.77	0.585631	7.082712
3842	Z2169310658	CC=1C=CC=NC1OC2CCN(CCN3CCOCC3)CC2	-8.77	0.835005	7.030596
3843	Z2482962409	COC=1C=CC=CC1CC2CCN(CC=3N=CC=CC3C(=O)O)CC2	-8.77	0.837880	7.609949
3844	Z2637759105	CCN1N=CC=C1C2CCN(CC2)C(=O)CC(N3C=CC=N3)C(F)(F)F	-8.77	0.894616	7.901628
3845	Z2197790216	O=C(CCC=1C=CC=2C=CC=CC2N1)N3CCC=4C=CC=CC4C3CO	-8.77	0.748435	7.566395
3846	Z2439487805	CC1CCC(C)N1CCN2CCN(CC2)C(=O)CN3CCNCC3=O	-8.77	0.443550	6.963637
3847	Z2362319896	O=C(O)C1CCC(CC1)NC(=O)NC=2C=C3CCCCN3N2	-8.77	0.797984	7.032661
3848	Z2963308229	CC=1C=CC(=CC1)C=2C=C(ON2)C(=O)N3CCOCC3CC4CC4	-8.77	0.559751	7.109809
3849	Z2966540674	CC1(C)CN(C(=O)CCCC2=NN=NN2)[C@H]3CCC[C@H]31 |&1:15,19,r|	-8.77	0.926253	7.773305
3850	Z1980550438	CC=1C=CC(=CC1C(N)=O)NC(=O)NCC2=NOC(=N2)C3=CC=CC(Br)=C3	-8.77	0.875997	7.536759
3851	Z1981707116	O=C(CC1=CSC(=N1)C2=CC=CC=N2)NCC34CCCN4CCC3	-8.77	0.978445	8.323668
3852	Z1480241239	O=C(NCC1(O)CCCCC1)NC2CCCN(CC(F)(F)F)C2=O	-8.77	0.475233	6.982659
3853	Z51844447	CC=1C=CC(=CC1)NC(=O)C2CC(=O)N(C2)C(C)C=3C=CC=CC3	-8.77	0.825258	7.339230
3854	Z3716724460	O=C(NC=1C=C2CCCN2N1)NC=3C=CC(=CC3)CN4C=CN=C4	-8.77	0.862693	7.442215
3855	Z1353085948	CC=1C=CC(=CC1Cl)NC(=O)NC2CC(=O)N(C2)C(C)(C)C	-8.77	0.960833	7.641460
3856	Z1569640673	CC(=O)N(CC1=NOC(=N1)C(C)C)C2CCN(CC=3C=CC=4C=NNC4C3)C2	-8.77	0.795745	8.045550
3857	Z1198381713	CC(OC1CCCC1)C(=O)NC=2C=CC(=CC2)NC(=O)C(C)N3C=NC=N3	-8.77	0.900989	7.518296
3858	Z2067538466	CC=1C=NN(C)C1S(=O)(=O)NC=2C=CC=3COCC3C2	-8.77	0.849661	7.514763
3859	Z3803800571	O=C(O)C1C[C@H]2C[C@H](NC(=O)[C@H]3[C@@H]4CC(F)(F)C[C@H]34)[C@H]2C1 |&1:5,7,19,r|	-8.77	0.657503	6.732851
3860	Z31769858	CC=1C=CC(=CC1)NS(=O)(=O)C=2C=CC=C(C2)C(=O)NCC=3C=CC=CN3	-8.77	0.791263	7.023808
3861	Z4119276272	COC1=CC(=CC(=C1)C(=O)NCCC=2C=NN(N2)C=3C=CC=CC3)OC	-8.77	0.840426	7.376982
3862	Z3174128823	CC=1N=CC(=CC1C(=O)NCC2CCCN2C=3C=CC=CC3)C(=O)O	-8.77	0.879063	7.474340
3863	Z1205127025	CN1CC(=O)N(CCCC(=O)N2CCCC3(CC=CCC3)C2)C1=O	-8.77	0.661638	7.208945
3864	Z1278750911	O=S(=O)(CC1CCCCO1)NC=2C=C(C=CC2O)C(F)(F)F	-8.77	0.830406	7.065038
3865	Z4521999020	COC1CN(C)C(C)(C1)C(=O)NC2CCN(C2)C=3C=CN4N=CC=C4N3	-8.77	0.870138	7.692649
3866	Z2761501577	CC1=NOC(=N1)[C@@H]2C[C@@H](O)[C@@H](CNC=3C=NC=C(C)N3)C2	-8.77	0.870293	7.570309
3867	Z1851610245	CN1CCN(CC2CCN(CC2)C(=O)CC=3C=CC(=CC3)C(N)=O)CC1	-8.77	0.789282	7.327405
3868	Z118608034	CS(=O)(=O)N1CCCC=2C=C(C=CC21)C3=CSC(COC=4C=CC=CC4)=N3	-8.77	0.759023	7.754086
3869	Z53834609	CC1=CC(C)=NC(=N1)NC(=O)COC=2C=CC=CC2C	-8.77	0.723254	7.037178
3870	Z2963550165	CC=1C=CC=C(CC(=O)NC2CCC=3N=NN(C)C3C2)C1Cl	-8.77	0.906089	7.630651
3871	Z1691167419	CC1=C(C=NN1C=2C=CC(F)=CC2)C(=O)N3CC(C3)OC=4C=CC(C#N)=CC4	-8.77	0.666307	7.596514
3872	Z1376327585	CC=1C=C(C(=O)NCCC2=CSC(=N2)C=3C=CC=CC3)N(C)N1	-8.77	0.975037	7.787918
3873	Z2755578727	CCC1=NOC(C)=C1CNC(=O)CC=2C=CC=C(C2)C(=O)O	-8.77	0.934540	7.359640
3874	Z666586862	CC=1C=CC=C(C1)C2=NC=3C=CC=CC3C(=O)N2	-8.77	0.986590	7.489424
3875	Z1223169788	CSC1CCCC(C1)NS(=O)(=O)C=2C=CC=3NC(=O)NC(=O)C3C2	-8.76	0.825312	7.692895
3876	Z746659030	CC=1C=CC(=NC1)NC(=O)C2=CC(CC(C)C)=NN2	-8.76	0.971725	7.615715
3877	Z3136392806	O=C(NCCC=1C=CC=C2OCCOC12)C3NCC43CCCC4	-8.76	0.794975	7.140862
3878	Z2949680410	CC1=CN2C(=O)C=C(CN3C[C@@H](F)C[C@H]3CO)N=C2S1	-8.76	0.727787	7.265110
3879	Z2091300679	CC=1C=CC(=CC1)CC(C)C(=O)NCC2CCCCC2NS(C)(=O)=O	-8.76	0.859157	7.987241
3880	Z3363335355	CC1=CC(=CC(C)=N1)CNC=2C=CC(F)=C(C2)S(=O)(=O)N(C)C	-8.76	0.907919	7.462803
3881	Z1512278036	CC1C=2C=CC=CC2CCN1C(=O)NC=3C=CC=C(C3)C4=NC=CO4	-8.76	0.868922	7.643461
3882	Z2960802081	COC1(CO)CCCN(C1)C(=O)C2=CNC=C2CC=3C=CC=CC3	-8.76	0.857083	7.459426
3883	Z4656724030	FC(F)(F)C1=NC(CN[C@@H]2CC[C@H](CC2)NC=3C=CC=CN3)=C4CCCCN14	-8.76	0.808152	8.144053
3884	Z445143046	NC1CCC(CC1)NC(=O)C=2C=NN(C2)C=3C=CC=CC3	-8.76	0.890632	7.286795
3885	Z3687063536	O=C(N[C@@H]1CC(CN2C=CN=C2)C[C@H]1O)C=3C=CNC3C4CCC4 |&1:3,13,r|	-8.76	0.904769	7.550541
3886	Z1736558768	CNC(=O)CN1CCN(CC1)C(=O)NC=2C=CC(=NN2)C(F)(F)F	-8.76	0.982364	7.705191
3887	Z15686091	CC(NC(=O)COC=1C=CC=CC1C(N)=O)C=2C=CC(=CC2)C=3C=CC=CC3	-8.76	0.629239	7.346584
3888	Z1720334806	O=C(C=1C=CC(=CC1)C2=NOC(=N2)C(F)(F)F)N3CCCO3	-8.76	0.815445	7.027434
3889	Z408688314	O=C(C=1C=CC=2C=CNC2C1)N3CCN(CC=4C=CC(=CC4)OC(F)(F)F)CC3	-8.76	0.422979	7.271858
3890	Z2295144248	O=C(NC=1C=CC=C(N1)C2CC2)N3CCC(CN4CCCCC4)C3	-8.76	0.942076	7.854026
3891	Z3508655979	CN1N=CC(C(=O)O)=C1C(=O)N2CCC(C2)OC=3C=CC(Cl)=CC3	-8.76	0.508764	7.004146
3892	Z2201388102	CN(C)S(=O)(=O)CCC(=O)N1CCC(CC1)C2=CNC3=CC=C(F)C=C23	-8.76	0.716987	7.592018
3893	Z1321659457	COCC(NC(=O)N1CCN(CC1)C=2C=CC=C(O)C2)C3=CC=C(C)O3	-8.76	0.296264	6.916322
3894	Z1672611281	CCOC=1C=CC(=CN1)S(=O)(=O)NC=2C=CC(=CC2F)C(=O)O	-8.76	0.909602	7.475138
3895	Z4429305314	CC=1C=CC(=CC1)NC=2N=CC(=CN2)C=3C=CC(=O)N(C)C3	-8.76	0.796056	7.498016
3896	Z1537612372	O=C(NC=1C=CC=C(C1)N2CCCNC2=O)C=3C=CC(=NC3)OCC(F)F	-8.76	0.983597	7.835908
3897	Z2685114968	CC1=CC=C(CNC[C@H]2CC[C@H](O2)C3=NC(C)=NO3)O1 |&1:8,11,r|	-8.76	0.762950	6.946943
3898	Z146330020	CC(C)N1N=CC=2C=C(C=NC21)NC(=O)C=3C=NC4=CC=CC=C4N3	-8.76	0.721742	7.701625
3899	Z164974318	O=C(NC=1C=CC(OC(F)F)=C(C1)CC=2C=CC=CC2)C3=CN=CC=N3	-8.76	0.855197	7.860280
3900	Z2997307289	CC(C)CN1C=CC=C(C2=NC(=NO2)C=3C=NC=NC3)C1=O	-8.76	0.789487	7.440964
3901	Z749764772	O=C(C=1C=CC(F)=CC1F)N2CCC(CC2)C3=NN=C4CCCN34	-8.76	0.811715	7.792433
3902	Z3717179556	CC1=CC=CC2=C1CCN2C(=O)NC=3C=C(C=CC3C)C(N)=O	-8.76	0.951176	7.574419
3903	Z3027211502	F[C@H]1C[C@H]2CN(CCN2C1)C=3C=CN=C(CSC=4C=CC=CC4)N3	-8.76	0.575330	7.287649
3904	Z2960455071	O=C(C=1C=CC(=C(F)C1)C(F)F)N2CCCC(C2)N3C=CN=N3	-8.76	0.660872	7.458314
3905	Z1346293371	CC=1C=C(N=C(C)N1)N2CCC(CC2)NC(=O)N[C@H]3C=4C=CC=CC4C[C@H]3O	-8.76	0.523285	7.380833
3906	Z2897426987	CCC1=NC=C(CN2CCC(CC=3C=CC=CC3C(=O)O)CC2)S1	-8.76	0.622939	7.293904
3907	Z1894588751	CC1=CC(=CC(=C1)NC(=O)C=2C=CC=C(C2)CN3C=CN=C3)OCCO	-8.76	0.772968	7.243084
3908	Z1761011900	CC(OC=1C=CC=CC1Cl)C(=O)N2CCC(C2)N(C)CC3=NC=CC(N)=N3	-8.76	0.745915	7.673051
3909	Z4464308362	CC(C)(C)OC(=O)N1CC2CC(NC(=O)C=3C=C(N=C(C3)C(F)(F)F)C4CC4)C2C1	-8.76	0.912950	7.949335
3910	Z1990788552	COCCC(CO)NC(=O)NC=1C=CC(=CC1)C2=NC(=NO2)C(C)C	-8.76	0.834758	7.238269
3911	Z1603709880	CC(C)N1CC(CC1=O)C(=O)NC(CC2=CNC=3C=C(F)C=CC23)C(=O)O	-8.76	0.888258	7.797441
3912	Z1892704562	COC=1C=CC=C(C)C1NC(=O)N2CCC(CC2)N3CCCNC3=O	-8.76	0.748215	7.586299
3913	Z2948423784	COC(=O)C1=CC=C(NC(=O)NCCN2CCC(O)CC2)C(F)=C1	-8.76	0.949721	7.246428
3914	Z3052459642	CC1(COC1)C(=O)NCC2=NC(=NN2)C=3C=CC=CN3	-8.76	0.899854	7.159672
3915	Z1149279059	CC1=NOC(C)=C1CCNC(=O)N2CCN(CC2)C=3C=CC=C(C)C3	-8.76	0.848318	7.510233
3916	Z1757706004	CC(=O)NCC=1C=C(C=CN1)OC2CCN(C2)C=3N=CC(F)=CN3	-8.76	0.689260	7.387044
3917	Z2295969047	CC(CC(=O)N1CCC(CC=2C=CC=CC2C(=O)O)CC1)C=3C=CC(F)=CC3	-8.76	0.832271	7.835914
3918	Z1545098613	CC(C)(C)C1CC(CCO1)NC(=O)NCCC2=NC=3C=CC=CC3N2	-8.76	0.978763	7.990056
3919	Z410101444	CC=1C=CC(=CC1)CNC(=O)NC=2C=CC=C(C#N)C2	-8.76	0.948062	6.980140
3920	Z27694196	COC=1C=C(C=CC1OCC=2C(C)=NOC2C)C(=O)NCC=3C=CC=4OCOC4C3	-8.76	0.857325	7.742803
3921	Z1939512027	CC=1C=C(C)C(C(=O)NC=2C=CC=C(C2)C(N)=O)=C(N1)OC3CCC3	-8.76	0.934740	7.579570
3922	Z324816266	CN(CC1=NC=2C(=O)N(C)C(=O)N(C)C2N1)CC=3C=CC(=CC3)C(F)(F)F	-8.76	0.380418	7.303479
3923	Z3686124813	O[C@@H]1CC(CN2C=CN=C2)C[C@H]1NC3CCN(CC3)C=4C=CC=CC4 |&1:1,11,r|	-8.76	0.781117	7.727238
3924	Z3206916689	CS(=O)(=O)C[C@@H]1CCN1C(=O)C2=CC=3C=CC(=CC3NC2=O)C(F)(F)F	-8.76	0.792472	7.699998
3925	Z1724186943	COC1(CCCCC1)C(=O)NC2CCN(CC=3C=CC=CC3C)CC2	-8.76	0.775999	7.386744
3926	Z3827524932	O=C(NC[C@H]1CCCCN1)C=2N=CC=CC2S(=O)(=O)N3CCC4=CC=CC=C4C3	-8.76	0.707250	7.804437
3927	Z73313876	CC(=O)N1CCC2=CC(=CC=C21)NC(=O)CN3C(=O)NC(C)(C3=O)C4CC4	-8.76	0.966136	8.102486
3928	Z2212415030	CC1CC(CCN1CC=2C=CC=CC2)NC=3N=CN=C4C3N=CN4C5CC5	-8.75	0.964192	8.277469
3929	Z1787168739	O=C(NCCC1=CCCC1)C2=CC(=CC=N2)N3CCOCC3	-8.75	0.881170	7.196786
3930	Z82184304	CC1=NN=C(NC(=O)CN2N=C(OC2=O)C=3C=CC=CC3)S1	-8.75	0.828187	7.228520
3931	Z2227534195	CC=1N=C(OC1CNC(=O)C2COC=3C=CC=CC3O2)C(C)C	-8.75	0.879668	7.213592
3932	Z2233695081	CN1CC[C@H]2CN(C[C@H]2C1)C(=O)CC3=CSC(=N3)C=4C=CC=CN4	-8.75	0.731654	7.703657
3933	Z2434049312	N#CCC=1C=CC=C(N1)N2CCCC2C3CCCOC3	-8.75	0.968859	7.781637
3934	Z1609479068	CC=1C=CC(NC(=O)C2=CC=C(O2)C(=O)O)=C(C1)OCC(F)(F)F	-8.75	0.834160	6.959732
3935	Z1280557447	CC=1C=C(F)C=C(C1)C(=O)NC2=CC(=NN2)C3CC3C	-8.75	0.848353	7.287848
3936	Z1444769334	CC(CC(=O)N1CCOCC1C(=O)O)C=2C=CC=CC2F	-8.75	0.712649	6.933912
3937	Z729265714	O=C(O)C=1C=CC=CC1OCC=2C(Cl)=CC=C3C=CC=NC23	-8.75	0.672070	7.298259
3938	Z2982743144	OC1CCN(CC2=CN(N=N2)C3CCN(CC=4C=CC=CC4)C3)CC1	-8.75	0.866395	7.836899
3939	Z1391813852	CC1=C(OC=2C=CC=CC12)C(=O)NC3CCN(C3=O)C=4C(F)=CC=CC4F	-8.75	0.522279	7.543240
3940	Z1400766694	CN1C=NC=C1CNC2CCN(C2)C(=O)CCC=3C=CC=CC3	-8.75	0.787087	7.183192
3941	Z1773668375	CC(C)OC1=CC=C(NC(=O)N2C3CCC2CC(O)C3)C(Cl)=C1	-8.75	0.839671	7.801944
3942	Z2025764521	CC=1C=CC(=CC1NCC2CCN(CC2)C(=O)CC(C)C)N3C=NN=N3	-8.75	0.955053	8.070343
3943	Z2365324591	O=C1[C@H]2CN(CC=3C=CC=CC3)C[C@H]2C(=O)N1CC=4C=CC(=CC4)C(F)(F)F	-8.75	0.735765	7.747341
3944	Z1376321886	O=C(NCCC1=CSC(=N1)C=2C=CC=CC2)C=3C=C(Cl)C=CN3	-8.75	0.793087	7.542005
3945	Z2361583684	CC=1C=CC(=CC1C)CS(=O)(=O)N[C@H](CC=2C=CC=CC2)C(=O)O	-8.75	0.849231	7.353317
3946	Z604682374	O=C(NC=1C=CC=2NC(=O)COC2C1)N3CCN(CC4=CC=CN=C4)CC3	-8.75	0.793292	7.450656
3947	Z2596726766	CC1=NC(C)=C(CNC(=O)C2=CC=CC(=C2)OCC(=O)O)O1	-8.75	0.921164	7.100644
3948	Z45630538	CC=1C=CC=CC1NS(=O)(=O)C=2C=C(C=CC2C)[N+]([O-])=O	-8.75	0.824085	7.293709
3949	Z2480543567	CCC=1C=C(C=CC1C)NC(=O)CC2=CN3CCCCC3=N2	-8.75	0.809890	7.564427
3950	Z1507495969	COC=1C=C(C=CC1C(=O)O)CNC(=O)C2CC=3C=CC=CC3O2	-8.75	0.621968	6.707640
3951	Z19573506	CC1=CC(C)=NC2=NC(=NN12)C(=O)OCC=3C=CC(Cl)=CC3	-8.75	0.558752	7.051605
3952	Z2951240475	NC(=O)C=1C=CC(=CC1)CN2CCC(C2)N3C=C(N=N3)C4CC4	-8.75	0.484352	7.368658
3953	Z3056903459	C[C@@H]1CN(C[C@H]1O)C(=O)CSC2=NN=C3C=CC=CN23 |&1:1,5,r|	-8.75	0.544389	7.221817
3954	Z3278062183	OCC=1C=CC(F)=C(C1)CNC23CCCC3NCC2	-8.75	0.980972	7.457076
3955	Z3024745800	CN1C=CN=C1C2(CNC(=O)C=3C=CC(=NC3)C=4C=CC=CC4)NC(=O)NC2=O	-8.75	0.735413	7.820898
3956	Z2439533235	CC(C=1C=CC=CC1)N2C=C(C=N2)NC(=O)NC3CCCN(CCCO)C3	-8.75	0.505610	7.171808
