Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)	CNN_affinity	CNN_score
1475	Z1886412830	O=C(CNC(=O)C=1C=CC=C(Br)C1)N[C@@H]2CCC[C@H]2C=3C=CC=CC3	-10.04295	5.88159	0.4981
1476	Z123560804	O=C(C1=CC=2CCCCC2S1)N3CCCC(C3)C4=NN=C5C=CC=CN45	-10.04293	6.79145	0.59792
1477	Z4561574225	COC=1C=CC(=CC1)CC2CCN(CC2)C(=O)C=3C=C(ON3)C4CCC4	-10.04286	6.95323	0.62072
1478	Z30180992	O=C(NC=1C=C(Cl)C=C(Cl)C1)C2CCN(CC2)S(=O)(=O)C3=CC=C(F)C(F)=C3	-10.0425	6.47735	0.28589
1479	Z230873816	O=C(NC=1C=CC=C(Cl)C1)N2CCN(CC2)C(=O)N3CCCCC3	-10.04206	5.2797	0.27968
1480	Z2234892440	CCC1NC(=O)N(C1=O)C=2C=CC=C(C2)NC(=O)NCCC=3C=CC(=CC3)OC	-10.04197	6.63398	0.69966
1481	Z2010800910	CC=1C=CC=2C(C)=CC(=NC2C1)N3CCCC(CNC(=O)C4=CC=CO4)C3	-10.04191	6.08527	0.50375
1482	Z2842632951	CCC=1C=CC(=CC1)C2=CC(=NO2)C(=O)N3CCC(CC3)OC4CCC4	-10.04176	6.25119	0.46793
1483	Z126938554	O=C(COC=1C=CC=CC1)N2CCC(CC2)N3C(=O)NC=4C=CC=CC43	-10.04118	6.6498	0.56299
1484	Z3017943227	NS(=O)(=O)C=1C=CC(=CC1)CCNC(=O)CN2C=NC(=CC2=O)C=3C=CC=CC3	-10.04099	6.43599	0.40752
1485	Z27233991	COC=1C=CC(=CC1)CCC(=O)N2CCN(CC2)S(=O)(=O)C=3C=CC=CC3C#N	-10.04087	6.70936	0.50503
1486	Z2877088316	CC(C)N1C=C(N=N1)C2=CCCN(CC2)C3CCOC4(CCCCC4)C3	-10.04078	6.39408	0.36049
1487	Z131666170	CC=1C=CC(=CC1)S(=O)(=O)N2CCCN(CC2)C(=O)CCC3=CNC=4C=CC=CC34	-10.04031	6.71934	0.29758
1488	Z1756321500	O=C(NCC=1C=C(F)C=CC1F)NC2=CC=3CCC(=O)NC3C=C2F	-10.04019	6.19873	0.62732
1489	Z45693415	O=S(=O)(NC=1C=C(C=CC1O)S(=O)(=O)N2CCOCC2)C3=CC=C4OCCOC4=C3	-10.04014	6.47106	0.50012
1490	Z30659477	CC=1SC(=NC1C=2C=CC(F)=CC2)NC(=O)CN3C(=O)C=NC4=CC=CC=C43	-10.03988	6.89885	0.56208
1491	Z2626323590	CC(NC(=O)C=1C=CC(=CC1)C2CC2)C(=O)NC=3C=CC=C(C3)N4CCCC4	-10.03903	6.59885	0.55302
1492	Z2622169212	COC=1C=CC=CC1COC2=CC=CC(NC(=O)NC3CCCCC3C#N)=C2C	-10.03894	6.91868	0.65733
1493	Z1118705139	CC1CCN(CC1)C(=O)C=2C=CC(=CC2)NC(=O)C3=CN=C(S3)C4=CC=CO4	-10.03815	6.41806	0.43677
1494	Z1506359131	COC=1C=CC(=CC1)C=2C=CC(C(=O)NC[C@H]3CCCN3S(C)(=O)=O)=C(F)C2	-10.03797	6.52957	0.6467
1495	Z4437917901	O=C(NC=1C=CC(=C(F)C1)C(F)(F)F)N(CC=2C=CNN2)CC=3C=CC=CC3	-10.03686	7.17353	0.42978
1496	Z2763742308	O=C(O)[C@@H]1CCCN(C1)C(=O)NC2=CC=CC(C#CC=3C=CC=CN3)=C2	-10.03599	6.20584	0.46655
1497	Z2362052509	CC1(C)CCC=2N=C(NC(=O)N3CCC(CN4C=CN=N4)CC3)SC2C1	-10.03553	5.92907	0.41642
1498	Z1724141276	CC1=CC=CC(NC(=O)CN(C)C(=O)C2=C3C=CC=CC3=NN2C)=C1C	-10.03533	6.61354	0.52759
1499	Z729643612	O=C1C(Cl)=C(Cl)C=NN1C=2C=CC(=CC2)S(=O)(=O)NC=3C=CC=C4NN=CC34	-10.03514	7.10099	0.58962
1500	Z1645108042	CC(NC(=O)C1CCN(C)CC1)C=2C=CC(=CC2)C3=CC=CC(C#N)=C3	-10.03456	6.64337	0.59613
1501	Z819324714	CN1CCN(CC1)C=2C=CC(=CN2)NC(=O)C=3C=CC=C4CCCC34	-10.03421	5.98536	0.48173
1502	Z31487360	O=C(C=1C=CC(=CC1)NS(=O)(=O)C=2C=CC=CC2)N3CCN(CC=4C=CC=CC4)CC3	-10.03411	6.44602	0.26574
1503	Z2597407048	O=C(O)C(C=1C=CC=NC1)N2CCC(CC=3C(F)=CC=CC3F)CC2	-10.03407	6.69517	0.46903
1504	Z278609966	O=C(NC=1C=CC=2OCC(=O)NC2C1)C3CC(=O)N(C3)C=4C=CC(Br)=CC4	-10.03383	6.22794	0.58623
1505	Z1260533366	CCN(CC=1C=CC=C(C1)C=2C=CN=CC2)C(=O)C3=CN=CC(=C3)C=4C=NN(C)C4	-10.03334	7.11297	0.53108
1506	Z2225537736	OC=1C=CC=C(CN2CCN(CC3=NC(=NO3)C=4C=CC(Cl)=CC4)CC2)C1Cl	-10.03301	6.80948	0.4928
1507	Z17049227	CC1=CC(=NO1)NC(=O)COC(=O)C2=CC=3CCC4=CC=CC=C4C3S2	-10.03298	6.74882	0.74923
1508	Z26468889	CCN(CC)S(=O)(=O)C=1C=C(C=CC1C)NC(=O)C2=NN3C(C)=CC(C)=NC3=N2	-10.03236	7.14518	0.55484
1509	Z95925361	CN(CC=1C=CSC1)C(=O)C=2C=CC=C(C2)S(=O)(=O)NC3=CC=C4OCOC4=C3	-10.03191	6.82084	0.37996
1510	Z26394086	O=C(NCCC1=CNC=2C=CC=CC12)C=3C=CC(=CC3)N4CCCC4=O	-10.03188	6.4999	0.64794
1511	Z4499936486	O=C(C=1C=CC=C2C=C(O)N=CC12)N3CCC=4C=C(O)C=CC4C3	-10.03138	5.95672	0.61516
1512	Z211294030	O=C(C=1C=CC=C(C1)OC=2C=CC=CC2)N3CCC4(CC3)NC(=O)NC4=O	-10.0312	6.94369	0.50514
1513	Z569644410	O=C(CN1C(=O)CN(C1=O)C=2C=CC=CC2)N3CCN(CC3)C(=O)C4=CC=CO4	-10.03043	6.36887	0.52008
1514	Z290003098	COC=1C=CC2=C(C1)CCCN2C(=O)C=3C=CC(=CC3)S(=O)(=O)NCC4=CC=CO4	-10.03014	7.0644	0.59882
1515	Z226847570	CCN1C(=NC=2C=CC=CC21)NC(=O)C3CC(=O)NC4=CC(F)=CC=C43	-10.03014	6.94061	0.61638
1516	Z454251502	CC(=O)NC=1C=CC=C(C1)NC(=O)C=2NC=3C=CC(Br)=CC3C2Cl	-10.0292	6.8178	0.69989
1517	Z251483860	CC=1C=C(C)C(NC(=O)CNC(=O)C=2C=CC=C(C2)NC(=O)C(C)(C)C)=C(C)C1	-10.02858	6.5318	0.55417
1518	Z29294047	NC(=O)C=1C=C(SC1NC(=O)C=2C=CC=C(F)C2)C=3C=CC=CC3	-10.02852	6.58858	0.50829
1519	Z1102258814	CN(C)C(=O)C=1C=CC=C(C1)C(=O)NCC2CCN(C2)C=3C=CC(F)=CC3	-10.02807	6.32002	0.39473
1520	Z55175990	CC(C)C=1C=CC(=CC1)C2N=C(N)NC3=NC=4C=CC=CC4N32	-10.02806	6.75279	0.32232
1521	Z2762402376	CN1C=NC(=C1)[C@@H]2CN(C[C@H]2N)C(=O)C=3C=CC=4NC(=O)CCCC4C3 |&1:6,10,r|	-10.0275	5.87096	0.38006
1522	Z20240138	COC=1C=CC(=CC1)CNC(=O)C(C)SC2=NN=C3C=C(C)C4=CC=CC=C4N23	-10.02749	6.98661	0.5424
1523	Z745910884	COC=1C=C(C=CC1N2CCCC2=O)NC(=O)N3CCCC3C4CCCC4	-10.02724	6.50562	0.55769
1524	Z145687268	CC=1SC2=NC=NC(NC(C)C(=O)NC=3C=CC=4OCCCOC4C3)=C2C1C	-10.02682	7.11218	0.682
1525	Z978944028	O=C(NC=1C=NC=CN1)C=2C=CC=C(C2)NS(=O)(=O)C=3C(F)=CC=CC3F	-10.02671	6.86458	0.57847
1526	Z1230087534	NC(=O)C1(CCCCC1)N2CCN(CC2)C(=O)NC=3C=CC(F)=CC3F	-10.0267	6.05719	0.34252
1527	Z2299283991	CC1(CC(F)(F)F)CN(C1)C(=O)C(C=2C=CC=CC2)N3C=NC4=CC=CC=C43	-10.02541	7.42234	0.53793
1528	Z167073192	CC=1C=CN=C(C1)NC(=O)C=2C=CC(=CC2)OCC3=CN4C=CC=CC4=N3	-10.02538	6.52059	0.41209
1529	Z31012270	CCOC=1C=CC=CC1NC(=O)CN2CCN(CC2)S(=O)(=O)C3=CC=C(C)C=C3C	-10.02524	6.7308	0.43444
1530	Z1431801403	CC(C)C=1C=CC(=CC1)N(C)S(=O)(=O)C=2C=CC=3CCNC(=O)C3C2	-10.0247	6.99291	0.67133
1531	Z1656562927	CC1=CC(C)=CC(=C1)C2CCN(C2)C(=O)NC=3C=CC(=CC3)N4C=CN=N4	-10.02448	6.41245	0.53851
1532	Z4335749365	CC1=NN(C(C)=C1Cl)C=2C=CC(=CC2)C(=O)NC3=CN=C4C=CC=NN34	-10.02403	6.97456	0.69861
1533	Z1215130010	NC(=O)COC=1C=CC=C(C1)NC(=O)N2CCC(CC2)OC=3C=CC(F)=CC3	-10.02333	6.58086	0.46295
1534	Z29031630	CS(=O)(=O)C=1C=CC(Cl)=C(C1)NC(=O)C=2C=CC=C(C2)OC=3C=CC=CC3	-10.02187	6.84569	0.63781
1535	Z1723006938	CN1C=NC(=N1)C2=CC=CC(=C2)NC(=O)N3CCCCC(C3)N4CCN(C)CC4	-10.02187	6.345	0.45265
1536	Z281649558	O=C(NC1=NC=C(CC=2C=C(F)C=C(F)C2)S1)C=3C=CC=4NC=NC4C3	-10.02152	6.8232	0.6181
1537	Z339670468	CC1=NOC(C)=C1S(=O)(=O)N2CCCN(CC2)C(=O)C(C)OC=3C=CC=CC3F	-10.02151	7.0743	0.56412
1538	Z220095976	O=C(CCN1CCCN(CC1)C=2C=CC(=CN2)C(F)(F)F)NC3=CC=CC(F)=C3	-10.02111	6.46191	0.25988
1539	Z1848728821	CC1=CC=2C(=NC=NC2S1)N3CCN(CC3)C(=O)CC=4C=CC=CC4C(N)=O	-10.02091	6.90697	0.64004
1540	Z144957318	CC(C)C=1C=CC(=CC1)CN(C(=O)CCN2N=CC(=O)C3=CC=CC=C32)C4CC4	-10.02017	6.82123	0.4235
1541	Z217007390	CS(=O)(=O)NC1CCN(CC1)C(=O)C2=CC(=NN2C=3C=CC=CC3)C=4C=CC=CC4	-10.01934	7.27469	0.48001
1542	Z57281065	CCCC=1C=C2C(=O)C(=COC2=CC1OC(=O)N(C)C)C=3C=CC=4OCCOC4C3	-10.01831	6.93725	0.79043
1543	Z413364838	CC=1C=CC=CC1CCNC(=O)NC=2C=CC(C)=C(C2)N3C=NN=N3	-10.01804	6.59273	0.60661
1544	Z1885887575	O=C(C1CCCC=2C=CC=NC21)N3CCC(O)(CC=4C=CC(F)=CC4)CC3	-10.01803	6.38818	0.40104
1545	Z1471581751	CC=1SC(=NC1C(=O)NC=2C=CC(=CN2)N3CCCC3=O)C4=CC=CO4	-10.01785	6.95512	0.81817
1546	Z852306814	O=C(O)C1C=2C=CC=CC2CCN1C(=O)C3=CC=C4CCCC4=C3	-10.01783	6.43058	0.54469
1547	Z103387100	CC=1C=CC=C(C1)NC(=O)N2CCN(CC3=CC=C4OCCC4=C3)CC2	-10.0173	6.56308	0.22661
1548	Z339413336	CC1=NN(C(C)=C1CC(=O)N2C=3C=CC=CC3CC2C)C4=NC(C)=CC(C)=N4	-10.01722	6.539	0.37438
1549	Z1991872310	O=C(O)C=1C=CC=C(C1)C(=O)NC2CCOC(C2)C=3C=CC=CC3	-10.01674	5.80747	0.54098
1550	Z1890859486	CC(C)(C1=NOC(=N1)C=2C=CC=C3NC(=O)OC23)C=4C=CC=CC4	-10.01644	6.38506	0.54466
1551	Z2320604218	CC=1C=NC(=NC1C=2C=CC=CC2)NC(=O)C3CCCC(C3)C(F)(F)F	-10.01622	6.47475	0.41579
1552	Z1734874872	CC(C)OC1CCC(CC1)NC(=O)N2CCC(O)(CC=3C=CC(F)=CC3)CC2	-10.0153	5.79288	0.49522
1553	Z1565396130	O=C(C1CCOC=2C=CC=CC21)N3CCC(CC3)OCC=4C=CC(F)=CC4	-10.01518	6.34964	0.32717
1554	Z2621377411	C[C@H]1C=2C=CC=CC2C[C@H]1NC(=O)N3CCC(CC3)C(=O)N4CCCC4 |&1:1,9,r|	-10.01422	5.86112	0.38538
1555	Z1882072684	CC1=NN(C=C1C=2C=CC=CC2)CC(=O)NC3CCOC4=CC=C(F)C=C43	-10.01379	7.16359	0.58665
1556	Z437970740	O=C(CCNC(=O)C=1C=CC=CC1OC(F)F)N2CCCC=3C=CC=CC32	-10.01372	6.88363	0.45723
1557	Z164726842	COC=1C=CC=C(C1)NC(=O)CCC=2C(=O)OC=3C=C(C)C=CC3C2C	-10.01332	7.23727	0.76227
1558	Z4484838495	CC1C(CCN1C(=O)C2C3C2C4C=CC3C5C(=O)N(CC=6C=CC=CC6)C(=O)C54)C=7C=CC=CC7	-10.0125	5.88079	0.3805
1559	Z1445270025	O=C(O)C1CN(CCO1)C(=O)C=2C=NN3C(=CC=NC23)C=4C=CC=CC4	-10.01248	6.08569	0.42743
1560	Z1537746536	O=C(CC1=NOC=2C=CC=CC12)NC=3C=CC=C(C3)C=4C=NNC4	-10.0123	6.64352	0.67554
1561	Z16255847	CC1=NOC(C)=C1CSC2=NC=3C=C(C=CC3O2)S(=O)(=O)N4CCCCC4	-10.01213	6.87537	0.57485
1562	Z1819908990	O=C(CN1C=NC(=N1)C=2C=CC=CC2)N3CC4=CN=NN4CC5=CC=CC=C53	-10.01207	6.0731	0.34422
1563	Z1315131329	CSCC1=CC=CC(NC(=O)C2=CC(=O)N(N2)C=3C=CC(C)=CC3)=C1C	-10.01202	6.64882	0.49948
1564	Z123888306	CC(C(=O)NC=1C=CC(Cl)=C(C1)S(=O)(=O)N(C)C)N2CCC=3C=CC=CC32	-10.01197	6.19774	0.38844
1565	Z357242296	CC=1C=CC(OCCC(=O)N2CCN(CC2)C(=O)NC=3C=CC(F)=CC3)=C(C)C1	-10.01195	6.55085	0.48093
1566	Z2488825936	CC(C)(C(=O)NC1=CC=2CCCCC2NC1=O)C(N)C=3C=CC=CC3	-10.01155	6.42056	0.36925
1567	Z295859234	O=C(CN1CC=C(CC1)C2=CNC=3C=CC=CC23)NC=4C=CC=C(F)C4	-10.01138	6.49432	0.51833
1568	Z265663252	CC(C(=O)NC=1C=CC=C2N=CC=CC12)N(C)CC3=NC4=CC=CC=C4C(=O)N3	-10.01127	6.81597	0.29013
1569	Z2442524066	CC1=C(N=NN1C=2C=CC=3OCCOC3C2)C4=NC(=NO4)C5(N)CCC5	-10.01119	6.58857	0.64261
1570	Z238298694	CCC=1C=CC(=CC1)C2=NC(=CS2)CC(=O)N(C)C3=NC4=CC=CC=C4S3	-10.01105	7.07846	0.56972
1571	Z1443824419	CC1(NC(=O)NC1=O)C=2C=CC(=CC2)C(=O)NC3(CCCC3)C(=O)O	-10.011	5.50432	0.46094
1572	Z1275485307	CCC=1C=CC(=CC1)C2=NC(C)=C(S2)C(=O)NC3=CC=CC(Cl)=C3C(N)=O	-10.01081	7.06121	0.57493
1573	Z4655756144	COC=1C=CC=CC1NC2CN(C2)C(=O)C3=CC(=O)NC4=CC=CC=C34	-10.00921	7.17933	0.71224
1574	Z385110676	CN(C(=O)C=1C=NN2C(=CC=NC12)C=3C=CC=CC3)C=4C=CC=CC4	-10.00908	6.91373	0.39632
1575	Z1942215561	O=C(C1CCC(O)CC1)N2CCCCCC2C=CC=3C=CC=CC3	-10.00855	6.51642	0.30437
1576	Z2171361943	COC=1C=CC(=CC1)C(CC=2C=CC=CC2)N[C@H]3CC[C@H](O)CC3	-10.00853	7.10861	0.66208
1577	Z94861352	CC=1C=C2N=C(NCC=3C=CC=4OCOC4C3)C=5C=CC=CC5N2N1	-10.00848	6.7096	0.38873
1578	Z52018354	O=C(NC=1C=C(F)C=CC1F)C2=CC(=NN2C=3C=CC=CC3)C4CC4	-10.00812	7.04142	0.57045
1579	Z1534134980	O=C(NC=1C=CC=C(C1)N2CCCCCC2)N3CCOCC3C4CC4	-10.00772	6.21952	0.53015
1580	Z368642162	NC(=O)C1CC=2C=CC=CC2CN1CCC(=O)N3CCN(CC3)C=4C=CC=CN4	-10.00727	6.92138	0.34126
1581	Z27668475	O=C(NC=1C=CC=2OCCOC2C1)C=3C=C(N=C4C=CC=CC34)C=5C=CN=CC5	-10.00694	6.66592	0.53625
1582	Z2165221794	CC=1C=C(C)C=2C=C(CN3CCC(C3)C(=O)N4CCCC4)NC2C1	-10.00693	6.65817	0.47093
1583	Z1872048869	CNC(=O)C1CN(C(=O)C2CCC=3C=CC(=CC32)OC)C=4C=CC=CC4O1	-10.00564	6.89517	0.61823
1584	Z201833112	CCN(CC)S(=O)(=O)C=1C=CC=C(C1)C(=O)NCC(=O)NC=2C=CC=3CCCC3C2	-10.00553	6.7246	0.52236
1585	Z1261401435	CC=1C=CC=C(C1C)C2CCCN2C(=O)C3=NOC=4CCCCC34	-10.00484	6.89284	0.6555
1586	Z1913246447	CC=1C=CC(=C(F)C1)S(=O)(=O)NC2=NOC(=N2)C=3C=CC=CC3Cl	-10.00475	6.8325	0.47356
1587	Z238750450	CC=1C=CC(=CC1F)C2=NOC(CN(C)CC3=NC4=CC=CC=C4C(=O)N3)=N2	-10.00442	7.12572	0.41949
1588	Z2711154297	CNC(=O)C=1C=CC(NC(=O)N2CCC(C2)C=3C=CC(=CC3)OC)=C(C1)OC	-10.00436	6.45009	0.48005
1589	Z237522302	O=S(=O)(C=1C=CC(Cl)=CC1F)N2CC=C(CC2)C3=CNC4=NC=CC=C34	-10.00419	6.184	0.5248
1590	Z1725595540	O=C(CN1C(=O)NC=2C=CC=CC21)NC=3C=CC4=C(C3)CCC(=O)N4CC5CC5	-10.00391	6.87078	0.48233
1591	Z246821808	CC1=C(C=NN1C=2C=CC=CC2F)C(=O)NC3=CC=CC4=NC=CC=C34	-10.00352	6.35306	0.47823
1592	Z29999453	O=C(CC=1C=CC=CC1Cl)NC=2C=CC=C(C2)S(=O)(=O)N3CCOCC3	-10.0028	6.06219	0.47258
1593	Z83919287	COC=1C=CC(=CC1)C2=NOC(CN3C(=O)NC4(CCCC=5SC=CC54)C3=O)=N2	-10.00251	6.64244	0.36809
1594	Z1903676880	CC(C)N1N=CC=2C(=CC(=NC21)C3CC3)C(=O)NC=4C=CN(N4)C5CCN(C)CC5	-10.00224	6.00669	0.34441
1595	Z29398977	CCN1N=NC=2C=C(C=CC21)C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC(C)=CC4	-10.00187	6.93862	0.58582
1596	Z33446995	CC(=O)NC(CC1=CNC=2C=CC=CC12)C(=O)NC=3C=CC=4CCCC4C3	-10.00165	7.25799	0.48743
1597	Z26869382	CN(CC(=O)NC=1C=CC(Cl)=CC1)C(=O)CC2=NNC(=O)C=3C=CC=CC23	-10.00136	6.76654	0.61669
1598	Z1590721017	CCC=1C=CN=C(C1)C(=O)NC=2C=CC(=CN2)S(=O)(=O)N3CCCCC3	-10.00121	6.56407	0.57291
1599	Z2434714177	COC=1C=C(C=CC1NC(=O)C=2C=CC=NC2)NC(=O)CC3CC4CCC(C3)N4	-10.00085	6.65169	0.44247
1600	Z466812098	CN1C=C(C=N1)C2=NC(=CS2)C(=O)NC3CCN(CC3)C4=CC=C(C=N4)C(F)(F)F	-10.00082	6.73726	0.50573
1601	Z643526884	CC1=NN2C(=O)C=C(CN3CCCC=4C=C(C)C=CC43)N=C2S1	-10.00079	6.56338	0.57775
1602	Z2209295469	CC=1N=COC1COC(=O)C=2C=C(N=C3C=CC=CC23)C=4C=CN=CC4	-10.00042	7.09561	0.77258
1603	Z9051521528	CC(O)C1=NN=C2CCN(CCN12)C(=O)C3=CN=CC4=C(Cl)C=CC=C34	-10.00001	6.90445	0.48075
1604	Z367291086	COC=1C=CC=2C=C(NC2C1)C(=O)NC=3C=CC=4OC(=NC4C3)C5CC5	-9.99978	6.34911	0.54664
1605	Z1083143944	CC(C)C(NC(=O)NC=1C=CC=C(C1)C(F)(F)F)C2=NC(=NO2)C=3C=CC=NC3	-9.99935	6.83855	0.55184
1606	Z27357133	CCN1N=C(C(=O)NC=2SC=3CCCCC3C2C(N)=O)C=4C=CC=CC4C1=O	-9.99924	7.22989	0.82674
1607	Z82971750	O=C(CN1CCN(CC1)C(=O)C=2C=CC(=CC2)C=3C=CC=CC3)N4CCCC4	-9.99923	6.50856	0.40543
1608	Z3325175256	CC1=CON=C1C(=O)NC=2C=CC(=CC2C)C3=NC=4C=C(F)C=CC4S3	-9.99903	7.13096	0.55465
1609	Z14472101	CC1=NOC(C)=C1CN2C(=O)NC(C2=O)(C=3C=CC=CC3)C=4C=CC=CC4	-9.99882	7.14252	0.60286
1610	Z2881717329	O=C(N1CCC(C1)C2=CC(=O)NC(=O)N2)C3(CCCC3)C(F)(F)F	-9.99855	6.11499	0.34427
1611	Z243129810	NC(=O)C1=CC(=CN1)C2=CSC(=N2)NC(=O)C=3C=CC=CC3OC=4C=CC=CC4	-9.99781	7.14314	0.63331
1612	Z26653122	C=CCN1C(C)=CC(C2=CSC(=N2)NC(=O)C3=CC=CC(=C3)S(C)(=O)=O)=C1C	-9.99776	6.77992	0.57346
1613	Z2624307118	CCN1N=CC=C1[C@@H]2OCCC[C@H]2CNC(=O)NC=3C=CC4=CN=CC=C4C3 |&1:7,12,r|	-9.99702	6.33756	0.58368
1614	Z3325175649	COC=1C=CC=C2CC(CCCC12)NC(=O)C=3ON=C4CCCCC34	-9.99695	6.50798	0.76598
1615	Z1324828222	CC1=C(OC=2C=CC(F)=CC12)C(=O)NC3CCN(C3=O)C4CCOCC4	-9.99677	6.46849	0.66325
1616	Z2765424000	CC1CN(CCC=2C=CC(F)=CC21)C(=O)C3=CNC(=N3)C4CCNCC4	-9.99672	6.68359	0.35367
1617	Z3685950679	CC=1N=C(N=C(C1C)N2CC[C@H](C2)NCC3=CC=C4OC=CC4=C3)C(=O)N(C)C	-9.99672	6.50373	0.69579
1618	Z51916341	O=C(NCC1=CN2C=CC=CC2=N1)C3CCCN3S(=O)(=O)C=4C=CC(F)=CC4	-9.99546	5.88637	0.32167
1619	Z299481908	COC=1C=CC(=CC1NS(C)(=O)=O)NC(=O)C(C)N2C(=O)C=3C=CC(C)=CC3C2=O	-9.9949	7.00481	0.66752
1620	Z4658051232	CC1=COC(=C1)C(=O)NC2CC3(C2)CCN(CC3)C(=O)C4CCC4(C)C	-9.9947	6.30276	0.40958
1621	Z1239991715	O=C(C=1C=C(C=CC1F)N2CCNC2=O)N3CCCN(CC3)C4=NC=CS4	-9.99469	6.69197	0.54208
1622	Z1751163517	O=C(NC1=CC=C2N=C(OC2=C1)N3CCOCC3)N[C@H]4CCCC[C@@H]4O	-9.99429	6.28274	0.50267
1623	Z29807557	CC=1C=CC=C2SC(=NC12)NC(=O)CCC3=NC=4C=CC=CC4C(=O)N3	-9.9941	7.30048	0.51713
1624	Z316519946	CN1C=CC(=CC1=O)C(=O)NC2=NC=C(CC=3C=CC(=CC3)OC(F)(F)F)S2	-9.99372	6.72359	0.6974
1625	Z1154553210	CCC=1C=CC=C(C)C1NC(=O)CN2C=CN(CC=3C=CC=CC3)C(=O)C2=O	-9.99334	6.50194	0.40487
1626	Z1176619535	CC(C)C1=NN=C(CN2CCC(CC2)C3=CNC4=CC(F)=CC=C34)O1	-9.99293	6.8645	0.73082
1627	Z1021243864	CC(C)C1=NOC(=N1)C=2C=CC(=CC2)NC(=O)N3CC(C)OC(C)C3	-9.99271	6.51876	0.51556
1628	Z20242717	O=C(NC=1C=CC=C(C1)C(F)(F)F)C(SC2=NN=C3C=CC=CN23)C=4C=CC=CC4	-9.99269	7.35982	0.59966
1629	Z738789114	CC1=NN(C=2C=CC(F)=CC2)C=3SC(=CC13)C(=O)N(C)C=4C=CC(F)=CC4	-9.99201	7.11753	0.60021
1630	Z2460807475	CC=1C=C2N=CC(C(=O)N3CCC=4C=CC=C(C(=O)O)C4C3)=C(C)N2N1	-9.99158	6.57929	0.44136
1631	Z167072572	CC=1C=CN=C(C1)NC(=O)CN2C(=O)NC3(CCCC=4C=CC=CC43)C2=O	-9.99134	6.38358	0.28849
1632	Z4225451940	CCC1(CC)CC(C1)NC(=O)NCC=2C=CC(=CC2)C3(C)NC(=O)NC3=O	-9.9913	6.59703	0.61229
1633	Z1264846603	O=C(C1=CC=2C=CC=C(F)C2O1)N3CCCCC3C=4N=CON4	-9.99106	6.26009	0.5431
1634	Z84843892	CCN(CC(=O)NC=1C(F)=CC=CC1F)C(=O)C2=NNC3=CC=CC=C23	-9.99059	7.27148	0.77398
1635	Z18532253	CC1=NN(C(C)=C1NC(=O)COC(=O)C=2C=C(Cl)C=CC2O)C=3C=CC=CC3	-9.99057	6.42394	0.51921
1636	Z2044704038	CN1CCOC2CCN(CC21)C(=O)C=3C=CC=CC3CN4C=NC=N4	-9.99038	6.76762	0.42927
1637	Z650087656	O=C(O)CCCN1C(=O)C2=CC=CC=C2N=C1C=CC3=CSC(=N3)C=4N=CC=CN4	-9.99031	6.81425	0.49595
1638	Z24160976	CC=1SC=2N=C(NC(=O)C2C1C)C(C)SC3=NN=C(C4CC4)N3C=5C=CC=CC5	-9.98997	7.02549	0.69057
1639	Z2379495819	CC=1C=CC=CC1N2N=C(C(=O)NC3CC4=CN=CN4C3)C=5CCCC52	-9.98962	6.36668	0.52052
1640	Z29904217	O=C(NC=1C=CC=C2N=CC=CC12)C=3C=CC=C(C3)S(=O)(=O)N4CCCC4	-9.98927	6.37721	0.44574
1641	Z27434534	CC=1C=CC=CC1C(=O)NC=2C=CC=C(C2)S(=O)(=O)NC=3CCCN3	-9.98913	6.52562	0.51286
1642	Z86826714	CN1CCCN(C(=O)CC=2C=CC=CC2)C=3N=C4C=CC=CC4=NC31	-9.98898	6.68557	0.27081
1643	Z770846264	CC=1C=CC(=CC1Cl)NC(=O)N2CCN(CC2)C(=O)C=3C=NN(C)C3	-9.98834	6.13263	0.55424
1644	Z3017506413	NC(=O)[C@H]1CC[C@H](O1)C2CCN(CC2)C(=O)C=3C=CC=C(C3)C4CCC4 |&1:3,6,r|	-9.98821	7.06994	0.68493
1645	Z140802898	NC(=O)C=1C=CC=C(C1)NC(=O)C(CC=2C=CC=CC2)NC(=O)C=3C=CC=CC3	-9.98791	7.13709	0.58298
1646	Z105974212	O=C(CN1CCC(CC1)C2=NC=3C=CC=CC3O2)N4CCN(CC4)C=5N=CC=CN5	-9.98777	6.74574	0.35622
1647	Z91189512	O=C(NCCC1=NN=C2C=CC=CN12)C3=CC=C(O3)C=4C=CC(F)=CC4	-9.98773	6.49252	0.76597
1648	Z946610500	CC=1C=C(C)C(CNC(=O)N2CCN(CC2)C(C(N)=O)C=3C=CC=CC3)=C(C)C1	-9.98769	6.3056	0.25458
1649	Z336704354	CC1=NC(=CS1)C2=CC=C(CNC(=O)C3CC(=O)N(C3)C4=CC=CC(Cl)=C4)O2	-9.98768	6.85589	0.70308
1650	Z910265608	CC=1N=CC=C(CNC(=O)N2CCC(CC2)C3=CC4=CC=CC=C4N3)N1	-9.98767	6.36986	0.4562
1651	Z44502447	COC(=O)C=1SC=2N=C(CN3CCC(CC=4C=CC=CC4)CC3)NC(=O)C2C1C	-9.98765	7.16296	0.694
1652	Z2982562727	CC=1C=CC=C(C1)C=2C=CC(=NC2)NC(=O)C3=CC(=NN3C)C4CC4	-9.98749	6.71066	0.52293
