Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
16059	Z3686718911	O=C(NCC=1C=CC=C(F)C1)N2CCC(C3CC3)C2C4=NNC(=O)N4	-8.399440	0.142320	6.034310
16060	Z1196350675	CCN1N=CC=2C=CC(=CC21)NC(=O)N(C)C3CCN(CC3)C4=CC=CC=N4	-7.044060	0.142300	5.882150
16061	Z8930239486	O=C(O)C(F)(F)F.CCOC(=O)C(C)N1CCCN(CC1)C2CCN(CC)CC2	-3.314780	0.142280	4.159120
16062	Z2973702713	CC1=CC(CN2CC[C@@H](O)[C@H]2C)=C3CCCCC3=N1	-5.799370	0.142270	4.936160
16063	Z2002655874	CC1=CC=CC(C)=C1OCC(O)CNC2CCCC32CCOCC3	-6.568020	0.142250	5.395800
16064	Z979255430	CC(NCC(=O)N1C=2C=CC=CC2NC(=O)C31CCCC3)(C(N)=O)C=4C=CC=CC4	-6.990030	0.142230	5.090670
16065	Z1731089842	CC=1C=C(N=C(N1)N2CCN(CC2)C(=O)NC=3C=CC=4OCCC4C3)C(C)C	-8.245260	0.142220	6.365150
16066	Z2957158321	COC=1C=CC=CC1N2CCC(C2)NC(=O)C=3C=NN(C3)C4CCC4	-6.011220	0.142170	5.227030
16067	Z2903497494	CN1C=CC(=N1)C2=NOC(=N2)C=3C=CC=C(C3)C4=NC=NN4	-7.035320	0.142140	5.421680
16068	Z27306884	CC(NC(=O)C=1C=CC=CC1Cl)C=2C=CC(=CC2)N3C=CN=C3	-7.384130	0.142090	6.024120
16069	Z223672160	CC=1C=CC(=CC1C)C2=CN=C(CCC(=O)NC3CC3)O2	-5.889580	0.142070	4.960780
16070	Z401962944	CC1=NNC=C1CNCC=2C=CC=C(C2)OCC=3C=CC=CN3	-5.889710	0.142070	5.832230
16071	Z1904293053	O=C(NC=1C=C(F)C(=CC1F)OC(F)F)N2C3CCC2CC(O)C3	-4.049030	0.142050	4.477180
16072	Z145331412	COC=1C=CC=CC1CN(C)C(=O)CN2C=CC(=O)NC2=O	-5.450900	0.142030	4.410800
16073	Z52424362	CCCC1=NN=C(NC(=O)C=2C=CC3=C(C2)N=NN3CC)S1	-5.283270	0.141980	5.463150
16074	Z2209496409	CC1=C(SC=2C=CC(C#N)=CC12)C(=O)NC3(CC3)C=4C=CC(F)=CC4	-4.760450	0.141890	5.082870
16075	Z434463350	O=C(NC=1C=CC=CC1N2C=CC=N2)N3CCC(CC=4C=CC=CC4)CC3	-7.928060	0.141880	6.040000
16076	Z9211976216	COC1CC(C2=NC(=CN2)C=3C=CC=NC3)N(CC4=NC=C(C)O4)C1	-4.548650	0.141860	5.277370
16077	Z3788958249	O=C1C=2NC=3C=CC=C(Br)C3C2C=NN1C4CCNCC4	-4.878030	0.141850	4.884200
16078	Z1935181902	CN1C=CC=C1C2CCCCCN2C(=O)CN3CCOCC3=O	-1.842550	0.141820	3.191960
16079	Z915431904	CN(C)C=1C=C(C=CN1)C(=O)NC=2C=CC=NC2N3C=NC=N3	-6.554870	0.141820	5.780010
16080	Z2299663983	CON1CCC(CC1)N(C)C(=O)CC=2C=CC=C(C2)N3CCCC3=O	-6.987700	0.141810	4.992330
16081	Z2242846776	CCN1C=CN=C1CN(C(=O)C=2C=CNC2C)C3CC43CCNCC4	-7.304530	0.141800	5.588820
16082	Z1620251992	CCC=1C=NC=CC1CNC(=O)CCSCC2=NC=3SC=4CCCC4C3C(=O)N2	-5.689030	0.141760	5.654650
16083	Z1534055487	CC1=NC(=NO1)C2=CC=CC=C2NC(=O)N3CCOCC3C4CC4	-5.384070	0.141740	5.469950
16084	Z2480001149	CC=1C=CC=C2N=C(CNC(=O)C3CCC=4C=CC=CC4C3)N(C)C12	-7.693600	0.141740	5.852790
16085	Z1272715772	CC=1C=CC(=CC1)OCC2=NC(=CS2)CN3CCC4=NN(C)C(=O)C=C4C3	-6.727500	0.141730	5.301530
16086	Z748555134	O=C(NC=1C=NN(C1)CC2CCCO2)C=3C=CC=C(C3)N4CCCC4=O	-3.637190	0.141650	4.462070
16087	Z146329820	CC(C)N1N=CC=2C=C(C=NC21)NC(=O)C=3C=C(N=C4C=CC=CC34)C5CC5	-7.899640	0.141650	6.442820
16088	Z915046662	CCC(=O)NC=1C=CC=C(C1)NC(=O)NC2CCC(CC2)C(=O)NC	-6.678710	0.141630	5.857660
16089	Z257643202	O=C(NC1=NC(=CS1)CN2CCCC2)C3=NNC=4C=CC=CC34	-5.900010	0.141610	5.215130
16090	Z164761876	CC=1C=C(C)N(CC(=O)NC2=NN=C(S2)C3CC3)N1	-5.603060	0.141580	4.851850
16091	Z1692038653	CC=1C=CC=C(F)C1NC(=O)NC2=CC=C3OCC(=O)N(C)C3=C2	-4.777700	0.141510	4.721040
16092	Z1409379932	O=C(NC=1C=CC(=CC1)OCC2CCOCC2)C3CCCC=4NN=CC43	-6.145630	0.141450	5.650370
16093	Z14051915	CC=1C=C(Br)C=CC1NC(=O)CN2C(=O)NC(C)(C2=O)C=3C=CC=CC3	-5.377740	0.141430	4.855940
16094	Z2762824885	NC=1C=NNC1C2CCN(C2)C(=O)C=3C=NN(C3)CC=4C=CC=CC4	-8.165730	0.141420	5.950150
16095	Z2157906667	CC1=NN(CC2=CC(=NO2)C=3C=CC=CC3)C(=O)C(CO)=C1C	-8.061100	0.141400	5.160700
16096	Z123673070	CN(CC(=O)N1CCN(CC1)C(=O)NC=2C=CC=CC2)C=3C=CC=CC3	-8.653590	0.141390	5.067600
16097	Z1243797401	CC1=NOC(CN2CCN(CC2)C(=O)NC=3C=CC=C(Cl)C3C)=N1	-6.353540	0.141380	5.948730
16098	Z1318063107	CC(=O)N1CCCN(CC=2C=CC(=CC2)C(=O)NC=3C=CC=CC3)C=4C=CC=CC41	-5.205410	0.141360	4.582520
16099	Z225122996	NC1=NC(CN2CCN(CC3CCCCO3)CC2)=NC4=CC=CC=C14	-6.750810	0.141360	5.429050
16100	Z1275542871	CN(C)C(=O)COC=1C=CC=CC1C(=O)NC2=NN=C(CC=3C=CC=C(Cl)C3)S2	-6.320040	0.141340	5.934920
