Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
1	Z1743782626	COCC=1C=CC=C(C1)CC(=O)N2CC(=O)NC3=C(F)C=CC=C32	-8.777710	0.974080	6.445260
2	Z31695416	COC=1C=CC(=CC1)NC(=O)C2=NNC=3C=CC=CC23	-5.387290	0.972790	6.140510
3	Z229943362	O=C(NCC=1C=NN(C1)C=2C=CC=CC2)C3=NNC4=CC=CC=C34	-5.291270	0.970500	6.597740
4	Z223877894	COC(=O)C=1C=CC(=CC1)NC(=O)C=2C(=O)NC(C)=CC2C	-6.399480	0.965850	6.134090
5	Z1892116666	CC1=NNC=2N=CC(=CC12)NC(=O)C=3C(C)=CC=CC3[N+]([O-])=O	-6.051560	0.957840	6.514250
6	Z28797461	CC(C)C=1C=CC=C(C1)NC(=O)C=2C=CC(=O)NN2	-5.431640	0.956830	5.763390
7	Z1928107054	CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)C(=O)N3CCCC4=NNC=C43	-8.548170	0.956020	7.581820
8	Z3051007783	CC1=NC(=CS1)[C@H]2CCCN2C(=O)C=3NN=C(C3C)C(F)(F)F	-8.698510	0.954910	7.326180
9	Z2285254389	CC1CN(CC(=O)N1)C(=O)C2(CC=3C=CC(Cl)=CC3)CC2	-7.795030	0.951340	6.283360
10	Z2379493555	CC1=CNC=C1C(=O)N2C3CCC2C(C3)C(=O)OC(C)(C)C	-8.013670	0.947630	6.462310
11	Z2967510282	O=C1CN(CCN1)C2=NN=C(CC=3C=CC=CC3)O2	-6.328010	0.941430	5.382950
12	Z827576834	O=C(C=1C=CN(N1)C=2C=CC=C(F)C2)N3CC(=O)NC=4C=CC=CC43	-9.214730	0.940000	7.007040
13	Z343519954	COC=1C=C(F)C=CC1NC(=O)C=2C=CC=3C=CC=CC3N2	-7.341820	0.939250	6.529890
14	Z2683064275	CC1=NC(=NN1)C2=CC(=CC(=C2)C(F)(F)F)NC(=O)NC(C)CO	-5.516210	0.938350	6.393640
15	Z4896566758	CC=1C=CC=CC1NC(=O)C=2C=C(C=3C=CC=CC3)N4C=NC(C(N)=O)=C4N2	-5.656520	0.936900	7.228750
16	Z2165446098	NC(=O)CC1CCN(CC2=CC=C(O2)C3=NC=4C=CC=CC4S3)C1	-7.035210	0.935970	6.412560
17	Z746172746	CS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C2=NOC=3CCCCC23	-8.504830	0.935580	6.987310
18	Z52037271	CN(C(=O)CN1C=CC=CC1=O)C=2C=CC=CC2	-6.459040	0.933960	5.920650
19	Z25777931	NC(=O)C=1C=CC=CC1OCC2=CN3C=C(Cl)C=CC3=N2	-7.593490	0.933850	7.014020
20	Z1444708677	O=C(O)C(NC(=O)C1=CC=C(COC=2C=CC(F)=CC2)O1)C3CC3	-6.830160	0.932120	5.448930
21	Z768737126	CC(C)NC(=O)NC=1C=CC=CC1NC(=O)C2=NNC=3C=CC(=CC23)[N+]([O-])=O	-7.371570	0.931370	7.255200
22	Z2732699433	C=1C=CC=2C(CNC3=NC(=NS3)C4CCOCC4)=NSC2C1	-6.815470	0.930600	6.737340
23	Z57379488	CCC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=CN2	-7.063440	0.929160	6.025630
24	Z2966016752	CC1(COCCN1C(=O)C=2C=CC=C(C2)OC=3C=NC=CN3)C4CC4	-8.200280	0.929130	6.755290
25	Z46444044	CC(NCC1=NN=C(O1)C=2C=CC(Cl)=CC2)C=3C=CC=CC3Cl	-7.020040	0.928660	6.723850
26	Z1753318704	CC1=NN(C)C=C1[C@H]2OCC[C@@H]2NC(=O)CC=3C=CC=4OCOC4C3	-6.563390	0.927000	6.809150
27	Z4767539008	Cl.CC=1C=C(NC=2C=CN=CC2)N3N=CC(C=4C=CC=CC4)=C3N1	-8.763660	0.926870	6.755970
28	Z4176777686	CC=1C=CC(=CC1C)CCCC(=O)NC2CCC(=O)NC2=O	-7.151340	0.926570	6.252460
29	Z1822537731	CC1CCC=2C=CC=CC2N1C(=O)CN3C=C(F)C=CC3=O	-7.402950	0.925680	6.471520
30	Z110096192	CC1OC=2C=CC(=CC2NC1=O)NC(=O)C=3C=CC=C(C3)OC(F)F	-6.630910	0.920440	6.209450
31	Z19750494	O=C(CSC=1C=CC=CC1)N2CC(=O)NC=3C=CC=CC32	-7.552410	0.918010	5.509540
32	Z4662217252	CC=1N=C(SC1C=2C=C(Cl)C=C(Cl)C2)C(=O)NCC(N)=O	-5.786140	0.917690	6.688180
33	Z44592966	NC(=O)C1CCCN(C1)C(=O)NC=2C=CC(F)=CC2F	-5.498320	0.917490	6.152370
34	Z22148058	C=CCNC(=O)COC(=O)C1=CC=2C(C)=NN(C3=CC=CC(Cl)=C3)C2S1	-7.541790	0.917380	6.883820
35	Z1518595289	O=C(CC1=NNC(=O)C=2C=CC=CC12)N3CC(=O)NC=4C=CC(Br)=CC43	-7.574000	0.917110	6.282310
36	Z30386871	CCOC(=O)C=1SC(=NC1C)NC(=O)C=2C=CC=3NC=NC3C2	-5.966640	0.916460	6.324870
37	Z411696524	CCN1C=C(C=N1)NC(=O)NCC(C=2C=CC=C(F)C2)N(C)C	-5.969850	0.916220	5.629320
38	Z422336554	CCC1=CC=2C(=O)NC(=NC2S1)C=3C=CC(=CC3)S(C)(=O)=O	-7.233100	0.916080	6.607180
39	Z2983799827	COCC1(C)NC(=O)N(C1=O)C=2C=CC(Cl)=CC2C	-6.133970	0.915990	5.970960
40	Z16669295	CC1(NC(=O)N(CC=2C=CC=C(C2)C(F)(F)F)C1=O)C=3C=CC=4OCOC4C3	-7.444110	0.915560	6.707020
41	Z1894128424	N#CCCCN1C=C(C(=O)NC2=CNN=C2C3=NC=CS3)C=4C=CC=CC41	-5.554620	0.914970	7.728410
42	Z648163674	COC=1C=CC=CC1C2=NN=C(NC(=O)C3=CC4=CC(Cl)=CC=C4O3)N2	-8.414940	0.914090	6.743880
43	Z1139318041	CC=1C=NN(C1)CC2CCCCN2C(=O)CC3=NNC=4C=CC=CC34	-8.969340	0.913300	7.009370
44	Z332889978	CN(CC=1C=NN(C)C1)C(=O)C=2C=CC=C(C2)NC=3N=CC=CN3	-7.367150	0.912340	6.637760
45	Z1451827253	CN(C(=O)NC1=NC(=NS1)C(C)(C)C)C2CCS(=O)CC2	-5.163250	0.912220	6.382290
46	Z229615938	NC(=O)C=1C=C(N=C2C1C=NN2CC3=CC=CO3)C=4C=CC=CC4	-6.162790	0.909530	6.711120
47	Z2193996480	CCC1=NOC(C)=C1N2C(=O)NC(CC)(CC)C2=O	-6.552770	0.908990	6.062200
48	Z3627495426	C[C@H](ONC(=O)[C@@]12CC[C@@](C)(C(=O)O1)C2(C)C)C=3C=CN=CC3	-6.974480	0.908980	6.182580
49	Z19023901	O=C(CN1N=CC(Cl)=C(Cl)C1=O)N2CCCC2C=3C=CC=4OCCOC4C3	-8.471180	0.908530	7.316220
50	Z2648042383	CC=1N=C(OC1C(=O)NCC2CCOC2(C)C)C=3C=CC=CC3	-7.113320	0.907990	5.533060
51	Z728184742	O=C(CC=1C=CC(F)=CC1)NC2=NN=C(N2)C=3C=CC=CN3	-5.324760	0.907880	6.370710
52	Z1252364649	CC1=NOC(=N1)C2=CC=NC(=C2)N3CC4CCC3C4	-6.244900	0.906490	5.211750
53	Z52006242	O=C(CCC(=O)N1CC(=O)NC=2C=CC=CC21)N3CCC4=CC=CC=C43	-7.731900	0.904370	5.723800
54	Z1651916052	O=C(NCC1CCCCS1)C2=NOC=3CCCCC23	-6.500170	0.903720	6.439100
55	Z3084454232	CC1=C(Br)C(=NN1C)C(=O)NC=2C=C(N=CN2)N(C)C	-5.468490	0.903550	6.134640
56	Z3070061789	O=C1NCC(CC=2C=CC=CC2)C(=O)N1CC=3C=CC=NC3	-7.428610	0.902760	6.344440
57	Z31791090	O=C(NC=1C=CC=NC1)C=2C=CC=C(C2)S(=O)(=O)NC=3C=CC=4OCOC4C3	-9.631240	0.902590	6.895010
58	Z758244252	CCN1C=C(C=CC1=O)NC(=O)C2=CC=C(O2)C=3C=CC=C(C3)C(F)(F)F	-8.671330	0.902260	6.663040
59	Z413869698	CCNC(=O)NC1=CC=CC(=C1)N2CCOC2=O	-5.201180	0.901780	5.052170
60	Z1198663515	O=C(NC=1C=CC(Cl)=CC1OCC(F)(F)F)C=2C=CNN2	-4.566300	0.901580	5.958760
61	Z1011460610	COC=1C=CC(Br)=CC1NC(=O)NC2CCCNC2=O	-5.815560	0.901460	5.896410
62	Z344822944	O=C(NC=1C=CC(=CN1)N2CCCC2)C=3C=CC(Cl)=CC3	-6.474070	0.900730	6.154060
63	Z167571688	CN1C=CN=C1C(NC(=O)C2=CC(Br)=CN2)C=3C=CC=C(F)C3	-7.925470	0.900140	6.929330
64	Z1883414323	C1=CC=2C(=NC=NC2N1)N3CCC(C3)NC=4C=CC=CN4	-6.302040	0.899800	6.770070
65	Z27808018	CCOC=1C=CC(=CC1)NC(=O)CC2=CNC=3C=CC=CC23	-7.121170	0.899770	6.158190
66	Z2292509459	COC=1N=CC(C)=CC1NC(=O)NC(C)(C)C2=NN=C3CCCCN23	-6.438170	0.899770	6.619130
67	Z160773586	COC=1C=CC(=CN1)C(=O)NCC2=NN=C3C=CC(=CN23)C(F)(F)F	-6.481500	0.899410	6.837310
68	Z3627493644	C[C@H](ONC(=O)C1CNC(=O)CC21CCC2)C=3C=CN=CC3	-7.153540	0.897170	6.359280
69	Z3008361940	CC=1C=CC(NC(=O)[C@H]2CCCC(=O)N2)=C(C1)OC(F)F	-4.988570	0.897060	5.995350
70	Z1838229700	CN1C=C(C=C1C#N)CNC2=NN=C(O2)C3CC=4C=CC=CC4O3	-7.838490	0.896660	6.278190
71	Z1184865292	N#CC=1C=CC=C(C1)C2=CSC(=N2)C3(N)CCCC3	-6.413410	0.896080	6.079860
72	Z1240369226	CC1=CC=C(O1)C2=NC(=CS2)C(=O)N3CCS(=O)(=O)C(C)C3	-5.945980	0.895600	6.426580
73	Z2388210384	CN(C)C=1C=CC(=NN1)C2CCCN2C(=O)C3=CC(=NN3)C(F)(F)F	-7.633370	0.895490	7.279770
74	Z48862626	COC=1C=CC=C(C1)C2=NC(=CS2)C3=CC=C4OCC(=O)NC4=C3	-8.590180	0.895430	6.528700
75	Z227429974	CN1C=C(C=N1)CSC=2N=CN(N2)C=3C=CC=CC3	-6.460190	0.895100	5.124560
76	Z2193994680	CCCN1C(=O)N(C(=O)C1CC)C2=CC=C(N=N2)OC	-6.068790	0.894940	6.281360
77	Z2767819738	O=C(NCCC1=CC=CN1)C2=COC(CN3CCC(O)C3)=N2	-6.656350	0.894710	5.395670
78	Z1892325429	CC=1C=CC=C(C1C(=O)NCCCC=2C=CC=C(F)C2)[N+]([O-])=O	-6.506780	0.894200	6.250350
79	Z1584082576	CC=1C=CC=CC1C2=NOC(=N2)C(C)N3CCC=4NN=CC4C3	-6.449340	0.893670	6.132360
80	Z201070802	O=C(CC1SC=2C=CC=CC2NC1=O)NC3=NC(=CS3)C4=CC=CC=N4	-5.869210	0.892690	7.014170
81	Z1444173156	CC=1C=CC(=CC1C)CN(C(=O)C=2C=CC=C(N2)C(=O)O)C3CC3	-8.533970	0.892310	6.600790
82	Z2011270356	O=S(=O)(NC=1C=NC=2CCCC2C1)C=3C=CC=C4OCOC34	-7.171860	0.890650	6.444820
83	Z2016408120	CCN(CC=1C=CC=CC1NC(=O)NCC(F)(F)C(F)F)C(C)=O	-5.866700	0.889770	5.930410
84	Z444898068	CC1=CSC(=N1)N(C)C(=O)CN2C(=O)COC=3C=CC=CC32	-7.357580	0.889400	5.371320
85	Z200660520	NC(=O)C1=CN=C(NC(=O)CC=2C=CC=C(F)C2)S1	-6.082420	0.889280	6.307320
86	Z29724818	CCOC=1C=CC(=CC1)C2=NN=C(NC(=O)C=3C=CC(F)=CC3)O2	-7.245280	0.889150	6.403980
87	Z30934334	COC=1C=CC(C)=CC1NC(=O)C=2C=CC(Cl)=C(C2)[N+]([O-])=O	-7.335800	0.889100	6.359690
88	Z431529638	CC1=NN2C(O)=CC(=NC2=C1C=3C=CC=CC3)C(C)(C)C	-7.203690	0.889030	6.365140
89	Z1550667938	COC=1C=CC=2NN=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1	-6.505000	0.888870	6.244380
90	Z1318831789	CN1C=CC=C1C2CCCCN2C(=O)C=3C=CC=C(C3)OC4=CN=CC=N4	-9.179540	0.888790	7.011570
91	Z88521247	COC=1C=CC(=CC1)C(=O)NC2=NN=C(S2)C=3C=CC=CC3	-6.650560	0.887930	5.967760
92	Z57000167	CC=1C(O)=CC=C2C(=O)C(C=3C=NN(C3)C=4C=CC=CC4)=C(OC12)C(F)(F)F	-6.973790	0.887900	7.067290
93	Z224414978	FC(F)(F)C=1C=CC=C(C1)C2=NOC(CNC=3C=CC=CC3)=N2	-7.869290	0.887660	5.940070
94	Z2266192300	CC1CC=2C=CC=C(C(=O)NCC3=NC=CS3)C2O1	-5.912520	0.887650	6.098170
95	Z2970643819	COC1=CC=C2N=CC(Cl)=C(NCC3(CO)CCOCC3)C2=C1	-7.457320	0.887490	7.327760
96	Z27332325	O=C(NC1=NC=2CCN(CC=3C=CC=CC3)CC2S1)C=4C=CC=5NC=NC5C4	-8.005370	0.887180	6.997850
97	Z2710899665	CC1=CN(CC(=O)N2CCS(=O)CC2C=3C=NN(C)C3)N=C1C(F)(F)F	-7.851630	0.887090	6.805720
98	Z1248958134	CC1=CC=C(NC(=O)N2CCN3C(=NN=C3C2)C(F)(F)F)C(C)=C1	-7.845560	0.886820	6.656460
99	Z2792930397	O=C(O)[C@@]12CCC[C@H]2N(CC1)C(=O)CC3=CC=C4C=NNC4=C3	-9.150350	0.885860	6.878700
100	Z2335248704	CC(C)C1N(CC21CCOCC2)C(=O)C=3C=C(NN3)C=4C=CC=CC4	-7.895450	0.885840	6.565030
101	Z748886278	O=C(NC=1C=CC=2NC(=NC2C1)C=3C=C(F)C=CC3F)C=4C=NC=CC4	-9.689610	0.885480	6.907720
102	Z653340898	CC=1C=CC=CC1CC(=O)NC2=NN=C(N2)C=3C=CC=CN3	-5.926320	0.885350	6.325000
103	Z1850217459	CCC=1N=CSC1NC(=O)[C@H]2CCO[C@@H]2C=3C=NN(C3)CC=4C=CC=CC4	-6.945700	0.885320	7.139880
104	Z1459952785	Cl.CN(CC=1C(F)=CC=CC1Cl)C(=O)CN2CCC[C@@H]2C(=O)O	-7.159420	0.885100	6.177930
105	Z57515143	CC=1C=CC=C(C1)OCC2=NC(=NO2)C=3C=CN=CC3	-7.263240	0.884600	4.877530
106	Z3713398363	O=C(N[C@H]1CO[C@@H]2COC[C@H]12)C3=CC(=O)NC(=N3)C4CC4	-3.996830	0.884110	5.584110
107	Z15685563	NC(=O)C=1C=CC=CC1OCC2=CC(=O)N3C=CSC3=N2	-7.247410	0.883970	6.472520
108	Z2755377850	CC(C)(C(=O)O)C1CCCN(C1)C(=O)CC=2C=CC=3C=NNC3C2	-6.980940	0.882810	6.906230
109	Z1168422665	C=1SC(CC2=CN3C=CC=CC3=N2)=NC1C4CC4	-5.976470	0.882530	5.406470
110	Z362554940	CC1=CC=2C=C(C=CC2N1)NS(=O)(=O)C=3C=CC=C(Cl)C3	-6.755420	0.882360	6.692240
111	Z1427007224	COC=1N=CC(=CC1C(N)=O)NC(=O)C=2C(F)=CC=CC2Cl	-7.496190	0.882280	6.767020
112	Z26888051	CN(CC=1C(F)=CC=CC1Cl)C(=O)C=2C=C(O)N=C3C=CC=CC23	-7.828910	0.882000	5.945150
113	Z54360113	O=C(O)C1CC=2C=CC=CC2CN1C(=O)COC=3C=CC=CC3	-7.775380	0.881810	5.964890
114	Z19755675	O=C(COC=1C=CC=C(F)C1)NC=2C(F)=CC=CC2F	-7.644780	0.881570	6.459390
115	Z1039132446	CCC(C(N)=O)N1CCC(CC1)C2=NC=3C=CC=CC3O2	-6.091720	0.881300	6.372200
116	Z62650075	COC=1C=CC(=CC1)C2=NC(=CS2)CC(=O)NC3=NC(=CS3)C=4C=CC=CC4	-7.312630	0.881240	6.999820
117	Z951213412	CCC=1C=CC=2N=C(NC(=O)C2C1)C=3C=CC(O)=C(C3)OC	-6.795260	0.880950	6.426270
118	Z3409369307	O=C(NCC=1C=NC=CC1C(F)(F)F)C=2C=C(ON2)C=3C=CC=CC3	-5.481410	0.880920	6.609170
119	Z1844296747	CC(NC1CCSC1)C2=NC(=NO2)C3CCCC3	-4.965350	0.880610	5.664610
120	Z4661513521	C[C@@H]1C[C@H]1C(=O)N2CCOC(CNC=3N=CN=C4NC=C(C(N)=O)C34)C2	-6.939600	0.878990	6.790580
121	Z317176194	CC1=CN2N=C(NC3CCC=4C=CC=CC43)SC2=N1	-6.169910	0.878510	5.856130
122	Z2983912824	COCCN1CC(=O)N(C1=O)C2=CC(=NN2C)C(F)(F)F	-6.502530	0.878250	5.992940
123	Z3646532446	O=C(NCC=1C=C(NN1)C=2C=CC=CC2)C3(O)CC3	-5.414820	0.878130	5.194750
124	Z3069089178	C#CCCC1(CCC(=O)NC(C)(C(=O)O)C=2C=CC(Cl)=C(Cl)C2)N=N1	-6.557230	0.878040	6.478820
125	Z1689266421	O=C1NC(CCC=2C=CC=CC2)C(=O)N1CC(O)C(F)(F)F	-7.102970	0.877170	5.685460
126	Z2955934905	O=C(C=1C=C(N=CN1)C(F)F)N2CCNC(=O)C2C3=CC=CS3	-7.863270	0.876400	6.707970
127	Z2453523027	CN(C(=O)C1(F)CC1)C(C=2C=CC(Cl)=CC2)C=3C=CC=NC3	-7.507560	0.875770	6.693310
128	Z1848746413	COC1=CC=C2NC=C(CC(=O)N[C@H](C)C=3C=CC=C(Cl)C3)C2=C1	-7.055380	0.875500	6.502390
129	Z14220082	CCC1(NC(=O)N(CC=2C=CC=C(F)C2)C1=O)C=3C=CC(F)=CC3	-7.332250	0.875400	6.630590
130	Z1240510232	CCCS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C=2C=CC(=O)N(CC)N2	-7.637200	0.875030	6.911480
131	Z2996394666	CC=1N=C2CCC(CN2N1)C(=O)N(CC(F)F)C=3C=CC=CC3	-8.585060	0.874330	6.883820
132	Z119585644	O=C(CN1N=NC=2C=CC=CC21)N3CCC=4SC=CC4C3C=5C=CC=CC5	-9.203130	0.874230	6.633590
133	Z2755084778	CC1=CSC=2N=C(NC(=O)C12)[C@@H]3C[C@H]3C=4C=CC=CC4	-7.445910	0.874150	6.406620
134	Z594709956	CC=1C=CC(=CC1Cl)CC2=CN=C(NC(=O)NC3CCOCC3)S2	-5.957910	0.874130	6.599560
135	Z2128335229	CC=1C=C(CCNC(=O)N2CCC[C@H]3C(=O)N(C)C[C@H]32)ON1	-4.620470	0.873930	5.486690
136	Z2186236033	COCCN1C=C2CCCC(NS(=O)(=O)CC34CCC(CC3)C4)C2=N1	-3.271890	0.873430	6.126840
137	Z20238947	CC1=CC=CC(NC(=O)CSC2=NN=C3SC=4C=CC=CC4N23)=C1C	-8.931070	0.873300	6.425220
138	Z2691193834	COC=1C=CC(F)=C2NC(=CC12)C(=O)N3CC=4C=NN(C)C4C3	-7.041650	0.873160	6.886690
139	Z27691868	O=C(C=1C=CC(=CC1)OCC2CCCO2)N3CCCC=4C=CC=CC43	-7.996560	0.872610	6.564740
140	Z19023986	O=C(CN1N=CC(Cl)=C(Cl)C1=O)NC(=O)NC2CCCCC2	-7.762610	0.872390	6.235830
141	Z56775876	COCCN1C(NC(=O)C2=CC=C(Br)O2)=C(C#N)C3=NC4=CC=CC=C4N=C31	-6.317240	0.872370	6.889500
142	Z2394429416	CC1=NC(=CN1)C(=O)N[C@@H]2CCC(=O)N(C)[C@H]2C3=NC=CN3C	-6.588220	0.871460	5.980860
143	Z2931993046	CN1N=CC(Br)=C1C(=O)N[C@@H]2CC=3C=CC=CC3[C@H]2N	-7.352120	0.871350	6.398440
144	Z56759494	CC1=CC(=O)OC2=CC(=CC=C12)OC(C)C(=O)O	-5.835410	0.870920	4.787740
145	Z71579897	CC=1C=CC(=NC1)NC(=O)C(C)OC=2C=CC=CC2	-7.450410	0.870480	5.891970
146	Z995904592	CC=1C=C(C=CC1C(=O)NC2=NN=C(S2)C(F)(F)F)[N+]([O-])=O	-6.079430	0.869840	6.177990
147	Z1444672147	O=C(O)CN(C(=O)CCN1C=CC=2C=CC=CC21)C3CCOCC3	-7.247550	0.869660	6.288890
148	Z220413728	CN1N=NN=C1C=2C=CC=C(C2)NC(=O)C=3C=CC=CC3	-6.069670	0.869040	5.627070
149	Z395891364	CC(C)(C(=O)NC=1C=CC=C(C1)C2=CC=NN2)C=3C=CC=CC3	-4.906450	0.868300	5.867720
150	Z133734308	CC1(NC(=O)N(CC2=COC(=N2)C=3C=CC=CC3)C1=O)C4=CC=C(Cl)C(Cl)=C4	-8.494130	0.868230	7.148220
151	Z1364138040	CC(NC(=O)N1CCSC(C)(C)C1)C2=NC(=NO2)C(C)(C)C	-5.278140	0.868020	6.582230
152	Z1222642126	CC(C)C1CCCCN1C(=O)CCC=2C=CC=CN2	-6.787010	0.867890	6.222820
153	Z134713528	COC=1C=CC=C(C1)CN2C(=O)NC(C)(C2=O)C=3C=CC(F)=C(F)C3	-8.745520	0.867670	6.695990
154	Z1315476953	COCC1CN(CCO1)C(=O)CN2C(=O)NC(=O)C2(C)C	-6.752200	0.867540	6.206680
155	Z295565930	O=C(C=1C=C(Br)C=CC1F)N2CCN(CC3=CC(=O)N4C=CC=CC4=N3)CC2	-7.561730	0.867500	7.340990
156	Z1990127971	CC(C)OC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC(=CN2)C=3C=NC=NC3	-8.463510	0.867260	7.030870
157	Z16225712	CC(SC1=NN=C2NC=3C=CC=CC3N12)C(=O)N4CCC5=CC=CC=C54	-9.392830	0.867070	6.385090
158	Z218840066	CC=1C=CC=C(C1)C(=O)NC=2C=CC(=CC2)N3CCNC3=O	-8.190450	0.867000	6.405630
159	Z2826163220	CC1(C)CN(CCC1C(F)(F)F)C(=O)C=2C=CC(N)=NC2	-8.838590	0.866710	6.589810
160	Z2752852786	CC(=O)NC=1C=C(C=CC1C)NC(=O)NCC#CCN(C)C	-3.641700	0.866540	5.720400
161	Z1417678286	CN1C=C(C=N1)C2CCN(C2)C(=O)NC=3C=CC=C(C3)OCCF	-5.581830	0.866200	6.043070
162	Z2379556119	COC=1C=CC=2CCC3(NC(=O)N(CC=4C=CC=C(F)N4)C3=O)C2C1	-8.268000	0.865910	6.715210
163	Z2837128897	CC(=O)N(C1=NC(=CS1)CN2CCCC2C=3C=NNC3)C4=CC=CC=C4F	-8.895990	0.865720	7.373870
164	Z2755771353	O=C1NC2(CC(O)C2)C(=O)N1CCOC=3C=CC=C(Cl)C3	-7.231810	0.865560	5.597350
165	Z1787520020	CN1N=CC=2C(N)=NC(=NC21)N3CCC(CC3)C4=NN=C5C=CC=CN45	-6.470860	0.865460	6.969340
166	Z2644758741	CN1CCC=2C=C(C=CC2C1=O)NC(=O)CC=3C=CC=4CC(=O)NC4C3	-7.047050	0.865210	6.611980
167	Z666224728	CC=1C=C(NC(=O)CC2=CC=C(Cl)C(Cl)=C2)NN1	-5.508300	0.865070	5.665730
168	Z1892005761	CN(C)C(=O)C=1C=C(C=CC1F)N2C(=O)NC3(CCCC3)C2=O	-6.622020	0.865030	6.579660
169	Z240368846	O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=C(Cl)C=CC3F	-6.307450	0.864570	6.007600
170	Z1278376256	COC1=CC=2CCN(CC2C=C1OC)C(=O)NC=3C=C(ON3)C(C)C	-6.705820	0.864440	6.650570
171	Z606149730	CN(CC1=CN(N=C1C=2C=CC=CC2)C=3C=CC=CC3)S(=O)(=O)C=4C=NNC4	-6.688080	0.864380	6.579050
172	Z1989798506	CN(C)C1=NOC(CN2CCCC(C2)C3=NC=C(N3)C(F)(F)F)=N1	-7.401760	0.864190	6.729880
173	Z1667881603	CCC1=NC(=CS1)C(C)NCC2=NN=C3N(C)C(=O)C4=CC(C)=CC=C4N23	-6.872070	0.863760	7.478490
174	Z2091380052	COC=1C=CC(OC)=C(C1)CN(CCO)C=2N=C(C)C=C(C#N)N2	-4.313810	0.863700	6.040220
175	Z228791596	CC=1C=CC(=CC1S(=O)(=O)N(C)C)NC=2N=CN=C3C2C=NN3C	-6.578440	0.863260	6.797710
176	Z2155397189	O=C1CCCC(CC2=NC(=NO2)C=3C=CC(Cl)=CC3)N1	-7.507180	0.863020	6.040540
177	Z109728932	O=C(NCC=1C=CC(=CC1)N2CCCC2=O)C3=CC(=NC4=CC=CC=C34)C5CC5	-6.336470	0.863000	6.626040
178	Z2936883893	CC=1C=C(F)C=CC1CC2=NOC(=N2)[C@@H]3CCCCN3C	-7.120420	0.862950	6.368730
179	Z96611437	CC(NC(=O)CN1C=C(C=C(Cl)C1=O)C(F)(F)F)C2=CC=CO2	-7.300570	0.862870	6.714750
180	Z2387694099	CO[C@H]1C[C@H]2CC(C[C@H]2C1)NCC3=NNC(=N3)C(C)(C)C	-5.737700	0.862720	6.062720
181	Z27434417	CC(C)C(=O)NC1=CC=CC(=C1)S(=O)(=O)NC=2CCCN2	-4.896890	0.862690	5.452160
182	Z18544956	O=C(COC(=O)C1=NNC=2C=CC=CC12)NC=3C(Cl)=CC=CC3Cl	-7.892430	0.862260	6.317650
183	Z1517291747	CC(C(=O)NC1=NC(=CS1)CN2CCC(C)CC2)C3CCOCC3	-5.482380	0.862210	6.356550
184	Z45439538	COC=1C=C2CCN(CC2=CC1OC)S(=O)(=O)C3=CC=C(Cl)C(=C3)C(F)(F)F	-5.958560	0.862170	6.442120
185	Z1169882172	COC=1C=CC=CC1C2=NOC(=N2)C(C)N3C=CC=N3	-4.788320	0.861930	5.172360
186	Z2683070430	CCOC(=O)C1=NC(=NN1)C(CC(C)C)NC(=O)NC=2C=CN=CN2	-4.483930	0.861840	6.625400
187	Z910733868	O=C(CN1N=C(C=CC1=O)C=2C=CC=CC2)NC=3C=CNN3	-6.769080	0.861740	6.016620
188	Z2188087272	CCNC1=NC(=CS1)C(=O)N2CCOCC2CCOC	-5.097340	0.861640	4.646150
189	Z1449845522	Cl.CCC(N)C(=O)N(CC1=CC=CS1)C=2C=CC=3OCCOC3C2	-5.842260	0.861120	6.642430
190	Z1126868566	CC=1NN=C(C(N)=O)C1NC(=O)C=2C=CC(=CC2)OCC3CC3	-5.613050	0.860980	6.261560
191	Z735745082	CC1=C(N=NN1C=2C=CC=C(Br)C2)C(=O)NC=3C=CC=NC3	-6.088330	0.860960	6.796360
192	Z2777478903	O=C(C=1C=CC=C(C1)OC=2C=CC=CN2)N3CCCC(C3)C4CC4	-8.423770	0.860880	6.455410
193	Z2389026285	COCC1(CCCN1C(=O)C2=CC=CC=C2CCC(F)(F)F)C(N)=O	-7.267750	0.860820	5.761170
194	Z280655328	CCN1N=NC=2C=C(C=CC21)C(=O)NC3=NC=C(CC=4C=CC(F)=C(F)C4)S3	-7.969800	0.860530	7.095360
195	Z4138567603	CN1N=NC=2C(=CC=CC21)C=3C=CC(F)=C(C3)OC(F)(F)F	-6.409540	0.860490	5.900700
196	Z1864858866	CC=1C=CC=CC1C2C(=O)NCCN2C(=O)CC(C)(F)F	-7.936030	0.859930	6.105220
197	Z436072956	COC=1C=CC=CC1C=2C=NN3C(O)=CC(C)=NC23	-6.481200	0.859780	5.549200
198	Z2776673031	CC1CN(CC(=O)N1C)C(=O)C=2C=CC=C(C2)OC=3C=CC=CN3	-7.554450	0.859620	6.286740
199	Z2837582166	OC(CC=1C=CC(F)=CC1)CN2CCOC(CN3C=CN=N3)C2	-7.249150	0.859570	5.851810
