Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
39	Z211308004	O=C(C=1C=C(Cl)C=C(Cl)C1)N2CCN(CC3=NC=4C=CC=CC4C(=O)N3)CC2	-11.19916	0.75662	7.05064
40	Z1151991274	NC(=O)C1C=2C=CC=CC2CCN1C(=O)C3=NNC4=CC=CC=C34	-11.18184	0.83033	7.1208
41	Z56973987	O=C(C=1C=C(C=CC1Cl)S(=O)(=O)N2CCOCC2)N3CCN4C3=NC=5C=CC=CC54	-11.16592	0.61706	7.31347
42	Z30909460	O=C(NC=1C=CC(=CC1)C(F)(F)F)C=2C=CC=3C(=O)N4CCCC4=NC3C2	-11.16435	0.41799	6.46139
43	Z225722720	O=C(C1CC(=O)N(CCC=2C=CC=CC2)C1)N3CCC4(CC3)NC(=O)NC4=O	-11.15552	0.5174	6.50275
44	Z29384825	COC(=O)C1CCN(CC1)C(=O)C=2C=CC=C(C2)S(=O)(=O)N3CCC=4C=CC=CC43	-11.13867	0.56732	7.04748
45	Z254613080	CNC(=O)C1CC=2C=CC=CC2CN1C(=O)C=3C=CC=4NN=NC4C3	-11.13027	0.66023	7.12605
46	Z966205438	CC1=CC(=NN1C=2C=CC=CC2)C(=O)NC=3C=CC=C(C3C)N4C(=O)CCC4=O	-11.11785	0.47961	6.84017
47	Z2710073413	CC(=O)N1CCC=2C(=CC=CC21)NC(=O)NC3(CCC3)C=4C(F)=CC=CC4F	-11.11442	0.49047	6.83631
48	Z1534139264	CN1C=CC=2C=CC(=CC21)NC(=O)NC3(CCOCC3)C4=CC=C(F)C=C4F	-11.10447	0.41585	6.37508
49	Z507276816	CC1CC=2C=CC=CC2N1C(=O)NCC=3C=CC(=CC3)CN4CCN(C)CC4	-11.099	0.29859	6.52121
50	Z1614569831	COC=1C=C(C=C2OCCOC12)C(=O)NC=3C=CC=C(C3)C(=O)N4CCCC(O)C4	-11.09408	0.66615	6.96662
51	Z118337632	O=C(NC=1C=CC=CC1)C2CCCN(C2)C(=O)C=3C=CC=C4C=CC=CC34	-11.0867	0.38473	6.78206
52	Z817135400	CC(=O)N1CCC=2C=C(C=CC21)C(=O)NC=3C=CC(OC=4C=CC=NC4)=C(C)C3	-11.07936	0.7217	7.03352
53	Z1218342538	O=C(NC=1C=CC=C(C1)N2CCOC2=O)NC3CCCN(C3)C4=CC=CC(F)=C4	-11.07558	0.56605	6.39942
