Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)
1	Z15623383	O=C(COC(=O)C=1C=CC=C(C1)N2C(=O)C=3C=CC=CC3C2=O)NC(=O)NC4CCCCC4	    -11.58
2	Z29999382	O=C(NC=1C=CC=C(C1)S(=O)(=O)N2CCOCC2)C=3C=CC(=CC3)N4CCCC4=O	    -11.46
3	Z89976164	CC1(CC=2C=CC=3OCOC3C2)NC(=O)N(CC=4C=C(Cl)C=5OCCOC5C4)C1=O	    -11.45
4	Z4462796186	O=C(CCC1NC(=O)N(C1=O)C=2C=CC(Cl)=C(Cl)C2)N3CCN4C(=O)NC(=O)C4C3	    -11.38
5	Z599743450	CN1CCCN(CC1)C=2C=CC(=CN2)CNC(=O)C3=CC4=CC(=CC=C4S3)[N+]([O-])=O	    -11.33
6	Z227926890	CC=1C=C(C=C(C1C)S(=O)(=O)N2CCC(CC2)NS(=O)(=O)C=3C=CC=CC3)[N+]([O-])=O	    -11.32
7	Z1213673068	CC=1C=C(O)C(=CC1C)C=2C=C(NN2)C(=O)NCCC=3C=CC(=CC3)S(N)(=O)=O	    -11.28
8	Z1262049531	CC1CN(CC(C)O1)C(=O)CN2C=C(C=N2)NC(=O)C3=CC=C(C=N3)C(N)=O	    -11.25
9	Z195595796	CN(CC=1N=C(N)C2=C(N1)SC=3CCCCCC23)CC4=NC=5C=CC=CC5C(=O)N4	    -11.20
10	Z28179136	CC1CCCCC21NC(=O)N(CC(=O)NC3=NC4=CC=C(C=C4S3)S(C)(=O)=O)C2=O	    -11.17
11	Z1797379077	CC1=NC=CN1CC=2C=CC=C(C2)C3=NOC(=N3)C4=CC=C(C(F)=C4)S(N)(=O)=O	    -11.02
12	Z237915472	CN(CC1=NC=2C=CC=CC2C(=O)N1)C(=O)C3=CC=C(NC(=O)C4=CC=CO4)S3	    -10.97
13	Z2218571548	O=C1N=C(NN1)C2CCCN(C2)S(=O)(=O)C3=CC=4CC(=O)N5CCCC(=C3)C45	    -10.94
14	Z32463745	O=C(NC=1C=CC=2OCCCOC2C1)C=3C=CC=C(C3)S(=O)(=O)NCC4CCCO4	    -10.93
15	Z2711553878	CN1C(=O)OC=2C=CC(=CC21)CNC(=O)NC3CCC(CC3)C(=O)O	    -10.92
16	Z167264310	O=C(NCC=1C=CC=CC1)C2CCN(CC2)C(=O)C3(CCCC3)C=4C=CC=5OCCOC5C4	    -10.91
17	Z8976776379	COC=1C=CC(=CC1S(N)(=O)=O)NC(=O)COC2=NNC(=O)C3=CC=CC=C23	    -10.90
18	Z217007390	CS(=O)(=O)NC1CCN(CC1)C(=O)C2=CC(=NN2C=3C=CC=CC3)C=4C=CC=CC4	    -10.90
19	Z32048406	[O-][N+](=O)C1=CC=C(O1)C(=O)NC=2C=CC(Cl)=C(C2)S(=O)(=O)NC3=CC=CC(Cl)=C3	    -10.88
20	Z16562757	NS(=O)(=O)C=1C=C(Cl)C(NC(=O)COC(=O)C2=CC=3CCCCCC3S2)=C(Cl)C1	    -10.87
21	Z1696623332	CC=1C=CC(=C(C)C1NC(=O)C(=O)NC2CCN(CC3CCOC3)CC2)[N+]([O-])=O	    -10.87
22	Z87640294	CN1C(=O)C=2C=CC(=CC2C1=O)NC(=O)CCCN3C(=O)NC4(CCCC4)C3=O	    -10.86
23	Z16654573	CCC1(CC)NC(=O)N(CC(=O)OCC2=CC(=O)N3C4=CC=CC=C4SC3=N2)C1=O	    -10.86
24	Z30160399	CC1CN(CC(C)O1)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC3=NC=4CCN(C)CC4S3	    -10.84
25	Z647921012	NC(=O)C1(CNC(=O)C2=CN(N=N2)C=3C=CC=CC3)CCOCC1	    -10.84
26	Z79592572	CN1C(=CC=2C(=O)N3C=CC=CC3=NC21)C(=O)NCCC=4C=CC(=CC4)S(N)(=O)=O	    -10.84
27	Z87680395	CC=1C=CC(=CC1S(=O)(=O)NCC=2C=CC=CC2)C(=O)NC=3C=CC=4OCCCOC4C3	    -10.83
28	Z1498659144	O=C1NC(=O)C=2C=C(C=NC2N1)S(=O)(=O)N3CCCCC3CCCC=4C=CC=CC4	    -10.83
29	Z2028056508	COC(=O)C1=CC=CC=C1CNC(=O)C=2C=CC(OC)=C(C2)S(=O)(=O)N3CCCC3	    -10.82
30	Z16669072	CC1(NC(=O)N(CC(=O)NC=2C=CC=3OCOC3C2)C1=O)C=4C=CC=5OCOC5C4	    -10.82
31	Z647916172	NC(=O)C1(CNC(=O)C=2C=C(NN2)C=3C=CC=CC3)CCOCC1	    -10.82
32	Z18617611	O=C(CNC(=O)C1CCCCC1)OCC2=CC(=O)N3C4=CC=CC=C4SC3=N2	    -10.81
33	Z381193152	CC(=O)NC1=CC(C)=NN1C=2C=CC(=CC2)NS(=O)(=O)C3=CC(=CC=C3C)C(=O)O	    -10.79
34	Z18450018	O=C(COC(=O)C1=CC=CS1)NC=2C=CC=C(C2)S(=O)(=O)N=C3CCCCCN3	    -10.79
35	Z9118299151	O=C(O)C(F)(F)F.O=C(NC=1C=CC(=CC1)C2=NN=C3CCCCCN23)C=4C=CC(=CC4)N5C=NN=N5	    -10.78
36	Z1014009080	CN1C=NN=C1C=2C=CC(=CC2)NC(=O)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4	    -10.77
37	Z118584208	O=C1CC=2C=C(C=C3CCCN1C23)C4=CSC(=N4)NC=5C=CC=6OCCOC6C5	    -10.74
38	Z1585502548	CC(C)(C)OC(=O)N1CCC=2N=CC(=CC2C1)NC(=O)NCC3COC=4C=CC=CC4C3	    -10.73
39	Z65174864	CC(C(=O)NC=1C=CC(=CC1)OCC=2C=CC=CC2)N3CCN(CC(=O)N4CCCC4)CC3	    -10.72
40	Z1799886066	CC(C)C1=NOC=2N=CC(=CC12)C(=O)N3CCCC(C3)C4=NN(C)C=C4C(N)=O	    -10.70
41	Z942553290	CN(C)CCN1C(=O)OC=2C=CC(=CC21)NC(=O)C=3C=CC=4NC(=O)CCC4C3	    -10.70
42	Z2994379945	CC1(CNC(=O)C2=NN=C(O2)C3=CC=NS3)CCOC4(CCC4)C1	    -10.70
