Rank  Ligand               SMILES                                                                           Binding Affinity (kcal/mol) CNNscore   CNNaffinity
39    Z3779622708          COCCC1(CCC1)C=2N=NN(N2)C3(CCC4(CCC4)C3)C(=O)O                                    -7.66      0.01       2.32      
40    Z2846647977          OC1(CC2=CN(CC3CCC4=CC=CC=C4C3)N=N2)CCC1                                          -7.65      0.00       2.53      
41    Z106186716           C=1C=CC(=CC1)N2N=NN=C2CN3CCCC(C3)C4=NC5=CC=CC=C5S4                               -7.64      0.00       3.12      
42    Z3996779491          C[C@H](NC(=O)N1CC(C1)C2CCS(=O)(=O)CC2)C34CC5CC(CC(C5)C4)C3                       -7.62      0.00       2.52      
43    Z220423544           CCC=1C=CC=C(C)C1NC2=NN=C(SC=3C=CC4=NN=NN4N3)S2                                   -7.62      0.01       3.29      
44    Z132986234           O=C(NC1CC1)C=2C=CC=C(C2)NS(=O)(=O)C=3C=CC=4NC(=O)CC4C3                           -7.62      0.00       2.38      
45    Z4327142497          O=C(NCCCN1C=C(N=N1)C2CC3CCC2CC3)C4(O)CC4                                         -7.61      0.01       2.71      
46    Z26552501            O=C(CC1=CC=C(S1)S(=O)(=O)N2CCOCC2)NC=3C=CC(=CC3)N4C=NN=N4                        -7.61      0.00       2.49      
47    Z278195434           O=C1NCC2=CC=CC(NS(=O)(=O)C=3C=CC(=CC3)C4CCCCC4)=C12                              -7.61      0.07       4.51      
48    Z989567952           O=C(CN1CCC(CC1)C=2C=NNC2)N3CCC4CCCCC4C3                                          -7.60      0.00       2.66      
49    Z2967928528          CC1=NOC(=N1)C2CCN(CC3=CN(C)N=C3C4CCCC4)CC2                                       -7.59      0.00       2.13      
50    Z2442669101          CS(=O)(=O)N1CCCC=2C=C(C=CC21)C3=NC(=NO3)C=4C=CC(=CC4)CN                          -7.58      0.00       1.60      
51    Z853040978           O=C(CC=1C=CC(=CC1)N2C=NN=N2)N(C3CC3)C4CCC=5C=CC=CC54                             -7.58      0.00       2.27      
52    Z4521693585          CC1=CC(=O)C(=NN1)C(=O)N2[C@@H]3CC[C@H]2C[C@H](CNC(=O)C4CCC4)C3                   -7.57      0.01       2.79      
53    Z1272291790          CC(C)C1=NC(=NO1)C2CCCN(C2)C3=NN=C(S3)C=4C=CC=CC4                                 -7.56      0.00       1.65      
54    Z46440159            CC=1C=C(C=CC1Br)S(=O)(=O)N2CCN(CC(=O)N3CCCCC3)CC2                                -7.56      0.02       2.80      
55    Z1343325024          CC1CN(CC=2C=CC=CC2)CCC1NC3=NS(=O)(=O)C4=CC=CC=C34                                -7.56      0.00       2.31      
56    Z238138780           CC1CC(C)CN(C1)S(=O)(=O)C=2C=CC(=CC2)C(=O)NCC#CC=3C=CC=CC3                        -7.55      0.00       2.90      
57    Z2446376527          O=C(O)[C@H]1CC[C@H](C1)NC(=O)NC=2C=CC=C(C2)S(=O)(=O)C3CCCCC3 |&1:3,6,r|          -7.55      0.01       2.74      
58    Z106783366           CC(C)C=1C=CC(=CC1)C(NCC(=O)NC=2C=CC=3NC(=O)NC3C2)C4=CC=CS4                       -7.54      0.01       3.53      
59    Z2277205780          CC1=NN(C)C=C1CC(=O)N2C[C@H]3CCC[C@]3(C2)C4=NC(=NO4)C=5C=CC=CC5                   -7.54      0.00       4.22      
60    Z57905460            CC(C)(C)C=1C=CC(=CC1)CN(C(=O)C=2C=CC(=CC2)[N+]([O-])=O)C3CCS(=O)(=O)C3           -7.54      0.00       3.38      
61    Z271101478           CCCC1=NOC(CCC(=O)N2CCN(CC2)S(=O)(=O)C=3C=CC=C(Br)C3)=N1                          -7.53      0.00       2.75      
62    Z105082850           O=C(CN1N=NC(=N1)C=2C=CC=CC2)N(CC=3C=CC=CC3)C4=NC=5CCCCC5S4                       -7.53      0.00       2.94      
63    Z1497593583          CC=1N=C(NS(=O)(=O)C=2C=CC=C3C=CC=CC23)N(N1)C=4C=CC(C#N)=CC4                      -7.53      0.00       2.39      
64    Z1627332498          CN1C=C(C=N1)C2=NC(=NO2)C3COCCN3C(=O)CC4=CC=C5CCCCC5=C4                           -7.53      0.00       2.16      
65    Z28014130            O=C(NC1=NC(=CS1)CN2CCCCC2)C=3C=CC=C(C3)S(=O)(=O)N4CCOCC4                         -7.53      0.00       2.39      
66    Z1068797820          CC1(C)NC(=O)N(CC(=O)N2CCC(CC2)C3=NC(=NN3)C=4C=CC=CC4)C1=O                        -7.52      0.01       3.20      
67    Z1413740994          O=C1NC(=O)C=2C=C(C=CC2N1)S(=O)(=O)N3CC4CCCCC43C=5C=CC=CC5                        -7.52      0.00       3.52      
68    Z2439293564          O=C(COC=1C=CC=2C=CC=CC2C1)N3CCC(CC3)C4CCNC4                                      -7.52      0.00       2.45      
69    Z51165547            C1=C(SC=2CCCCC12)C3=NN=C(CSC4=NN=NN4C=5C=CC=CC5)O3                               -7.52      0.00       3.06      
70    Z316114532           CC1CCCN(C1)S(=O)(=O)C=2C=C(C=CC2Cl)C(=O)NC3=CC(=CC=C3Cl)C(N)=O                   -7.51      0.00       3.09      
71    Z220419248           CCC=1C=CC(=CC1)NC2=NN=C(SC=3C=CC4=NN=NN4N3)S2                                    -7.51      0.00       1.92      
72    Z998533730           O=C(NC=1C=CC=C(C1)C2=NN=CO2)C=3C=CC=C(C3)CN4CCS(=O)(=O)CC4                       -7.51      0.01       3.25      
73    Z109170706           O=C(CCC1=NC(=NO1)C2=CC=CS2)NC=3C=CC(=CC3)N4C=NN=N4                               -7.51      0.00       1.61      
74    Z225073866           O=C(CCC1=NC=C(O1)C=2C=CC=CC2Cl)NC=3C=CC=C(C3)N4C=NN=N4                           -7.50      0.00       2.00      
75    Z2732660627          CC1CC(CC(C)(C)C1)C(=O)NCC2=NN=C(N2)C3CCOC3                                       -7.50      0.00       1.89      
76    Z736424276           CC1=CC(CN2CCN(CC2)S(=O)(=O)C=3C=CC=C4C=NC=CC34)=NO1                              -7.49      0.00       2.69      
77    Z27321232            O=C(CCCC1=NC=2C=CC=CC2C(=O)N1)NCC(=O)NC=3C=CC(F)=C(F)C3F                         -7.48      0.01       3.31      
78    Z30661772            CC=1SC(=NC1C=2C=CC(Cl)=CC2)NC(=O)C=3C=CC=C(C3)N4C=NN=N4                          -7.48      0.00       3.15      
79    Z2595906902          CN(C(=O)C1(N)CC2(CCC2)C1)C=3C=CC(=CC3)OCC=4C=CC=CC4                              -7.48      0.00       2.21      
80    Z3498202204          NCC1=CC(CN2CCC(CC2)N3C(=O)NC=4C=CC=CC43)=NO1                                     -7.48      0.00       2.54      
81    Z321223576           CC=1C=CC=C(C1)NS(=O)(=O)C=2C=C(C=CC2C)NC(=O)C=3C=C(NN3)C4CC4                     -7.48      0.05       4.58      
82    Z1739000805          CC=1C=CC(=CC1C)S(=O)(=O)NC(CCC(N)=O)C(=O)N2CCC3(C2)CCCCC3                        -7.48      0.00       3.17      
83    Z68775359            CCN(CC1=NC=2C=CC=CC2C(=O)N1)C(=O)C=3C=CC=C(C3)S(=O)(=O)NCC=4C=CC=CC4             -7.48      0.00       2.51      
84    Z2961429265          CCC=1C=C(CC(=O)N2CCCC(C2)C3=CC(=NN3)C(C)C)N(C)N1                                 -7.47      0.01       3.19      
85    Z2351776280          CC=1C=C(C=CC1S(=O)(=O)N2CCCC3(CCS(=O)(=O)C3)C2)C(=O)O                            -7.47      0.00       1.42      
86    Z313149094           O=C(C1=CC=2C=CC=CC2N1)N3CCC(CC3)C(=O)N4CCC5=CC=CC=C5C4                           -7.46      0.00       2.12      
87    Z4743806943          CC[C@@H]1CC[C@H](CC1)C(=O)NC(C)C2CN(CCC3CCS(=O)(=O)C3)C2                         -7.45      0.00       2.57      
88    Z216782384           CC(C)(C)C=1C=CC(=CC1)C2=NN=C(CNC(C=3C=CC=CC3)C4CC4)O2                            -7.45      0.00       1.98      
89    Z1420320789          CC=1C=CC=C2C(=CNC12)CCNS(=O)(=O)C=3C=CC=4NC(=O)C(C)(C)C4C3                       -7.45      0.00       3.57      
90    Z368085902           CC1=NOC(=N1)C=2C=CC(=CC2)C(=O)NC=3C=CC=C(C3)N4CCCCC4=O                           -7.44      0.01       3.29      
91    Z44490026            CC=1C=CC(=CC1)NC(=O)C(NCC=2C=CC=3OCOC3C2)C=4C=CC=CC4                             -7.44      0.00       2.19      
92    Z3340718482          C=1C=CC=2N=C(C=CC2C1)C3=NOC(=N3)C4CCN(CC5CC5)CC4                                 -7.44      0.00       2.41      
93    Z16525898            CC=1C=CC=CC1C=2N=NN(CC(=O)NC=3C=CC(C)=C(C3)S(=O)(=O)N(C)C)N2                     -7.44      0.07       4.43      
94    Z1425789034          O=C1NC=2C=CC(=C3C=CC=C1C23)S(=O)(=O)NC=4C=C(NN4)C5CC6CCC5C6                      -7.44      0.04       4.34      
95    Z53173233            C=1C=CC(=CC1)COC=2C=CC(=CC2)C3C=C(NC4=NN=NN43)C=5C=CC=NC5                        -7.43      0.00       2.39      
96    Z31773455            O=C(NCC=1C=CC=NC1)C=2C=CC=C(C2)S(=O)(=O)NC3=CC=CC(Cl)=C3                         -7.43      0.00       2.82      
97    Z101877784           O=C(CNS(=O)(=O)C=1C=CC(F)=CC1)NCC(=O)NC2=CC=CC3=CC=CN=C23                        -7.43      0.00       2.67      
98    Z52529448            COC=1C=CC(=CC1Br)S(=O)(=O)NC=2C=CC=C(C2)S(=O)(=O)NC(C)(C)C                       -7.43      0.02       2.98      
99    Z2073518040          O=C(C1=CC=C2C=CCCC2=C1)N3CCCC(C3)C4=NNC(=N4)C5CC5                                -7.43      0.00       2.99      
100   Z18334675            NS(=O)(=O)C=1C=CC=C(C1)NC(=O)COC(=O)C=2C=CC=C(C2)OC=3C=CC=CC3                    -7.42      0.00       2.30      
101   Z237266744           CC=1C=CC(=CC1S(=O)(=O)N2CCCCC2)NC(=O)C=3C=CC=4NN=NC4C3                           -7.42      0.00       2.43      
102   Z26394432            O=C(NCCC1=CNC=2C=CC=CC12)C=3C=CC=C(C3)CN4C(=O)C=5C=CC=CC5C4=O                    -7.42      0.00       3.42      
103   Z4636143411          NC(=O)C1CCN(CC1)C(=O)C2CCN(CC3=CC(Cl)=CC4=CC=CC=C34)CC2                          -7.42      0.00       1.53      
104   Z2628071977          O=C(C=1C=CC=C(C1)C2=NOC(O)=N2)N3CCCC(C3)C4=NN=C5CCCN45                           -7.42      0.00       2.01      
105   Z1818437717          C1=C(CNC23CC4CC(CC(C4)C3)C2)N=NN1CC5=CC=CN=C5                                    -7.41      0.00       3.07      
106   Z285610048           CC1=NOC(C)=C1S(=O)(=O)N2CCN(CC3=NC(=NO3)C(C)(C)C)CC2                             -7.41      0.00       2.61      
107   Z109337802           CN(C1CCCCC1)S(=O)(=O)C=2C=CC(=CC2)NC(=O)C3CC4=CC=CC=C4O3                         -7.41      0.00       2.25      
108   Z2442445909          NC(=O)NC=1C=CC=C(C1)C2=NC(=NO2)C3(N)CCCC3                                        -7.41      0.00       2.98      
109   Z2038003595          O=C(NC=1C=CC(=CC1)CCN2CCSCC2)N3CCCC(C3)C4=NNC(=O)O4                              -7.40      0.00       2.84      
110   Z4415003927          O=C(O)C1(CC2=CN(CCC=3C=CC=CC3)N=N2)CCCN(C1)C(=O)C4CCOC4                          -7.40      0.01       3.09      
111   Z815925768           CS(=O)(=O)C=1C=CC(=CC1)CNC(=O)C2CCCN(CC=3C=CC=CC3)C2                             -7.40      0.02       2.97      
112   Z2441818145          O=C(CCC1=CC=CS1)N2CCC(CC2)C3=CC(=NN3)C4CCNCC4                                    -7.39      0.00       2.02      
113   Z443900504           O=C(NC1CC2CC1C3CCCC23)C=4C=CC(=CC4)CS(=O)(=O)C=5C=CC=CC5                         -7.39      0.04       3.70      
114   Z2762361600          NC(=O)[C@]12CN(C[C@@H]2COCC1)C(=O)C=3C=C(NC3C4CC4)C5CC5                          -7.39      0.00       1.40      
115   Z1745252686          O=C(CN1CCC2(C1)C(=O)NC3=CC=CC=C32)NC4=NC=5CCCCC5S4                               -7.39      0.00       1.38      
116   Z31602843            O=C(C=1C=CC(=CC1)CN(CC=2C=CC=CC2)S(=O)(=O)C=3C=CC(Cl)=CC3)N4CCNC(=O)C4           -7.38      0.01       3.04      
117   Z3174072424          O=C(O)C1C2CC1(CC2)C3CCCN(C3)C(=O)C4CCC5=NN=C(C6CC6)N5C4                          -7.38      0.00       3.35      
118   Z1139247439          CC=1C=CC(=NN1)N2CCCC(C2)NCC=3C=CN(N3)C=4C=CC=CC4                                 -7.38      0.01       3.07      
119   Z96101021            CC=1OC(NC(=O)CSC2=NN=NN2C=3C=CC=CC3)=C4C(=O)NN=C(C)C14                           -7.38      0.00       3.03      
120   Z2227075451          O=C(C1=CN(N=N1)C=2C=CC=CC2)N3CCC(CC4=NC5=CC=CC=C5N4)CC3                          -7.37      0.00       2.47      
121   Z2495849920          O=C(NCC1CCC2(CCCC2)O1)NC3CCN(C3)C(=O)CCC=4C=CC=CC4                               -7.37      0.00       2.27      
122   Z54346381            O=C(O)C=1C=CC(=CC1)NC(=O)CSC2=NN=C(O2)C3=CNC4=CC=CC=C34                          -7.37      0.00       2.99      
123   Z29506491            [O-][N+](=O)C=1C=CC=CC1S(=O)(=O)N2CCN(CC2)C(=O)C3=CC=C(Br)O3                     -7.37      0.00       1.75      
124   Z108983460           CC=1NC=2C=CC=CC2C1C3=CSC(=N3)NC(=O)CCNC(=O)C=4C=CC=CC4C                          -7.37      0.00       3.83      
125   Z2732440394          O=C(CC1CC2CCC1C2)NCC3=NN=C(N3)C4CCOC4                                            -7.37      0.05       3.10      
126   Z321210784           O=C(NC=1C=CC=C(C1)S(=O)(=O)NC=2C=CC(Cl)=CC2)C=3C=C(NN3)C4CC4                     -7.36      0.00       1.74      
127   Z30932515            CC=1C=CC(=CC1C(=O)NCC=2C=CC(=CC2)S(N)(=O)=O)S(=O)(=O)N3CCCCC3                    -7.36      0.00       2.75      
128   Z62694788            O=C(NCCC1=CNC=2C=CC=CC12)C=3C=CC=C(C3)S(=O)(=O)NCC4=CC=CS4                       -7.36      0.00       2.49      
129   Z32012680            O=C(NC=1C=CC(Cl)=C(C1)S(=O)(=O)NC=2C=CC=CC2Cl)C3=NNC=4C=CC=CC34                  -7.35      0.00       3.51      
130   Z1939915689          O=C(NCCC1=NC(=NO1)C=2C=CC=C(Cl)C2)C3=CC=NN3C=4C=CC=CC4                           -7.35      0.00       2.46      
131   Z2327225398          O=C(NC=1C=CC=C(C1)S(=O)(=O)N2CCC(CC2)C3=NC=CN3)C4=CN=CS4                         -7.35      0.00       2.22      
132   Z46302658            CC1CCCCC1NC(=O)NC(=O)CN(C)CC2=NC3=CC=CC=C3C(=O)N2                                -7.35      0.00       2.40      
133   Z2435423411          CC=1N=C(OC1C)C=2C=CC=C(C2)NC(=O)C=3N=NN(C3C)C4CCNCC4                             -7.35      0.04       3.51      
134   Z27165706            O=C(CC=1C=CC(=CC1)S(=O)(=O)N2CCCCC2)NC3=NN=C(S3)C4CC4                            -7.35      0.00       3.15      
135   Z45945863            CC=1C=CC(=CC1)NC(=O)C=C2NC(=O)C(=CC=3C=C(C=CC3Cl)[N+]([O-])=O)S2                 -7.35      0.00       3.32      
136   Z1587273671          CCC=1C=CC(=CC1)C2=NOC(CN3CCC(CC3)C4=CC(C)=NN4)=N2                                -7.35      0.01       3.35      
137   Z100652672           COC=1C=CC(=CC1)S(=O)(=O)N2CCCC(C2)C(=O)N3CCC4=CC=CC=C43                          -7.35      0.29       4.26      
138   Z3063546079          CC1=NOC(=N1)C2CC(=O)N(C2)C3CN(CC4CC(C)CC(C)C4)C3                                 -7.34      0.00       2.57      
139   Z2439806270          O=C(NC1CCNCC1)C=2C=CC(=CC2)S(=O)(=O)CC=3C=CC=CC3                                 -7.34      0.05       2.71      
140   Z164949800           CC1=NC(=CS1)C2=CC=C(CNC(=O)C=3C=CC(Cl)=C(C3)S(=O)(=O)N4CCCC4)O2                  -7.34      0.00       2.72      
141   Z2677429198          CC[C@@H]1C[C@H]1NS(=O)(=O)C=2C=CC(=CC2[N+]([O-])=O)C3=NN=NN3                     -7.34      0.24       3.99      
142   Z3325175555          CC1CCC2=NNC(C(=O)N3CC[C@H](C3)NC=4C=NC=5C=CC=CC5N4)=C2C1                         -7.34      0.03       3.27      
143   Z107309048           CC1=NN(CC=2C=C(ON2)C3=CC=CO3)C(C)=C1S(=O)(=O)N4CCC(C)CC4                         -7.33      0.00       1.36      
144   Z2616655513          CC1CCC(CS1(=O)=O)NC(=O)NCC2=NC(=CS2)C3=CC=CC=C3F                                 -7.33      0.05       4.23      
145   Z287411070           CCCC1=NOC(CCC(=O)N2CCN(CC2)S(=O)(=O)C=3C(C)=CC(C)=CC3C)=N1                       -7.33      0.01       3.77      
146   Z2683067558          O=C(NC1=NC(=CS1)C2CC2)NC=3C=CC=C(C3)CC=4N=NNN4                                   -7.33      0.00       1.45      
147   Z2385705265          CC1=NN=C(O1)[C@H]2CCCN(CC3=CC=NN3C4CCCC4)[C@H]2C                                 -7.32      0.00       2.32      
148   Z117275256           O=C(C=1C=C(NN1)C=2C=CC=CC2)N3CCCC(C3)C4=NC=5C=CC=CC5S4                           -7.32      0.00       2.74      
149   Z57780730            CC1CCCCN1S(=O)(=O)C=2C=CC(=CC2)NC(=O)C3COC4=CC=CC=C4O3                           -7.32      0.00       2.34      
150   Z1731913449          CC(C)(C)C1=NN=C(CNC2CC3CCC2(C)C3(C)C)O1                                          -7.32      0.07       3.70      
151   Z230130348           O=C(NCC1=CN(CC=2C=CC=CC2)N=C1C=3C=CC=CC3)C4CC=CCC4                               -7.31      0.00       2.83      
152   Z2879699444          O=C1NC=2CCC(CC2C=C1C3=NOC(=N3)[C@H]4C[C@@H]5CC[C@H]4O5)C=6C=CC=CC6 |&1:16,18,21,r| -7.31      0.00       2.64      
153   Z240368554           O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=C(C3)C4=NN=NN4                              -7.31      0.00       2.30      
154   Z25828638            O=C1NC(CC2=CNC=3C=CC=CC23)C(=O)N1CC4=NN=C(O4)C=5C=CC(Br)=CC5                     -7.31      0.00       2.51      
155   Z2159804502          CC(C)(C)CC(O)CC1=NC(CC=2C=CC=3C=NNC3C2)=NO1                                      -7.31      0.02       3.25      
156   Z2766479801          CC(C)C1=NNC(=N1)[C@H]2CN(C[C@@H]2C3CC3)C(=O)C(C)(C)C4=CNC=N4                     -7.31      0.00       2.09      
157   Z1684441737          CN(C)S(=O)(=O)CC1=NOC(=N1)C2CCC(CC2)C=3C=CC=CC3                                  -7.31      0.05       3.76      
158   Z4327152866          CCC[C@H](O)C(=O)N1CCC(CN2C=C(N=N2)C3CC3)CC1                                      -7.30      0.00       3.06      
159   Z216678694           O=S(=O)(C=1C=C(F)C=CC1F)N2CCN(CC3=CC=CC4=CC=CN=C34)CC2                           -7.30      0.00       1.99      
160   Z1129784534          CC(C)NC(=O)NC=1C=CC(=CC1)C(=O)N2CCC(CC2)N3CCCC3=O                                -7.30      0.04       3.23      
161   Z2761464294          CC(C)(C)C1=NN=C(O1)C(=O)N[C@@H]2C[C@@H](O)C32CCOCC3                              -7.30      0.23       3.78      
162   Z319032354           O=C(CN1CC=C(CC1)C2=CNC=3C=CC=CC23)NCC4=CC=CS4                                    -7.30      0.00       2.87      
163   Z3516524892          CN1CCC(CC1)C=2NN=C3CCN(CC23)C4CCC5(CCCC5)C4                                      -7.29      0.00       2.63      
164   Z24793872            CC=1C=CC=C(C1)N2N=NN=C2SCC(=O)NC=3C=CC=4CCCC4C3                                  -7.29      0.00       2.86      
165   Z851549736           CC1=NC(=NO1)C=2C=CC=C(C2)NC(=O)NC3CCC4=CC(F)=CC=C43                              -7.29      0.01       3.11      
166   Z2905491033          O=C(NC1CCN2CCCC2C1)C=3C=C(NN3)C4=CNC5=CC=CC=C45                                  -7.29      0.04       2.86      
167   Z51823558            COC=1C=CC(=CC1NC(=O)CCC=2C(C)=NOC2C)S(=O)(=O)N3CCCCC3                            -7.29      0.00       2.63      
168   Z4009716173          O=C(O)CC12CC3CC(C1)CC(C3)(C2)NC(=O)[C@@]45C[C@H]5[C@H](C4)C=6C=CC=CC6 |&1:17,19,20,r| -7.29      0.00       2.68      
169   Z450231236           CC=1C=CC(=CC1S(C)(=O)=O)C(=O)NC2=NC(=CS2)C3=CNC4=CC=CC=C34                       -7.29      0.03       4.63      
170   Z66581057            CC=1C=CC=2C(=CC(=O)OC2C1)CSC3=NN=NN3C=4C=C(C)C=C(C)C4                            -7.29      0.00       2.58      
171   Z1836231494          CC=1C=CC(C)=C(C1)S(=O)(=O)NC=2C=CC=C(C2)S(=O)(=O)N3CCC(CO)CC3                    -7.29      0.15       4.81      
172   Z144733104           O=C1NC(=O)C2=CC=CC=C2C1=CC=3C=NN(C3)C=4C=CC=CC4                                  -7.29      0.00       1.71      
173   Z369395754           CC=1C=CC(=CC1F)C2=NOC(=N2)C(C)NC=3C=CC=4NC(=O)CCC4C3                             -7.29      0.09       4.51      
174   Z2613766302          O=C(NCC1CCC(CC1)C=2C=CC=CC2)N3CCC(O)(CC3)C4CC4                                   -7.28      0.00       1.47      
175   Z2781417800          COCC=1N=CC=2CN(CCC2N1)C(=O)C3CC=4C=CC=CC4CN3C(C)=O                               -7.28      0.07       3.37      
176   Z1676120427          CCN1C(=O)CCC=2C=C(C=CC21)NC(=O)CCC3=NC4=CC=CC=C4C(=O)N3                          -7.28      0.01       3.85      
