Rank  Ligand               SMILES                                                                           Binding Affinity (kcal/mol) CNNscore   CNNaffinity
4060  Z2764772742          CCN1C=CN=C1CN2CCN(CC2)C(=O)[C@@]34CNC[C@H]4COCC3                                 -6.14      nan        nan       
4061  Z2677429783          C=CCN(C1CC1)S(=O)(=O)C2=CC(=NO2)C=3C=CC(=CC3)[N+]([O-])=O                        -6.14      0.01       2.73      
4062  Z1928911142          CC1=C(C=NN1CC2CCOCC2)C(=O)N3CC(O)CC=4C=CC=CC43                                   -6.14      0.00       1.85      
4063  Z89554767            CC(C=1C=CC(=CC1)N2C=NC=N2)N(C)C(=O)CC=3C=CC(Cl)=C(Cl)C3                          -6.14      0.00       3.05      
4064  Z1332959656          COC=1C=C(C=CC1C)C2(CCC2)C3=NC(=NO3)C4=CC=CN=C4                                   -6.14      0.04       3.22      
4065  Z1139485257          CC=1C=CC(=CC1)C=2C=C(CN3CCCCC3CN4C=NC=N4)ON2                                     -6.14      0.00       3.31      
4066  Z1278182790          CC=1C(=CC=CC1NC(=O)NCC2CCCOC2)CSC(C)C                                            -6.14      0.00       2.48      
4067  Z223385122           COC=1C=CC(=CC1OC)C(=O)N2CCN(CC3=CSC(=N3)C=4C=CC=CC4)CC2                          -6.14      0.25       4.09      
4068  Z1701919052          CC1=NNC(C)=C1C2CCCN2C(=O)C=3C=C(COC=4C=CC=CC4F)ON3                               -6.14      0.00       3.05      
4069  Z1785570389          CCC1CCC2(CC1)NC(=O)N(CC(=O)NC=3C=C(Br)C=CN3)C2=O                                 -6.14      0.03       3.73      
4070  Z1579155586          CCC1=NC=2C=CC=CC2N1C3CCN(CC3)S(=O)(=O)CC=4C=CC=C(C#N)C4                          -6.14      0.00       2.67      
4071  Z2055482825          CO[C@@H]1C[C@@H](CO)N(C1)C(=O)C=2C=CC(=CC2)N3C=NN=N3                             -6.14      0.00       2.49      
4072  Z1320209225          CCOC=1C=CC(=CC1)C2=NOC(CN3CCC(CC=4C=NN(C)C4)C3)=N2                               -6.14      0.27       4.04      
4073  Z2362322891          CC1=CC(=NN1C2CCCCC2)NC(=O)N3CCC(C)(C3)C(=O)O                                     -6.14      0.02       2.69      
4074  Z14241789            CC1CCCCC21NC(=O)N(CC(=O)NC(=O)NCC=3C=CC=CC3)C2=O                                 -6.14      0.00       1.46      
4075  Z332906580           COC=1C=CC=CC1NC(=O)CC=2C=CC(=CC2)NS(=O)(=O)C3=CC=CS3                             -6.14      0.00       3.08      
4076  Z2388510344          CNC(=O)C1CN2C(C)=NN=C2CN1C(=O)C=3C=CC=C4C=CNC34                                  -6.14      0.01       2.29      
4077  Z2761340931          CCN1N=C(C)C(C(=O)N2CCC(CC2)[C@@H]3CC[C@@H](O3)C(=O)O)=C1C                        -6.14      0.01       3.06      
4078  Z1344329420          CCC1=NC(=NO1)C2(CCCC2)NC(=O)C=3C=CC(=NC3)N4CCC(C)CC4                             -6.14      0.04       3.83      
4079  Z2964868298          CN1C(=O)NC=2N=CC(=CC21)C=3C=CC=C(C3)C(=O)N4CCO[C@H]5COCC[C@H]54 |&1:23,28,r|     -6.14      0.00       1.79      
4080  Z91201941            CC1=NN(C(C)=C1CN(C)C(=O)C=2C=CC=CC2)C3CCS(=O)(=O)C3                              -6.14      0.00       1.84      
4081  Z3796080714          O=S(=O)(C=1C=CC(=CC1)C2CC32CCC3)N4CCNCC4                                         -6.14      0.00       2.20      
4082  Z1507137460          CS(=O)(=O)N1CCC[C@@H]1CNC(=O)NC2CCOC3(CCCCC3)C2                                  -6.14      0.00       2.13      
4083  Z1325677861          CN(CC1=NC=2CCCCC2S1)C(=O)C=3C=CC=C(C3)N4CCCC4=O                                  -6.14      0.00       1.83      
4084  Z1892525418          CC=1C=NC=CC1OC2CCN(CC2)C(=O)NCC(C)(C)CC=3C=CC=CC3                                -6.14      0.00       1.77      
4085  Z319059852           CC1=C(C=NN1C=2C=CC(C)=CC2)C(=O)NCC3CCS(=O)(=O)C3                                 -6.14      0.00       2.29      
4086  Z2906447977          O=C(C1=COC(CN2CC[C@H](O)C2)=N1)N3CCOC4(CCCC4)C3                                  -6.14      0.01       2.20      
4087  Z1571879503          NC(=O)C1COCCN1C(=O)C2=CC=3C=CC=CC3N2CC=4C=CC=CC4F                                -6.14      0.04       3.20      
4088  Z235008788           CC=1C=CC(NC(=O)C=2C=CC(=CC2)OCC3=CN4C=C(C)C=CC4=N3)=C(O)C1                       -6.14      0.04       4.47      
4089  Z321154668           CC(=O)N1CCCC(C1)C(=O)NC=2C=CC(=CC2)C3=CN=C(C)O3                                  -6.14      0.00       1.74      
4090  Z226200698           O=C(NC1CCS(=O)(=O)C=2C=CC=CC21)C3=NNC4=CC=CC=C34                                 -6.14      0.02       2.53      
4091  Z55293062            CC=1C=CC=C(C1)NC(=O)N2C=3C=CC(C)=CC3C4CN(C)CCC42                                 -6.14      0.13       4.35      
4092  Z110067546           O=C(COCC1=NC=2C=CC=CC2S1)N3CCCCC3C4=NC5=CC=CC=C5S4                               -6.14      0.00       1.88      
4093  Z2766621599          NC(=O)[C@]12CN(C[C@@H]2COCC1)C(=O)C3(CC3)C=4C=CC=CN4                             -6.14      0.01       2.89      
4094  Z2761740203          CCC=1C=CC(=CN1)CN2CCC(C[C@H]3OCC[C@H]3C(N)=O)CC2                                 -6.14      0.03       3.54      
4095  Z2846991061          CC=1C=CC=CC1OCC(O)CN2C=C(N=N2)C3CCCNC3                                           -6.13      0.00       1.86      
4096  Z291717716           COC=1C=CC(=CC1)C=2C=C(CN3C(=O)N(C)C4(CCCCC4)C3=O)ON2                             -6.13      0.30       3.88      
4097  Z1583999645          CN1N=CC=C1CN2CCCC=3C(=CC=CC32)S(N)(=O)=O                                         -6.13      0.00       3.45      
4098  Z2027456598          CC1=CN2C=C(C=CC2=C1)C(=O)NC=3C=CC=C(C3)NS(C)(=O)=O                               -6.13      0.01       2.82      
4099  Z1329852432          COC=1C=CC(=CC1)C=2C=C(SC2C)C(=O)NC=3C=CC(=CC3F)C(N)=O                            -6.13      0.05       4.24      
4100  Z1771073944          CC=1C=CC(=CC1)NC(=O)CN2CCC(CC2)C3=NN=C4C=C(C)C=CN34                              -6.13      0.00       4.02      
4101  Z1761511075          CC1=NC(CN2C[C@@H](F)C[C@H]2CN(C)C(=O)NC3C=CCCC3)=NO1                             -6.13      0.00       2.17      
4102  Z1395174078          CC=1C=C(C=CC1F)S(=O)(=O)NC2=NC=CN2CC=3C=CC(Br)=CC3                               -6.13      0.00       2.24      
4103  Z3011768191          CC=1C=C(C)N(N1)C=2C=NC=C(N2)NC3CCCC3(C)C(=O)O                                    -6.13      0.01       2.70      
4104  Z2955943420          NC(=O)[C@@]12CCC[C@H]2CN(CC=3C=CC(=NN3)OCC(F)(F)F)C1 |&1:3,7,r|                  -6.13      0.00       2.06      
4105  Z185403302           CC1=C(SC=2N=C(CC=3C=CC=CC3)NC(=O)C12)C(=O)NC=4N=CC=CC4O                          -6.13      0.00       1.90      
4106  Z2041224114          CN(C=1C=NC=CN1)S(=O)(=O)C=2C=CC(=CC2)CS(C)(=O)=O                                 -6.13      0.03       2.47      
4107  Z1738713758          CC=1C=CC(=CC1Cl)S(=O)(=O)NCC2=CC=C(O2)C(=O)O                                     -6.13      0.00       2.50      
4108  Z1973346992          CN(C(=O)C1CCN(C1)C(=O)C2=CC=C(C(O)=C2)[N+]([O-])=O)C=3C=CC=CC3                   -6.13      0.00       2.41      
4109  Z212318562           CC1=NC2=C3C=CC=CC3=NN2C(C)=C1CCC(=O)NC(C)C4=CC=CO4                               -6.13      0.00       1.65      
4110  Z2327225208          O=C(C=1C=CC(=CC1)S(=O)(=O)N2CCCC(O)C2)N3CCCC4=CC=CC=C43                          -6.13      0.01       2.30      
4111  Z1210904110          C=1C=CC(=CC1)CC2=NOC(CC3OCCC=4C=CC=CC43)=N2                                      -6.13      0.01       3.82      
4112  Z27754456            CC1=CC=C(O1)C(=O)N2CCN(CC2)C(C=3C=CC=CC3)C=4C=CC=CC4                             -6.13      0.00       2.51      
4113  Z908358300           CC(C)CN1C=C(C(=O)N2CCC=3NN=CC3C2)C=4C=CC=CC41                                    -6.13      0.01       2.55      
4114  Z14183259            O=C1NC2(CCC=3C=CC=CC32)C(=O)N1CC=4C=CC(Cl)=CC4                                   -6.13      0.01       2.09      
4115  Z1577720566          O=C(NCCNC(=O)N1CCC(CC=2C=CC=NC2)CC1)C=3C=CC=NC3                                  -6.13      0.29       4.57      
4116  Z397159612           CC(CC(=O)N1CCCC(C1)NS(C)(=O)=O)C=2C=CC=CC2                                       -6.13      0.04       2.50      
4117  Z1892084998          O=C(C=1C=C(C=CN1)N2CCCC2)N3CCCC3CCC=4C=CC=CC4                                    -6.13      0.00       2.25      
4118  Z1745271965          CS(=O)(=O)N1CC(CNCC2=CNN=C2C=3C=CC=CC3F)C1                                       -6.13      0.00       0.95      
4119  Z1278691805          CC=1C(F)=CC=CC1S(=O)(=O)NC=2C=CC(=CC2)C3=NN(C)C=C3C(=O)O                         -6.13      0.00       2.72      
4120  Z220707854           O=C(C=1C=C(NN1)C=2C=CC=CC2)N3CCN(CC3)C(=O)C4CCCO4                                -6.13      0.00       2.16      
4121  Z2371487728          CCC=1C=CC(=CC1)C2CCN(C2)C(=O)NC=3C=CC(=CC3OC(C)C)C(N)=O                          -6.13      0.03       3.46      
4122  Z1565401698          CC1=COC(=N1)C=2C=CC=C(C2)NC(=O)N3CCC=4C=C(F)C=CC4C3                              -6.13      0.04       4.31      
4123  Z1040527802          O=C(NC=1C=CC(=CC1)N2C=CN=N2)N3CCC(C3)C=4C=CC=CC4                                 -6.13      0.00       2.48      
4124  Z1445264571          CC=1C=CC=C(C1)COC=2C=CC=C(C2)C(=O)N3CCOC(C3)C(=O)O                               -6.13      0.00       3.02      
4125  Z223222306           O=C(NC=1C=CC=CC1)N2CCCC(C2)C3=NN=C4C=CC=CN34                                     -6.13      0.00       1.57      
4126  Z826942972           CC=1N=C(NCCN2CCN(CC2)S(C)(=O)=O)C=3C=NN(C=4C=CC=C(Cl)C4)C3N1                     -6.13      0.00       2.32      
4127  Z1445171898          CC=1N=C(SC1C(=O)NCC(CC=2C=CC=CC2)C(=O)O)C=3C=CC(F)=CC3                           -6.13      0.00       3.01      
4128  Z4503940324          C[C@H]1C[C@@H]1C(=O)NCC=2C=CC(=CC2)CNC(=O)C=3C=C(F)C=CC3F                        -6.13      0.07       3.62      
4129  Z1513492635          COCC=1N=C(C)C=C(N1)N2CCC(CC2)N3CCCC3C(N)=O                                       -6.13      0.01       2.46      
4130  Z1190511041          CC1CCCCC1OCC(=O)N2CCC(CC2)OC=3C=CC(C#N)=CC3                                      -6.13      0.01       2.81      
4131  Z809448116           CC=1C=CC(C(=O)NCC=2C=CC(=CC2)CN3C=CC=CC3=O)=C(O)C1                               -6.13      0.08       4.28      
4132  Z1169954022          C=1NC=2C=CC=CC2C1CC3=NC(=NO3)C=4C=CC=CN4                                         -6.13      0.00       2.87      
4133  Z1741516885          CC1(C)C(=O)NC(=O)N1CC(=O)N2CCOC(C2)C3CC3                                         -6.13      0.00       1.40      
4134  Z2305943236          CC1(CC=CCC1)NC(=O)C2=CC(=CC=C2F)N3CCNC3=O                                        -6.13      0.00       2.16      
4135  Z26972108            O=C(C=1C=CC(=CC1)N2C=NN=N2)N3CCC(CC3)C4=NC=5C=CC=CC5O4                           -6.13      0.02       3.50      
4136  Z3299536538          CC=1N=C(C=2CCCCC2N1)N3CCC(CC3)C4(CC4)NC(=O)CCN(C)C                               -6.13      0.01       2.99      
4137  Z1729237061          CC=1C=CC(CN2C(=O)CC(CC=3C=NN(C)C3)C2=O)=C(C)N1                                   -6.13      0.00       2.33      
4138  Z1213679416          COC=1C=CC(=CC1)C(CNC(=O)C=2OC=3C=C(Br)C=CC3C2C)N4CCOCC4                          -6.13      0.00       2.11      
4139  Z1804142880          COC=1C=CN=C(N1)NC2CCN(CC3=CN=C4C=CC(C)=CN34)CC2                                  -6.13      0.01       2.86      
4140  Z133963756           CC1=CC=C(S1)S(=O)(=O)N(C)CC=2C=CC=CC2N3CCCCC3                                    -6.13      0.00       3.05      
4141  Z1499407167          O=C(NC=1C=CC(=CC1)CCN2CCOCC2)N3CCCC(CN4C=CN=N4)C3                                -6.13      0.01       3.00      
4142  Z212487126           CC1=NC2=C3C=CC=CC3=NN2C(C)=C1CCC(=O)NC=4C=CC(F)=CC4                              -6.13      0.00       1.79      
4143  Z88313746            CCC1=NN=C(NC(=O)C=2C=CC=CC2C=3C=CC=CC3C#N)S1                                     -6.13      0.00       1.30      
4144  Z1413700738          O=C(O)C1CN(C(=O)C2=CC=3C=CC=CC3C(=O)N2)C=4C=CC=CC41                              -6.13      0.00       1.86      
4145  Z960451826           CC1=CN(CC(=O)NC=2C=NN(C2)CC3CCCO3)C=4C=CC=CC14                                   -6.13      0.01       2.48      
4146  Z2222942628          CCN1N=NC=C1C(=O)NC2CCC3=NC(=NN3C2)C(C)C                                          -6.13      0.00       1.71      
4147  Z1780692412          O=C(NC1=CC=C2COCC2=C1)N3CCC(CN4CCCCC4)C3                                         -6.13      0.00       2.21      
4148  Z1991762054          O=C(O)C1=CC=2C=C(C=CC2O1)NC(=O)C=3C=CN(N3)C4CCCC4                                -6.13      0.00       2.83      
4149  Z2392377891          CC1=NN=C(O1)[C@H]2CCCN(C(=O)C=3C=CC=C4OCCOC34)[C@H]2C                            -6.13      0.00       2.09      
4150  Z1567207691          OC1(CC=2C=CC(F)=CC2F)CC3CCC(C1)N3CC=4C=CN=CC4                                    -6.13      0.00       1.81      
4151  Z1461727959          CCS(=O)(=O)NCC(=O)N1CCN(CC1)C(=O)NC2CCCCC2                                       -6.13      0.01       2.93      
4152  Z169697822           O=C(CC1=CSC(=N1)N2CCCC2=O)NC3(CCC3)C=4C=CC=CC4                                   -6.13      0.00       2.73      
4153  Z1848687686          CC1(C)CC(NC(=O)CC=2C=CC=CC2C(N)=O)C=3C=CC(F)=CC3O1                               -6.13      0.01       2.46      
4154  Z816341074           O=C(CC1=CC=CS1)N2CCCC2C(=O)NC3=CC=CC4=NC=CC=C34                                  -6.13      0.00       2.05      
4155  Z1738488418          COC=1C=CC=C(C1)C(NS(=O)(=O)C2=CC=C(C)S2)C(=O)O                                   -6.13      0.00       1.38      
4156  Z17749384            CC(C)C=1C=CC(=CC1)NC(=O)CN2N=NC(=N2)C=3C=CC(F)=CC3                               -6.13      0.01       2.81      
4157  Z1030757882          CC1=CC(C(=O)NCCCC=2C=NN(C)C2)=C(C)N1C3CCCCC3                                     -6.13      0.01       2.45      
4158  Z2912243152          CC1=CC(=CC(=O)N1)CNC(=O)CC(C)C2CCCCC2                                            -6.13      0.01       3.99      
4159  Z737188732           NC(=O)C1(CCCCC1)NC(=O)C=2C=CC(=CC2)N3CCNC3=O                                     -6.13      0.00       1.79      
4160  Z54638671            CN1CCN(CC1)S(=O)(=O)C=2C=CC(=NC2)OC=3C=CC(=CC3)CO                                -6.13      0.02       3.60      
4161  Z46363670            CN(CC(=O)NC=1SC=2CCCCC2C1C(N)=O)CC(=O)NC=3C=CC=CC3Cl                             -6.13      0.00       1.39      
4162  Z221346262           O=C(CC(C(=O)O)C=1C=CC=CC1)NC=2C=CC=3OCC(=O)NC3C2                                 -6.13      0.00       1.27      
4163  Z3687018827          O=C(CC=1C=CC=C(C1)N2CCCC2=O)N[C@@H]3CC(CN4C=CC=N4)C[C@H]3O |&1:16,26,r|          -6.13      0.00       2.49      
4164  Z1982085713          NC(=O)CC=1C=CC(=CC1)NC(=O)C2=CC=NC(C=3C=CC=CC3)=C2N                              -6.13      0.08       3.74      
4165  Z2482958832          CC=1N=C(SC1C)C2CCCN(C2)C(C(=O)O)C=3C=CC=CC3F                                     -6.13      0.00       2.91      
4166  Z2161392979          CC(C)OC=1C=CC=CC1N2CCN(CC3=CSC(=N3)C4=CC=CC=N4)CC2                               -6.13      0.05       3.75      
4167  Z27362834            CC1CCC=2C(C(N)=O)=C(NC(=O)CN3C=NC4=C3C(=O)N(C)C(=O)N4C)SC2C1                     -6.13      0.00       3.11      
4168  Z1410686913          O=C(NC=1C=C(NN1)C=2C=C(F)C=C(F)C2)C3CCCN(C3)C4=CN=CC=N4                          -6.13      0.00       3.21      
4169  Z2927356694          CC(NC=1C=CC(=CC1)C2=CN3CCCCC3=N2)C4=CC=NS4                                       -6.13      0.01       2.48      
4170  Z1650751073          O=C1NC=2C=CC=CC2C(=O)N1CC3CCCCS3(=O)=O                                           -6.13      0.00       1.85      
4171  Z741449152           CC1=NC(=CS1)CNS(=O)(=O)C=2C=CC=3CCCCC3C2                                         -6.12      0.01       2.92      
4172  Z1514312678          O=C(NCC1=CC=C(Cl)S1)N2CCC(C2)C3CCOCC3                                            -6.12      0.00       1.88      
4173  Z1921125973          CC=1N=CSC1CN(C)CC2CCN(CC3=NOC(=N3)C(C)C)C2                                       -6.12      0.00       2.87      
4174  Z2996981850          CCC=1C=NC=CC1C2=NOC(=N2)C3CCN(CC=4C=CC=CC4)C3=O                                  -6.12      0.00       1.30      
4175  Z2959459724          CNC(=O)NC1CN(C1)C(=O)C=2C=CC=C(C2)NC3=NC=CS3                                     -6.12      0.04       3.09      
4176  Z1685158974          CSC(C)CC1=NC(=NO1)C2CC(=O)N(C2)C=3C=CC=CC3                                       -6.12      0.02       3.07      
4177  Z2973441299          O=C(N[C@@H]1C[C@H](C1)C=2C=CC=C(F)C2)NC3CCOC43CCOCC4                             -6.12      0.00       2.02      
4178  Z3414415632          CC(=O)N1CC2(C1)C(CCS2(=O)=O)C(=O)N(CC=3C=CC=CC3)C4CC4                            -6.12      0.00       2.07      
4179  Z220412060           CN(CC=1C=CC(Cl)=CC1)C=2C=CC3=NN=NN3N2                                            -6.12      0.00       1.82      
4180  Z4521999225          CC=1C=C(N=C(N1)N2CCC(C)(C2)NC(=O)C34CCC(C4)OC3)C(C)C                             -6.12      0.00       3.20      
4181  Z237915730           CC=1C=CC(C)=C(C1)S(=O)(=O)NCC=2C=CC(=CC2)NC(=O)C3=CC=CO3                         -6.12      0.01       4.17      
4182  Z24794469            CC=1C=CC=C(C1)N2N=NN=C2SC(C)C(=O)NC=3C=CC(F)=CC3                                 -6.12      0.00       2.48      
4183  Z2112793516          CCOC1CC(C1)C2=NC(=NO2)C=3N=CC=C4C=CC=CC34                                        -6.12      0.01       3.31      
4184  Z1083771102          CC1=NN=NN1C2=CC(=CC=C2F)NC(=O)C3CCCN(CC(F)(F)F)C3                                -6.12      0.00       1.64      
4185  Z32291792            CC(NC(=O)C1=NNC=2C=CC=CC12)C=3C=CC=C(Cl)C3                                       -6.12      0.02       2.82      
4186  Z104344218           CC1=CC=CN2C(=O)C=3C=C(C(=O)N4C=5C=CC=CC5CC4C)N(C)C3N=C12                         -6.12      0.00       2.61      
4187  Z1409343679          COC=1C=CC(=CC1OC2CCCC2)CNC(=O)C3CCCC=4NN=CC43                                    -6.12      0.00       2.68      
4188  Z1663593683          CN(CC=1C=CC(Br)=CC1)C(=O)C=2C=CC=3NN=NC3N2                                       -6.12      0.00       1.87      
4189  Z873194778           NC(=O)CN(C1CCCC1)S(=O)(=O)C=2C=NN(C2)C=3C=CC=CC3                                 -6.12      0.01       2.34      
4190  Z1637283437          CC(C)C(NC1CCOCC1)C(=O)NC2=NNC(CC3=CC=CC(F)=C3)=N2                                -6.12      0.00       2.48      
4191  Z2232183258          CC1=NNC(C)=C1CC(=O)N2CC=3C=C(C)C=CC3CC2(C)C                                      -6.12      0.00       1.69      
4192  Z225487882           O=C(NC1=NC(=CS1)C=2C=CC=CC2Cl)C3CC(=O)NC4=CC(F)=CC=C43                           -6.12      0.00       2.21      
4193  Z2154736152          COC=1C=CC=C2C(=NNC12)C(=O)N3CCCC(C3)OCC4CC4                                      -6.12      0.02       2.68      
4194  Z1443635575          O=C(O)C1CC2CCCCC2N1C(=O)CC3CCOC3                                                 -6.12      0.00       1.26      
4195  Z46442956            NC(=O)C1CCCCN1CC(=O)NC=2C=CC=CC2SC=3C=CC=CC3                                     -6.12      0.03       3.09      
4196  Z196099602           CC=1C=CC=C(C1)NC(=O)N2CCN(CCC=3C=CC=CC3)CC2                                      -6.12      0.03       4.19      
4197  Z2285207779          O=C(N1C[C@H]2C(=O)NC(=O)[C@H]2C1)C34CC5CC(C3)CC(C5)(C4)C(F)(F)F                  -6.12      0.00       1.70      
4198  Z3095731196          CC1CCN(CC21CCC2)C3=NN=C(CN4C(=O)CC=5C=CC=CC54)N3C                                -6.12      0.01       3.22      
4199  Z1269013314          CCCC1=NNC(=N1)C2CN(CCO2)C(=O)C=3C=CC=4NC=NC4C3                                   -6.12      0.00       2.74      
4200  Z941778836           CC(C=1C=CC(Cl)=CC1)N(C(=O)C2=CC=C(NC2=O)C=3C=CC=CN3)C4CC4                        -6.12      0.00       2.91      
4201  Z2383864211          CN1C=NN=C1CC2(O)CCCN(CC=3C=CC=C4CC(C)(C)OC34)C2                                  -6.12      0.00       2.02      
4202  Z1442066221          COC=1C=CC=C(C1)OCCN2CCN(CC2)C(=O)C3(O)CCCC3                                      -6.12      0.01       2.81      
4203  Z412360990           CC=1C=CC(=CC1NC(=O)N2CC(C)OC(C)C2)S(C)(=O)=O                                     -6.12      0.00       2.13      
4204  Z454367414           CN(C)S(=O)(=O)C=1C=CC=C(C1)NC(=O)C=2NC=3C=CC=CC3C2Cl                             -6.12      0.01       3.10      
4205  Z223222324           O=C(NC=1C=CC(F)=CC1)N2CCCC(C2)C3=NN=C4C=CC=CN34                                  -6.12      0.00       1.66      
4206  Z16669085            CC1CC=2C=CC=CC2N1C(=O)CN3C(=O)NC(C)(C3=O)C=4C=CC=5OCOC5C4                        -6.12      0.00       2.06      
4207  Z45544010            CC=1C=CC(=CC1NS(=O)(=O)C=2C=CC=CC2Br)C(=O)O                                      -6.12      0.06       3.32      
4208  Z3104348327          O=C(NCC1=CCCOC1)NC[C@@H]2C[C@H]2C=3C=CC=CC3 |&1:12,14,r|                         -6.12      0.00       2.23      
4209  Z2060776860          CC(=O)N1C=CC2=CC=CC=C2C1CC(=O)N3CCN4N=CC=C34                                     -6.12      0.01       2.65      
4210  Z2385456038          O[C@@H]1C[C@H](NCC2=CNN=C2C=3C=CC=CC3)[C@H]1N4C=CC=N4                            -6.12      0.00       1.88      
4211  Z2004184538          O=C(C=1N=CC=C2C=CC=CC12)N3CCCC(C3)C4=NC=C5CCCCN45                                -6.12      0.00       2.21      
4212  Z2349747813          CCC1(CC)NC(=O)N(CC(=O)N2CC(O)CC2C=3C=CC=CC3)C1=O                                 -6.12      0.00       1.32      
4213  Z2093507407          O=C(CC=1C=CC=CC1)N2CCC(C2)NC3=CC(=O)N4C=CC=CC4=N3                                -6.12      0.00       2.80      
4214  Z1721020096          O=C(NCC=1C=CC(=NC1)OC=2C=CC=C(F)C2)C3COCCN3CC4CCC4                               -6.12      0.00       2.93      
4215  Z131762968           CC=1ON=C(C1C(=O)N(C)CC=2C=NN(C2)CC=3C=CC=CC3)C=4C(F)=CC=CC4Cl                    -6.12      0.00       2.77      
4216  Z1447132838          CC(NC(=O)C1=CNN=C1C=2C(F)=CC=CC2F)C3=CC=CC(=C3)NS(C)(=O)=O                       -6.12      0.00       1.97      
4217  Z2053825468          CC(C)(C)C1=NC(=NO1)NC[C@@H]2CC(=O)N(C3CC3)[C@H]2C=4C=CC=NC4                      -6.12      0.00       2.52      
4218  Z1013976340          CC1=NN=C2C=CC(=CN12)C(=O)N(C(C)C=3C=CC=CC3Cl)C4CC4                               -6.12      0.00       2.70      
4219  Z2607672601          CNC(=O)[C@@H]1CC=2C=CC=CC2CN1C(=O)C=3C=CC(=CC3)OCC(=O)O                          -6.12      0.00       2.14      
4220  Z2763218516          CC1=NN=C(O1)[C@@]23CCC[C@H]3CN(C2)C(=O)CC4=CC=CC=C4F                             -6.12      0.00       1.64      
4221  Z2949056022          CN1C=CC=2C=CC(=CC21)NC(=O)N[C@@]34CC(=O)N[C@H]4CCCC3 |&1:14,19,r|                -6.12      0.00       2.87      
4222  Z119015266           O=C(C1COC=2C=CC=CC2C1)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4                             -6.12      0.00       1.88      
4223  Z48859879            CC=1C=CC(=CC1)NC(=O)CC2=NC(=CS2)C3=CC4=CC=CC=C4O3                                -6.12      0.00       3.57      
4224  Z2607548046          COC=1C=CC=2C(=NNC2C1)NC(=O)C3(CC=CC3)C(=O)O                                      -6.12      0.00       1.37      
4225  Z2063910588          C(NC1(CCOCC1)C2CC2)C3=NN=NN3CC4CCOCC4                                            -6.12      0.00       1.99      
4226  Z1677954774          O=C(CC=1C=C(Cl)C=2OCCOC2C1)NC3=NNC(=N3)C4CCC4                                    -6.12      0.00       1.79      
4227  Z1846217293          CC1=NN=C(CN2CCCC2CC3CCCC=4C=CC=CC43)N1C                                          -6.12      0.02       2.63      
4228  Z1726420136          CC1=NOC(=C1NC(=O)C(=O)NCCC=2C=CC=CC2)C=3C=CC=CC3                                 -6.12      0.00       3.28      
4229  Z226458794           CC=1ON=C(C1C(=O)NC=2C=CC(=CC2)SC3=NC=CN3C)C4=CC=CC=C4Cl                          -6.12      0.00       3.99      
4230  Z237462894           O=C(CC1=NOC=2C=CC=CC12)NC=3C=NC=4C=CC=CC4C3                                      -6.12      0.00       2.34      
4231  Z1621805773          CN1N=C(CN2CCN(CC3=NN(C)C(=O)N3)C4(CCCCC4)C2)NC1=O                                -6.12      0.00       2.10      
4232  Z1708268006          O=S(=O)(C1=CC=CC2=CC=CN=C12)N3CCOC4(CCOC4)C3                                     -6.12      0.00       1.98      
4233  Z2608261405          CC1=NN(CC=2C=CC=CC2)C(C)=C1C3COCCN3C(=O)CC4=CN=NN4C                              -6.12      0.00       1.36      
4234  Z1650357201          O=C(NC=1C=CC=C(C1)C2=NC=3C=CC=CC3S2)N4CCC(O)C4                                   -6.12      0.03       3.35      
4235  Z45658694            CC1=CC(C)=C(C)C(=C1C)S(=O)(=O)NC=2C=CC=CC2O                                      -6.12      0.00       1.61      
4236  Z2303884513          C=C[C@@H]1OCC[C@H]1C(=O)N2CCN(CC2)S(=O)(=O)NC(C)C |&1:2,6,r|                     -6.12      0.00       1.67      
4237  Z56899076            COC=1C=CC(=CC1)N(CCC(=O)O)S(=O)(=O)C2=CC=C(C)C(C)=C2                             -6.12      0.00       1.91      
4238  Z2071763784          COC=1C=CC=2OC(C)CN(C(=O)C=3C=CN=C(C3)NC(=O)C4CC4)C2C1                            -6.12      0.00       2.71      
4239  Z2969845601          CC1=NOC(CCNC(=O)NC2CCOC32CCCC3)=N1                                               -6.12      0.00       1.92      
4240  Z2710637159          CC=1N=CC=CC1CNC(=O)NC2=NC=3CCS(=O)(=O)CC3S2                                      -6.12      0.00       2.54      
4241  Z1090804824          CC=1C=C(C=CC1NC(=O)C2COCCO2)OC(C)C=3C=CC=CC3                                     -6.12      0.02       3.55      
4242  Z1506354329          CC1=NC=2C=CC(=CC2O1)NC(=O)N3CCC(CN4C=CN=N4)CC3                                   -6.12      0.00       3.17      
4243  Z905860168           CC(=O)N(C)C=1C=CC(=CC1)NC(=O)CC=2C(C)=NN(C2C)C=3C=CC=CC3                         -6.12      0.05       3.77      
4244  Z2956037187          CC1=NN(C)C(C)=C1[C@@H]2OCC[C@H]2NCC3=NC(=NS3)C(C)C |&1:8,12,r|                   -6.12      0.00       2.94      
4245  Z728654384           O=C(NCC=1C=CC(F)=CC1)C2CCN(CC2)C(=O)C=3C=CC=CN3                                  -6.12      0.00       2.93      
4246  Z29316679            CN(C(=O)C1CCN(CC1)C(=O)C2CC2)C(C=3C=CC=CC3)C=4C=CC=CC4                           -6.12      0.00       1.64      
