Rank	Ligand	SMILES	CNN_affinity	CNN_score
42	Z27474621	O=C(NC1=NN=C(CC=2C=CC=CC2)S1)C=3C=CC=C(C3)S(=O)(=O)N4CCCCC4	7.54372	0.78282
43	Z4500949732	CC1=CSC(=N1)C2CCN(C2)C(=O)C=3C=C(NN3)C=4C=CC=5C=CC=CC5C4	7.54215	0.63605
44	Z226316470	CCC=1C=CC(=CC1)C(=O)N(CC=2C=CC=CC2)CC3=NC=4C=CC=CC4C(=O)N3	7.54204	0.54276
45	Z20226877	N#CC=1C=CC=CC1NC(=O)CSC=2N=CN=C3SC=4CCCCC4C23	7.5377	0.86419
46	Z117920772	CC=1C=CC(=CC1)C(CN2CCOCC2)NC(=O)C3=NN(CC=4C=CC=CC4)C(=O)C=5C=CC=CC35	7.53743	0.43105
47	Z28930829	O=C(NC(C=1C=CC=CC1)C=2C=CC=CN2)C3CC(=O)N(C3)C4=CC=CC=C4Cl	7.53671	0.55164
48	Z74322411	COC=1C=CC(=CC1)C2=NN=C(N2)SCC(=O)NC3=NC=4C(C)=CC(C)=CC4S3	7.5363	0.69955
49	Z113044304	CC=1C=CC(=CC1F)NC(=O)C(C)SC2=NN=CN2C=3C=CC=C(Cl)C3	7.53629	0.68475
50	Z92479580	CC=1C=CC=C(C1)N2C(=NN=C2N3CCOCC3)SCC4=NC=5C=CSC5C(=O)N4	7.53418	0.52976
51	Z18355741	CC1=CC(C)=CC(=C1)NC(=O)C(SC2=NN=C(N)N2)C=3C=CC=CC3	7.53025	0.75751
52	Z48865598	CC1=CC(C2=CSC(CC(=O)NC=3C=CC=C(C)C3)=N2)=C(C)N1C4CCS(=O)(=O)C4	7.52174	0.53494
53	Z91189063	O=C(NCCC1=NN=C2C=CC=CN12)C=3C=C(C(Cl)=CC3Cl)S(=O)(=O)NC4CC4	7.5204	0.72889
54	Z335915046	CCC1=NN2C(=O)C=C(COC=3C=CC(=CC3CC=4C=CC=CC4)[N+]([O-])=O)N=C2S1	7.51969	0.66573
55	Z4439098605	O=C(NCCC1(CNC2=NC=NN3C=CC=C23)CC1)C4CCC5CCCCN45	7.51677	0.67176
56	Z442692336	CC1OC=2C=CC(=CC2NC1=O)NC(=O)C(OC=3C=CC=CC3)C=4C=CC=CC4	7.516	0.71397
57	Z21446674	O=C(COC=1N=CN=C2SC=C(C=3C=CC=CC3)C12)NC4=CC=CC=C4C(F)(F)F	7.50652	0.59918
58	Z119821162	CC1=C(SC=2N=C(CC=3C=CC=CC3)NC(=O)C12)C(=O)NC4=NN=C(S4)C(C)C	7.50366	0.72027
59	Z2235008507	O=C(NC=1C=CN(CC=2C=CN=CC2)N1)C(=O)N(CC=3C=CC=CC3)C=4C=CC=CC4	7.49835	0.49702
60	Z2018099575	CCC(NC(=O)NC=1N=NN(CC=2C=CC=CC2F)C1C)C=3C=CC=C(Cl)C3	7.49668	0.6986
