Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
4811	Z284538696	CC1OC=2C=CC=CC2N(CCC(=O)NC=3C=CC(=CC3)N4C=CN=C4)C1=O	-5.080000	6.420600	0.548870
4812	Z1944114721	O=C(C=1N=CC=CC1Br)N2CCCC3(C2)NC(=O)NC3=O	-4.900000	5.707530	0.548850
4813	Z2060823790	CN1N=CC(C(=O)N2CCC(C2)C3=NC(=NO3)C4CC4)=C1C5CC5	-6.430000	6.763110	0.548750
4814	Z2798534187	C1=CNC(=N1)C=2C=C(C=CN2)C3=NC(=NO3)C4CCCC4	-5.960000	6.433370	0.548730
4815	Z809260614	CC1=NN(C)C(C)=C1CC(=O)N2CCC(COC=3C=CC=CC3)CC2	-7.090000	6.404880	0.548730
4816	Z2690312151	O=C(NCC1=NC=CS1)C2CCCC3CCCN23	-5.140000	5.931470	0.548700
4817	Z2055768693	COC=1C=CC(C(=O)N2C[C@@H](C[C@H]2C3=NC=NN3)OC)=C(C)C1	-5.380000	6.063740	0.548690
4818	Z2027199725	CC=1N=C(C)N(N1)C2CN(C2)C(=O)COC=3C=CC=CC3F	-4.760000	6.306800	0.548640
4819	Z199549732	CN(CC=1C=NN(C1)C=2C=CC=CC2)C(=O)CN3CCN(CC3)C=4C=CC=CC4	-6.420000	6.594380	0.548610
4820	Z2043590188	COC=1N=CC=CC1C2=CSC(=N2)C3=C(C)N=C4SC=CN34	-4.730000	6.302910	0.548530
4821	Z1884414681	CCS(=O)(=O)C1CCN(CC1)C(=O)NC2C3CC4=CC=CC=C4C23	-5.930000	5.247390	0.548510
4822	Z2238933793	CC1CN(CCCCC(=O)O)CC(O1)C=2C=CC(F)=CC2	-4.830000	5.441140	0.548500
4823	Z2004580068	CC=1C=NC=C(C(=O)N2C3C=C(CC2CC3)C=4C=CC=CC4)C1O	-6.170000	6.500570	0.548490
4824	Z1203253707	CN(C(=O)C=1C=CC(Br)=CC1Cl)C=2C=CC=NC2	-5.150000	6.093980	0.548450
4825	Z2272871752	CCCC1(COC)CCCN1C(=O)C=2C=CC=C(N2)C(=O)O	-4.940000	5.930040	0.548440
4826	Z1348100572	CC=1NC=CC1C(=O)NC2(CCCC2)C=3C=CC=4OCCOC4C3	-5.320000	6.357190	0.548400
4827	Z3053695978	CC1=CN2C=CC(=CC2=N1)C(=O)NC(C)(C)C(O)C(F)(F)F	-4.710000	6.192000	0.548380
4828	Z1101806429	COC=1C=CC(C)=CC1N2C=CC(=N2)C(=O)NC=3C=CC(F)=CN3	-5.740000	5.670110	0.548330
4829	Z2911925656	CC(C)CC=1N=CC(=CN1)NC(=O)C2(CC3(CCC3)C2)C(=O)O	-6.420000	6.392430	0.548330
4830	Z300153134	O=C(NC=1C=CC=C(C1)C(F)(F)F)C=2C=CC=C(C2)S(=O)(=O)N3CCNC(=O)C3	-5.780000	6.190190	0.548320
4831	Z368052080	O=C(O)C1=CC=2C=C(C=CC2S1)NC(=O)C=3C=COC3	-5.610000	5.524920	0.548260
4832	Z3290588385	O=C(N[C@H]1CC[C@H](O)CC1)C2=NN=C3C=CC(Br)=CN23	-5.960000	6.165680	0.548250
4833	Z2866905804	C#CCCC1(CCC(=O)N2CCC=3C=CC=C(F)C3C2C)N=N1	-5.180000	6.076700	0.548200
4834	Z3338141779	CN1C=C(N=N1)S(=O)(=O)NC2=CC=C3CCCC3=C2	-5.910000	5.932620	0.548120
4835	Z2171378802	CN(C[C@@H]1OCCN(C)[C@H]1C=2C=CC=CC2)C(=O)NC=3C=CN4C=CN=C4C3	-5.760000	5.878620	0.548090
4836	Z3353684091	CC(O)CC1CCCCN1C(=O)C=2C=CC(Cl)=C(O)C2	-5.570000	5.662520	0.548050
4837	Z31769442	COC=1C=CC=CC1NS(=O)(=O)C=2C=CC=C(C2)C(=O)NCC3=CC=CC=N3	-6.380000	6.143990	0.547910
4838	Z2034744929	CC(C)NC(=O)CNS(=O)(=O)C=1C=CC=2NN=NC2C1	-5.470000	6.509500	0.547880
4839	Z408281604	O=C(NCCC=1C=CC(Cl)=CC1)C=2C=CC=3C=CNC3C2	-5.680000	6.012540	0.547790
4840	Z123564904	CN1C=CN=C1C(NC(=O)C=2C=CC=CN2)C=3C=CC(F)=CC3	-4.680000	6.369180	0.547760
4841	Z729353458	O=S1(=O)CCCN1CC2=CC=CC=3C=CC=NC23	-5.450000	5.225010	0.547750
4842	Z223864120	CC=1C=CC=CC1NC(=O)C=2C=NC=3ON=C(C3C2)C(C)C	-5.550000	5.483520	0.547720
4843	Z2776186624	CC(=O)N1CCC[C@@H]1C(=O)NC2=NC=3C=CC(F)=CC3N2	-4.440000	5.590970	0.547710
4844	Z1537191559	CC=1C=C(C=CC1C(=O)O)NC(=O)C=2C=NC=C(F)C2	-4.920000	5.631760	0.547690
4845	Z1906773242	NC(=O)C=1N=CC=CC1C(=O)N2CCC(C2)C3CC3	-5.830000	5.800760	0.547680
4846	Z2956576188	N/A	-4.300000	5.047440	0.547650
4847	Z1439659315	CCC(NCC=1C=C(ON1)C=2C=CC=CC2)C3CCOCC3	-6.240000	5.897110	0.547630
4848	Z246757592	CC=1C=CC(=CC1C)NC(=O)CC2=CN3C=CC=CC3=N2	-5.540000	6.306250	0.547600
4849	Z1283614609	CN(CC1=CC=CO1)CC=2C=CC=CC2CNC(=O)N3CCC=4SC=CC4C3	-5.920000	6.753720	0.547560
4850	Z1129730180	CC1=NC(C)=C(S1)C(=O)NCCC2=NC(=CS2)C(C)(C)C	-5.070000	6.587800	0.547440
4851	Z1139321653	CC=1C=NN(C1)CC2CCCN2C(=O)C=3OC=4C=CC=CC4C3C	-5.760000	6.091870	0.547440
4852	Z445157126	CC1=CC(C(=O)N(CC(=O)O)CC2CC2)=C(C)S1	-5.020000	5.083740	0.547410
4853	Z2054917173	CC1=NOC=2N=CC(=CC12)C(=O)N3CCC[C@H]3CN4C=C(N=N4)C5CC5	-6.680000	6.730670	0.547380
4854	Z1432001761	FC=1C=CC(CCNC=2N=CN=C3CCCCC23)=C(F)C1	-4.730000	6.216750	0.547370
4855	Z728859330	CCN(CCC(=O)O)S(=O)(=O)C=1C=CC(=CC1)C(C)C	-5.040000	5.633210	0.547370
4856	Z73228588	CC=1C=CC=C(C1)NC(=O)C=2C=CC=3OCC(=O)NC3C2	-5.660000	5.809440	0.547370
4857	Z1732804828	CC=1C=C(C)C=2C=C(CN3CCC(CC3)C(N)=O)NC2C1	-6.290000	4.997280	0.547300
4858	Z86523477	CC1=CC(C)=NC(=N1)NC(=O)C=2C=CC=C(C2)C(F)(F)F	-4.960000	5.072790	0.547210
4859	Z1908157875	O=C(C=1C=CC(=CC1)COC=2C=CC=CC2)N3CCC(O)(C3)C4CC4	-6.860000	5.772360	0.547200
4860	Z2768784614	FC=1C=CC=CC1CC2=NN=C3CCCCCCN23	-3.340000	5.480140	0.547180
4861	Z2010676458	CC1=NON=C1NC(=O)[C@H](C)NC(=O)C2CCCCC2	-6.230000	5.771090	0.547130
4862	Z1407767219	CC=1C=CC(F)=CC1NC(=O)C=2C=NC=C(C2)C=3C=CC=CC3	-5.720000	5.605810	0.546990
4863	Z67727096	CC(=O)NCC=1C=CC(=CC1)C2=CSC(=N2)NC(=O)C3=CC=CC(C)=C3	-5.800000	6.424170	0.546960
4864	Z730748602	CC(=O)N1CCCCC1C(=O)NC=2C=CC(Cl)=CC2	-5.060000	5.811220	0.546950
4865	Z1644499564	CC1=CN2CCN(CC2=N1)C(=O)C=3C=NN(CC(C)C)C3C4CC4	-5.340000	6.349750	0.546940
4866	Z2010831521	CNC(=O)NC1CN(C1)C=2C=CC(=CN2)[N+]([O-])=O	-5.020000	5.199930	0.546920
4867	Z1312323397	O=C(NCC(F)(F)F)NC1CCCCC1N2C=CC=N2	-4.690000	6.064680	0.546910
4868	Z3009205995	CCN1N=C(C)C(=C1C)S(=O)(=O)NCCC=2C=NOC2	-5.480000	6.519690	0.546890
4869	Z2866906468	C#CCCC1(CCC(=O)NC(C=2C=CC=NC2)C3CC3)N=N1	-4.610000	6.276100	0.546870
4870	Z1614714233	CC1=CC(=O)N(C)C=C1NC(=O)C2(CC2)C(=O)O	-4.620000	5.584840	0.546680
4871	Z383442176	O=C(NC1=NN=CN1)C=2C=CN(N2)C=3C=CC=CC3	-5.050000	5.348160	0.546590
4872	Z1891006911	CC1=CC(=CC(C)=C1Br)C2=NOC(=N2)C3CCC=4NN=CC4C3	-7.360000	6.451830	0.546570
4873	Z212183266	CC=1N=C2C=CC(Cl)=CC2=CC1C(=O)NCC3=CC=CO3	-5.490000	6.307410	0.546560
4874	Z2215945457	CN1N=NC(CN2CC(OC(C)(C)C2)C=3C=CC=C(C3)C(F)(F)F)=N1	-5.750000	5.760990	0.546510
4875	Z3368913159	FC1(F)CC(CC2=NC(=NO2)C=3NN=NC3C=4C=CC=CC4)C1	-5.830000	6.207340	0.546480
4876	Z169150862	CC=1C=CC(=CC1)CN(C)CC(=O)N2CCN(CC2)S(C)(=O)=O	-6.090000	5.120500	0.546430
4877	Z1903371658	CC=1C=CC(=CC1C(=O)N(C)C(C)C)NC(=O)NCC=2C=CC=CN2	-5.590000	6.367070	0.546350
4878	Z1289426347	CC=1C=CC(=CC1)N2CCCC(C2=O)N3CCCN(CC3)C=4C=CC=NN4	-3.690000	5.962640	0.546280
4879	Z1462461182	CC=1C=CC(=CC1NCC2=CN=NN2C)C(=O)N3CC(C)CC(C)C3	-6.600000	6.515260	0.546150
4880	Z3803811795	N/A	-5.560000	5.344320	0.546150
4881	Z2215117500	COC(=O)C12CCC(CC1)(CC2)C(=O)NCC3CCCOC3	-5.770000	5.741720	0.546130
4882	Z1730667741	CCOC1CC(O)C21CCN(CC2)C(=O)NC=3C=CC=CC3CC	-5.660000	6.171370	0.546100
4883	Z111734372	O=C(NCCCC1=NC=2C=CC=CC2N1CC=3C=CC(Cl)=CC3)C4=CC=CO4	-6.100000	6.317090	0.546090
4884	Z2045071368	COC(C)(C)C(=O)NC1=CC=CC(=C1)N2C(=O)NC(C)(C2=O)C3CC3	-5.610000	6.261810	0.546080
4885	Z400051536	CC1CC(C)CN(C1)S(=O)(=O)N2CCCC(C2)C(=O)O	-6.170000	5.491690	0.546050
4886	Z4439286656	Cl.NC(CNC(=O)CC1=NOC=2C=CC(F)=CC12)C=3C=CC=CC3	-4.680000	6.052230	0.546050
4887	Z235352369	O=C(O)CCCC1=NC=2C=CC=CC2C3=NC(=O)C(=NN13)C4=CC=CS4	-5.660000	6.513000	0.546020
4888	Z1219140906	COC=1C=C(F)C=CC1NC(=O)N2CCC(C2)C=3C=NN(C)C3	-4.570000	6.425910	0.546010
4889	Z1751166850	O=C(NCC1(CCO)CC1)NC=2C=CC=3NC(=NC3C2)C(F)F	-4.830000	6.495630	0.546000
4890	Z3687064788	N/A	-5.900000	6.088190	0.545790
4891	Z2704206534	N/A	-6.070000	6.237370	0.545770
4892	Z2787447304	CCC(CC)NC(=O)CC1C(=O)NC2=CC(=CC=C21)OC	-5.930000	6.115700	0.545710
4893	Z1238812110	O=C(O)CC(NC(=O)C1CC(=O)N(CC(F)(F)F)C1)C=2C=CC(F)=CC2	-4.110000	4.077410	0.545690
4894	Z1144333884	CC(C)(C1=NN=C(NC(=O)C=2C=CC=NC2)S1)C=3C=CC=CC3	-5.600000	6.277940	0.545500
4895	Z1974333091	N#CC1(CCCCC1)NS(=O)(=O)C=2C(Cl)=CC(F)=CC2Cl	-5.600000	6.267230	0.545440
4896	Z1518667955	CN(C(=O)C=1N=C(OC1C2CC2)C=3C=CC=CC3)C=4C=CC=5OCOC5C4	-6.520000	6.605330	0.545430
4897	Z1939200763	CN1C=C(C=N1)S(=O)(=O)NCC2=NOC(=N2)C(F)(F)F	-5.010000	5.108750	0.545370
4898	Z1243692204	COC=1C=CC(=CC1)C2CC(C)N(C2)C(C)C(=O)O	-5.750000	5.499120	0.545320
4899	Z223821148	CC1C=2C=CSC2CCN1C=3N=CN=C4C3C=NN4C	-5.040000	6.201530	0.545230
4900	Z62443183	CN(C)S(=O)(=O)C=1C=CC(=CC1)C(=O)N(C=2C=CC=CC2)C=3C=CC=CN3	-5.720000	6.372170	0.545220
4901	Z1882695281	CN(C(=O)CC=1C(F)=CC=CC1Cl)C2=NC=3C=C(Cl)C=CC3S2	-5.670000	6.434520	0.545210
4902	Z1428268853	CC=1N=COC1C(=O)N2CCCCC2C3=NC=4C=CC=CC4O3	-5.370000	6.502260	0.545160
4903	Z73228831	O=C(NC=1C=CC(F)=CC1)C=2C=NC=3C=CC=CC3N2	-4.920000	4.512790	0.545120
4904	Z1575702565	CCC1(CC)C(NS(=O)(=O)C2=CC=CC(=C2)S(N)(=O)=O)C(C)C1OC	-6.580000	6.309300	0.545030
4905	Z1140273002	C=C(C)CN1CCC(CC1)NC(=O)C=2C=CC3=C(C2)CCN3C(C)=O	-5.860000	6.062520	0.544910
4906	Z2771475250	CC=1C=C(NC(=O)N2CCC(C2)C3=NC=CN3)ON1	-5.400000	5.186990	0.544840
4907	Z2880136851	O=C(C1CCOC2(CCC2)C1)N3CC(C3)OC(F)F	-4.580000	5.206950	0.544830
4908	Z1620689572	CC1CC(=O)NC=2C=CC=CC2N1S(=O)(=O)C=3C=CC=C(F)C3F	-4.310000	5.964230	0.544770
4909	Z1329694305	CC(C)(C)C1=CC(=NO1)NS(=O)(=O)C=2C=CC=NC2	-5.800000	6.167000	0.544760
4910	Z4662214611	CCCCC(CC)CNC(=O)C=1C(C)=NN2C=CNC(=O)C12	-4.870000	6.218430	0.544760
4911	Z26408079	CCSC1=NN=C(NC(=O)C2=CC(=O)C=3C=CC=CC3O2)S1	-5.990000	5.868150	0.544740
4912	Z1218323371	CC1=NC(=CS1)CN2CCCN(CC2)C(=O)NC3=CC=CC(=C3)C(N)=O	-3.230000	6.474510	0.544730
4913	Z2457493585	CC=1C=CC(F)=C(C1)C(=O)NC(C)C=2C=CC(=CC2)N3CCNC3=O	-5.900000	6.624640	0.544680
4914	Z4407849670	C[C@H](CN1C=C(N=N1)C2=CN=CS2)NC(=O)CCC3=CC=CC=C3C(=O)O	-5.280000	6.263800	0.544600
4915	Z1823015848	CC(=O)N1CC(C1)C(=O)N2CCN3CCOCC3C2	-5.540000	5.278390	0.544560
4916	Z1891956203	O=C1NC2(CCOC2)C(=O)N1C=3C=CC=C(C3)C(F)F	-4.610000	5.517420	0.544410
4917	Z32390580	CC=1C=CC(C)=C(C1)S(=O)(=O)NCC(=O)NC2=CC=C(F)C(Cl)=C2	-5.860000	6.235900	0.544230
4918	Z2955121529	CCC1(CC)CNC(=O)C1NCC(=O)N(C)CC=2C=CC(F)=CC2	-5.160000	6.166880	0.544190
4919	Z240683518	O=C(NC=1C=CC=CC1)NC=2C=CC=C(C2)NC(=O)C=3C=COC3	-5.870000	5.963990	0.544150
4920	Z295805598	CC=1C=C(C=CC1Br)S(=O)(=O)NC=2C=CC(=NC2)N3C=CC=N3	-6.350000	6.676840	0.544100
4921	Z1568752921	CC1=NC(CN2CCN(CC3=CC=C(O3)C=4C(F)=CC=CC4F)CC2)=NO1	-6.060000	6.006080	0.543940
4922	Z364695432	O=C(C=1C=CC=2CCCCC2C1)N3CCN(CC3)S(=O)(=O)C=4C=CC=NC4	-6.640000	5.935160	0.543940
4923	Z56768428	NC1=NC2=NC=3C=CC=CC3N2C(N1)C=4C=CC(Cl)=CC4Cl	-5.900000	6.452910	0.543930
4924	Z45523575	O=S(=O)(NCCN1C=CN=C1)C=2C=CC=3CCCC3C2	-5.980000	6.135670	0.543850
4925	Z32464216	O=C(NC=1C=CC=2OCCCOC2C1)C=3C=CC=C(C3)S(=O)(=O)NCC=4C=CC=CC4	-4.980000	6.705760	0.543800
4926	Z2784349592	CC=1C=C(CC2=NN=C(N2C)N3CCOC(COC(C)C)C3)NN1	-5.660000	6.330700	0.543790
4927	Z27683081	NS(=O)(=O)C=1C=CC(=CC1)NC(=O)C2=CN(N=C2C=3C=NC=CC3)C=4C=CC=CC4	-6.030000	6.560330	0.543720
4928	Z2766481563	CC=1C=COC1CC(=O)N2C[C@H](C3=NC(=NN3)C(C)C)[C@H](C2)C4CC4	-6.860000	6.714520	0.543670
4929	Z2282926682	C[C@H]1COCCN1C(=O)CC=2C=CN(N2)C=3C=CC=CC3	-5.950000	6.003950	0.543480
4930	Z2900719011	COC(CN(C(=O)C1=CC=2C=CC=C(C2N1)[N+]([O-])=O)C3CC3)OC	-4.890000	5.602770	0.543480
4931	Z2052331474	CN1C(=O)C[C@@H](CNS(=O)(=O)CC=2C=CC=CC2)[C@@H]1C=3C=CN=CC3	-5.830000	5.910400	0.543410
4932	Z408831864	CC(C)C1=CC=C2C=C(NC2=C1)C(=O)NCCC(=O)NC3CCS(=O)(=O)C3	-8.050000	4.757900	0.543380
4933	Z1276057417	CN1C(=NC=2C=C(F)C=CC21)NC(=O)C=3C=NN(C3)C(C)(C)C	-4.870000	6.327000	0.543310
4934	Z1554657924	CC1(O)CCCN(C1)C(=O)NC=2C=CC=CC2CS(=O)(=O)C=3C=CC=CC3	-6.810000	6.124720	0.543290
4935	Z453890548	COC(=O)C=1C=CC(F)=CC1NC(=O)C2=CN(N=N2)C=3C=CC(C)=CC3	-6.270000	6.138460	0.543270
4936	Z641825866	CN(CC=1C=CC(Cl)=C(Cl)C1)C=2C=NC=C(N2)N3C=CC=N3	-5.360000	6.915540	0.543260
4937	Z45532812	CCOC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC(Cl)=CC2F	-6.140000	5.991350	0.543210
4938	Z45723781	COC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC(OC(F)F)=C(Cl)C2	-4.870000	6.484380	0.543190
4939	Z1159235477	CC=1C=NN(C1)C2CCCN(CC3=CC(=O)N4N=CC=C4N3)C2	-5.850000	6.402790	0.543140
4940	Z362542150	CC(C)OC=1C=CC(=CC1Cl)NS(=O)(=O)C2=CC(=CS2)C(=O)O	-5.510000	6.350050	0.543140
4941	Z2385273007	CN1C=NN=C1CC2(O)CCCN(CC3=NN=CN3C=4C=CC=CC4)C2	-5.560000	6.310900	0.543130
4942	Z2000472601	CS(=O)(=O)C1CCN(C1)C(=O)NC=2C=CC=C(F)C2	-5.080000	5.724740	0.543100
4943	Z1407850116	CC1=CC=2C=CC=CC2N1CC(=O)NC=3C=CC=CC3N(C)S(C)(=O)=O	-5.340000	5.650180	0.543070
4944	Z18977167	O=C(COC(=O)C=1C=CC=CC1C2=NC=3C=CC=CC3S2)N4CCCCC4	-6.540000	6.032680	0.543000
4945	Z1728302381	CCC=1C=CC(=CC1C(=O)O)S(=O)(=O)NCCC2=NN(C)C=3C=CC=CC23	-6.180000	5.534790	0.542990
4946	Z1998417801	COC(C)CS(=O)(=O)N1CC=C(CC1)C=2C(F)=CC=CC2F	-5.370000	5.717790	0.542970
4947	Z1411185190	COCC=1N=C(NCC2=NN=C(S2)C(C)(C)C)C=3C(=CSC3N1)C=4C=CC=CC4	-5.710000	6.595240	0.542930
4948	Z489269390	COC=1C=CC=C(C1)N2CCN(CC2)C(=O)NCC3=CSC(C)=N3	-5.780000	5.166810	0.542900
4949	Z2196480223	COCC1=NOC=C1C(=O)N(C)C2CCCC=3N=C(C)SC32	-5.590000	6.140430	0.542890
4950	Z413382066	COC1CCN(CC1)C(=O)NC=2C=CC=C(C2)CN3C=CC=N3	-5.210000	5.667380	0.542820
4951	Z217686052	CCC=1C=CC(=CC1)CCC(=O)NC2=NC(=CS2)CC(N)=O	-5.420000	5.705360	0.542790
4952	Z48864380	CN(C)C1=NC(=C(CC(=O)O)S1)C=2C=CC=CC2	-4.690000	5.171680	0.542680
4953	Z27794008	COC=1C=CC=C(C1)NC(=O)C2CC=3C=CC=CC3CN2C(=O)C4=CC=CO4	-6.400000	5.561740	0.542620
4954	Z19040664	[O-][N+](=O)C=1C=CC=C(C1)CN2N=NC(=N2)C=3C=CC=C(C3)C(F)(F)F	-6.860000	4.689300	0.542580
4955	Z46159240	C=1C=CC(=CC1)C2=NOC(CN3CCCC=4C=CC=CC43)=N2	-6.160000	5.955100	0.542480
4956	Z339453834	CC1=C(SC=2N=C(NC(=O)C12)C3=CC=CO3)C(=O)NC4CC4	-5.340000	5.417040	0.542420
4957	Z423697428	O=C(NCCNC=1N=CC=CN1)C2CC=3C=C(Cl)C=CC3O2	-5.450000	6.049420	0.542420
4958	Z2732440758	O=C(NC=1C=NN2C=CC=CC12)C3(CCCC3)C(F)F	-4.730000	6.010300	0.542390
4959	Z55889126	CCOC=1C=CC(=CC1)NC2=NC=3C=C(C=CC3O2)S(=O)(=O)CC	-5.620000	5.777460	0.542350
4960	Z1497085520	CSCC(C)(O)CNS(=O)(=O)C=1C=CC=C(F)C1C	-5.050000	5.961380	0.542260
4961	Z1972823853	C[C@@H]1CCO[C@@H]1C(=O)N2CCC(CC2)OC=3C=NC=4C=CC=CC4N3	-6.140000	5.767650	0.542240
4962	Z1499503465	O=C(NCC1(CC1)C2CC2)NC=3C=CC=4NC=CC4C3	-5.510000	5.534320	0.542160
4963	Z1687887623	CS(=O)CC=1C=CC=CC1NC(=O)NC2CCCCC2O	-6.040000	6.327650	0.542160
4964	Z1233482489	O=C(NC=1C=CC(=CC1)OCC2CCOCC2)[C@@H]3C[C@H]4CC[C@@H]3O4	-5.660000	5.932580	0.542020
4965	Z2626276029	COC1(CCC(F)(F)CC1)C(=O)NC=2C=CC=C(C2)C(=O)NC=3C=CN=CC3	-5.630000	6.265870	0.542000
4966	Z45500540	COCCN(CC1=NC=2C=CC=CC2C(=O)N1)S(=O)(=O)C=3C=CC(C)=CC3	-6.470000	6.261950	0.541960
4967	Z151829384	CC(SC1=NN=C(NCC2CCCO2)S1)C(=O)NC=3C=CC=C(C3)[N+]([O-])=O	-6.300000	7.030650	0.541900
4968	Z1154774009	COC=1C=CC(=CC1)S(=O)(=O)NCCC=2C=CC=C(C2)C(=O)O	-5.730000	5.702760	0.541790
4969	Z1183136516	COC=1C(F)=CC(=CC1F)NC(=O)N2CCOC(CN3C=C(C)C=N3)C2	-4.770000	6.073790	0.541750
4970	Z241547704	O=C1NC(=NC=2SC=C(C3=CC=CO3)C12)C=4C=CC=CN4	-4.850000	6.186530	0.541750
4971	Z3584030671	O=C(C1CCN2C=NC=C2C1)N3CCC(CC4=CC=NN4)CC3	-6.000000	6.622240	0.541730
4972	Z195004280	COC=1C=CC=CC1CN(C)C(=O)CN2C(=O)NC(=O)C=3C=CC=CC32	-5.520000	5.444990	0.541690
4973	Z27167448	O=C(CCNC(=O)C=1C=CC=CC1Cl)NC2=NN=C(S2)C3CC3	-6.120000	6.234130	0.541690
4974	Z1344918154	CC(C)(C)C=1C=CC(=CC1)NC(=O)C=2N=CN=CC2Cl	-5.300000	5.857960	0.541570
4975	Z28499742	CCCN(CC1=NC=2C=C(Cl)C=CC2C(=O)N1)C(=O)C(C)OC=3C=CC(Br)=CC3	-6.140000	6.832280	0.541480
4976	Z1521598383	N#CC=1C=CC=2CCN(C(=O)NC=3C=CC=C(F)C3)C2C1	-5.000000	5.951650	0.541390
4977	Z212692824	CC1=CN=C(NC(=O)CC2SC=3C=CC(Cl)=CC3NC2=O)S1	-6.000000	6.867250	0.541390
4978	Z2256265741	CC1=NC(C)=C(CNC(=O)C2=CC=C(C(=O)O)C(C)=N2)S1	-5.300000	5.811310	0.541360
4979	Z1929417058	O=C(CC=1C=CC=2OCCOC2C1)N3CCCC4(C3)NC(=O)NC4=O	-5.590000	5.833340	0.541230
4980	Z73258675	N#CC=1C=CC(=CC1)C2=CSC(=N2)NC(=O)C=3C=NC=4C=CC=CC4N3	-5.640000	6.549180	0.541190
4981	Z2957644287	COC1=CC(=O)NC=C1C(=O)N2CCCC2C=3C=CC=C(C)N3	-5.020000	5.776240	0.541130
4982	Z2461263440	CC(C)(C(N)=O)N1CCN(CC2=NSC=3C=CC=CC23)CC1	-5.920000	6.084720	0.541120
4983	Z4658051185	COC=1C=CC=C(N1)C(=O)N2CC3CCC2C(CNC(=O)C4(O)CC4)C3	-6.210000	6.389750	0.541100
4984	Z1883802259	CC=1C=CC(F)=C(C1)CN(C)S(=O)(=O)C=2C=NN(C2)C(C)C	-5.610000	5.909290	0.541040
4985	Z74490665	COC=1C=CC=C(C1)NC(=O)C(OC=2C=CC(=CC2)C(N)=O)C=3C=CC=CC3	-7.000000	6.672470	0.541030
4986	Z343595938	NC(=O)C=1C=CC=C(C1)CNC(=O)C=2C=C(Cl)C=CN2	-5.540000	4.966850	0.541010
4987	Z227066740	CC(C)(C)OC(=O)NCC=1C=CC(=CC1)C(=O)N2CCC=3SC=CC3C2	-6.000000	5.918120	0.540980
4988	Z357306692	O=C(NCC=1C=CC(=NC1)N2CCCC2)C3=CC=4CCCC4S3	-6.080000	5.807300	0.540940
4989	Z236581690	COC=1C=CC=C(C1)NC(=O)NC2CCC(O)CC2	-5.440000	5.239920	0.540900
4990	Z908039850	CC1=NC(=CS1)CNC(=O)C2=CC=C(NC2=O)C3=CC=CO3	-5.270000	5.603180	0.540900
4991	Z1223909701	CCS(=O)(=O)NC1=CC=C(C=C1C)NC(=O)NCC2CC2(C)C	-5.980000	5.846660	0.540860
4992	Z2213913804	FC(F)C1=NN=C(NCC2(CCOCC2)C=3C=CC=C(Br)C3)O1	-5.860000	6.139910	0.540820
4993	Z29467696	O=C(NC1=NC(=CS1)C=2C=CC=CN2)C3=CC=CS3	-5.340000	5.129140	0.540780
4994	Z1863619784	CN1C=CN=C1N2CCC(CC2)NC=3N=CC(=CC3C(N)=O)[N+]([O-])=O	-5.370000	6.712320	0.540620
4995	Z2232596578	CC=1C=CC(=C(C)C1)C2(CNC(=O)C3=CN(C)N=N3)CCCC2	-6.010000	6.543340	0.540380
4996	Z200181958	CC=1SC=2N=CN=C(SC3=NN=C(CC=4C=CC=CC4)O3)C2C1C	-5.880000	6.632360	0.540320
4997	Z2951935229	CN(C)CC1=NC(=NO1)C(C)(C)NC(=O)C=2C=CC(F)=C3OC=CC23	-5.140000	6.504990	0.540290
4998	Z2951142138	CC1(C)CN(CC2=NOC=3CCOCC23)C1C=4C=CC=NC4	-5.480000	6.139940	0.540240
4999	Z2370683354	COCC1(CN(C1)S(=O)(=O)C=2C=CC=C3CCOC23)C=4C=CC=CC4	-5.980000	5.988130	0.540220
5000	Z1566029356	C#CCOC=1C=CC(=CC1)N(C)C(=O)C=2N=CN(N2)C=3C=CC=CC3	-5.670000	6.433110	0.540150
5001	Z1436198994	O=C(NC=1C=CC=C(F)C1)N2CCC3(O)CCCCC3C2	-5.480000	5.896000	0.540070
5002	Z1334129838	COCC1=CC(=NO1)C(=O)N2CC(C2)OCC3=CC=CC4=CC=CC=C34	-6.150000	5.948010	0.540060
5003	Z2798041618	O=C(CCCC1=NN=NN1)N2CCCC2CN3CCCC3	-6.530000	5.806800	0.539950
5004	Z2209740429	CC(F)(F)C=1C=CC(=CC1)C(=O)N2CCC(CC2)C=3C=CN=CC3	-5.020000	5.880330	0.539930
5005	Z92640378	CNC1=NN=C(SCC(=O)NC=2C(C)=NN(C2C)C=3C=CC(C)=CC3)S1	-6.090000	6.725050	0.539870
5006	Z2296330462	COC=1C=CC=2CN(CCOC2C1)C(=O)C=3C=NC=NC3C4CC4	-3.070000	6.223700	0.539840
5007	Z2209781048	CC(C)N1C=C(N=N1)C(=O)N2CCC(C(F)(F)F)C3(CCC3)C2	-5.850000	6.516300	0.539790
5008	Z2788203203	O=C(O)CCC1CCCN(CC=2C=CC=C(C2)C=3C=CC=CN3)C1	-6.630000	5.870900	0.539590
5009	Z1317272798	CC=1C=CC=2C(O)=C(C=NC2N1)C(=O)N(C)CC3=NC(=CS3)C(F)(F)F	-4.720000	6.408350	0.539540
