Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
45	Z1451827253	CN(C(=O)NC1=NC(=NS1)C(C)(C)C)C2CCS(=O)CC2	-6.450000	6.382290	0.912220
46	Z229615938	NC(=O)C=1C=C(N=C2C1C=NN2CC3=CC=CO3)C=4C=CC=CC4	-5.590000	6.711120	0.909530
47	Z2193996480	CCC1=NOC(C)=C1N2C(=O)NC(CC)(CC)C2=O	-4.950000	6.062200	0.908990
48	Z3627495426	C[C@H](ONC(=O)[C@@]12CC[C@@](C)(C(=O)O1)C2(C)C)C=3C=CN=CC3	-5.750000	6.182580	0.908980
49	Z19023901	O=C(CN1N=CC(Cl)=C(Cl)C1=O)N2CCCC2C=3C=CC=4OCCOC4C3	-5.840000	7.316220	0.908530
50	Z2648042383	CC=1N=C(OC1C(=O)NCC2CCOC2(C)C)C=3C=CC=CC3	-6.860000	5.533060	0.907990
51	Z728184742	O=C(CC=1C=CC(F)=CC1)NC2=NN=C(N2)C=3C=CC=CN3	-5.650000	6.370710	0.907880
52	Z1252364649	CC1=NOC(=N1)C2=CC=NC(=C2)N3CC4CCC3C4	-5.840000	5.211750	0.906490
53	Z52006242	O=C(CCC(=O)N1CC(=O)NC=2C=CC=CC21)N3CCC4=CC=CC=C43	-6.300000	5.723800	0.904370
54	Z1651916052	O=C(NCC1CCCCS1)C2=NOC=3CCCCC23	-5.820000	6.439100	0.903720
55	Z3084454232	CC1=C(Br)C(=NN1C)C(=O)NC=2C=C(N=CN2)N(C)C	-4.600000	6.134640	0.903550
56	Z3070061789	O=C1NCC(CC=2C=CC=CC2)C(=O)N1CC=3C=CC=NC3	-5.580000	6.344440	0.902760
57	Z31791090	O=C(NC=1C=CC=NC1)C=2C=CC=C(C2)S(=O)(=O)NC=3C=CC=4OCOC4C3	-6.950000	6.895010	0.902590
58	Z758244252	CCN1C=C(C=CC1=O)NC(=O)C2=CC=C(O2)C=3C=CC=C(C3)C(F)(F)F	-5.140000	6.663040	0.902260
59	Z413869698	CCNC(=O)NC1=CC=CC(=C1)N2CCOC2=O	-5.120000	5.052170	0.901780
60	Z1198663515	O=C(NC=1C=CC(Cl)=CC1OCC(F)(F)F)C=2C=CNN2	-3.920000	5.958760	0.901580
61	Z1011460610	COC=1C=CC(Br)=CC1NC(=O)NC2CCCNC2=O	-5.170000	5.896410	0.901460
62	Z344822944	O=C(NC=1C=CC(=CN1)N2CCCC2)C=3C=CC(Cl)=CC3	-5.110000	6.154060	0.900730
63	Z167571688	CN1C=CN=C1C(NC(=O)C2=CC(Br)=CN2)C=3C=CC=C(F)C3	-5.070000	6.929330	0.900140
64	Z1883414323	C1=CC=2C(=NC=NC2N1)N3CCC(C3)NC=4C=CC=CN4	-5.520000	6.770070	0.899800
65	Z2292509459	COC=1N=CC(C)=CC1NC(=O)NC(C)(C)C2=NN=C3CCCCN23	-5.590000	6.619130	0.899770
66	Z27808018	CCOC=1C=CC(=CC1)NC(=O)CC2=CNC=3C=CC=CC23	-5.780000	6.158190	0.899770
67	Z160773586	COC=1C=CC(=CN1)C(=O)NCC2=NN=C3C=CC(=CN23)C(F)(F)F	-4.860000	6.837310	0.899410
68	Z3627493644	C[C@H](ONC(=O)C1CNC(=O)CC21CCC2)C=3C=CN=CC3	-6.000000	6.359280	0.897170
69	Z3008361940	CC=1C=CC(NC(=O)[C@H]2CCCC(=O)N2)=C(C1)OC(F)F	-4.290000	5.995350	0.897060
70	Z1838229700	CN1C=C(C=C1C#N)CNC2=NN=C(O2)C3CC=4C=CC=CC4O3	-6.510000	6.278190	0.896660
71	Z1184865292	N#CC=1C=CC=C(C1)C2=CSC(=N2)C3(N)CCCC3	-5.970000	6.079860	0.896080
72	Z1240369226	CC1=CC=C(O1)C2=NC(=CS2)C(=O)N3CCS(=O)(=O)C(C)C3	-6.140000	6.426580	0.895600
73	Z2388210384	CN(C)C=1C=CC(=NN1)C2CCCN2C(=O)C3=CC(=NN3)C(F)(F)F	-5.370000	7.279770	0.895490
74	Z48862626	COC=1C=CC=C(C1)C2=NC(=CS2)C3=CC=C4OCC(=O)NC4=C3	-6.380000	6.528700	0.895430
75	Z227429974	CN1C=C(C=N1)CSC=2N=CN(N2)C=3C=CC=CC3	-4.760000	5.124560	0.895100
76	Z2193994680	CCCN1C(=O)N(C(=O)C1CC)C2=CC=C(N=N2)OC	-5.230000	6.281360	0.894940
77	Z2767819738	O=C(NCCC1=CC=CN1)C2=COC(CN3CCC(O)C3)=N2	-5.520000	5.395670	0.894710
78	Z1892325429	CC=1C=CC=C(C1C(=O)NCCCC=2C=CC=C(F)C2)[N+]([O-])=O	-4.720000	6.250350	0.894200
79	Z1584082576	CC=1C=CC=CC1C2=NOC(=N2)C(C)N3CCC=4NN=CC4C3	-7.210000	6.132360	0.893670
80	Z201070802	O=C(CC1SC=2C=CC=CC2NC1=O)NC3=NC(=CS3)C4=CC=CC=N4	-6.930000	7.014170	0.892690
81	Z1444173156	CC=1C=CC(=CC1C)CN(C(=O)C=2C=CC=C(N2)C(=O)O)C3CC3	-5.930000	6.600790	0.892310
82	Z2011270356	O=S(=O)(NC=1C=NC=2CCCC2C1)C=3C=CC=C4OCOC34	-5.400000	6.444820	0.890650
83	Z2016408120	CCN(CC=1C=CC=CC1NC(=O)NCC(F)(F)C(F)F)C(C)=O	-3.770000	5.930410	0.889770
84	Z444898068	CC1=CSC(=N1)N(C)C(=O)CN2C(=O)COC=3C=CC=CC32	-4.700000	5.371320	0.889400
85	Z200660520	NC(=O)C1=CN=C(NC(=O)CC=2C=CC=C(F)C2)S1	-5.150000	6.307320	0.889280
86	Z29724818	CCOC=1C=CC(=CC1)C2=NN=C(NC(=O)C=3C=CC(F)=CC3)O2	-5.870000	6.403980	0.889150
87	Z30934334	COC=1C=CC(C)=CC1NC(=O)C=2C=CC(Cl)=C(C2)[N+]([O-])=O	-5.200000	6.359690	0.889100
88	Z431529638	CC1=NN2C(O)=CC(=NC2=C1C=3C=CC=CC3)C(C)(C)C	-5.130000	6.365140	0.889030
89	Z1550667938	COC=1C=CC=2NN=C(NC(=O)CC=3C=CC=C(Cl)C3)C2C1	-5.970000	6.244380	0.888870
90	Z1318831789	CN1C=CC=C1C2CCCCN2C(=O)C=3C=CC=C(C3)OC4=CN=CC=N4	-6.140000	7.011570	0.888790
91	Z88521247	COC=1C=CC(=CC1)C(=O)NC2=NN=C(S2)C=3C=CC=CC3	-5.630000	5.967760	0.887930
92	Z57000167	CC=1C(O)=CC=C2C(=O)C(C=3C=NN(C3)C=4C=CC=CC4)=C(OC12)C(F)(F)F	-5.570000	7.067290	0.887900
93	Z224414978	FC(F)(F)C=1C=CC=C(C1)C2=NOC(CNC=3C=CC=CC3)=N2	-6.430000	5.940070	0.887660
