Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)
1	Z2989433123	O=C(O)C=1C=CC=C(N1)N2CCCC(C2)C3=NNC(=N3)C=4C=CC=CC4	     -5.25
2	Z2171583301	NS(=O)(=O)C=1C=CC=2CCCC(NCCC=3C=NNC3)C2C1	     -5.23
3	Z1385377331	[O-][N+](=O)C=1C=CC=C(C1)C=2C=C(NS(=O)(=O)C3=CC4=CC=CC=C4CC3)NN2	     -5.21
4	Z1175821707	O=C(NCC1=NC=2C=C(Cl)C=CC2N1)C3CCN(CC3)C=4C=CC5=NN=NN5N4	     -5.10
5	Z2116831182	CC1CC(C)(C)CCC1NC(=O)NCC=2C=CC=CC2S(N)(=O)=O	     -5.07
6	Z2809371707	CS(=O)(=O)N[C@@H]1CCCC[C@H]1NC(=O)NC2CCCOC2 |&1:5,10,r|	     -5.06
7	Z3174537988	CC=1C=C(NC(=O)NC2C[C@@H]3CC(CO)C[C@H]23)ON1 |&1:10,16,r|	     -5.00
8	Z1401321648	O=C(NCC1CCCS1)C2=NOC=3CCCCC23	     -4.92
9	Z85101640	O=C(CNS(=O)(=O)C=1C=CC=C(Br)C1)NC=2C=CC3=CC=CC=C3N2	     -4.89
10	Z1217532529	CC=1C=CC(=CC1S(N)(=O)=O)NS(=O)(=O)C=2C=CC=3CCNC(=O)C3C2	     -4.88
11	Z1252919934	CS(=O)(=O)C1CCCC(C1)NC(=O)NC2CCN3CCCCC23	     -4.86
12	Z2839199517	CC1=NON=C1CN2C[C@@H]3C[C@H]2CN3CC4=NON=C4C	     -4.85
13	Z1497483528	O=C(NCC1CCCN(CC2(O)C3C4CC5C6CC(C3C46)C52)C1)C=7C=CC=CC7	     -4.83
14	Z2171241571	CN1C=C(C=N1)CCNC2CCCC=3C=CC(=CC32)S(N)(=O)=O	     -4.83
15	Z1334095596	O=C(NCC1=NC=2C=C(F)C=CC2N1)C3CCN(CC3)C=4C=CC5=NN=NN5N4	     -4.80
16	Z2437406281	CC1=NOC(C)=C1CCNS(=O)(=O)C=2C=CC=C(C(=O)O)C2C	     -4.80
17	Z1024518512	CC=1C=CC(Cl)=CC1N2CCC(CNC=3C=CC4=NN=NN4N3)C2	     -4.78
18	Z296875264	O=C(NC1=NN=C(N1)C=2C=CC=C(Br)C2)C=3C=CC=NC3O	     -4.77
19	Z1251121499	CCN1N=NN=C1C=2C=CC=C(C2)NC(=O)N[C@H]3C4=CC=CC=C4C[C@H]3O	     -4.77
20	Z318397580	CS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C2=CC=C3CCCCC3=C2	     -4.77
21	Z2938537996	CS(=O)(=O)NCCN1N=NN=C1N2C[C@H]3CC=CC[C@H]3C2	     -4.76
22	Z1430684902	O=C(CNC(=O)C1CCC(CC1)NC(=O)CC2CCCCC2)NC=3C=CC=CN3	     -4.75
23	Z4617262334	CN1N=NC2=C1NCCC2C(=O)NC=3C=CC=C(Cl)C3	     -4.72
24	Z1673174880	CC1=NN=C(S1)C(=O)NCC2CCC=3C=CC=CC3C2	     -4.71
25	Z1389550564	CC(NC(=O)C1=CNN=C1C=2C=CC=C(Cl)C2)C=3C=CC=C(C3)NS(C)(=O)=O	     -4.70
26	Z4743806979	CC[C@@H]1CC[C@H](CC1)C(=O)N[C@H]2CCN(CCC3CCS(=O)(=O)C3)C2	     -4.70
27	Z2362270785	CC1=COC(=N1)C2=CC=CC(=C2)NC(=O)NC3CCC(CC3)C(=O)O	     -4.70
28	Z1897566433	O=C(NCC=1C=CC=NN1)NCC2CCCC(O)C2	     -4.69
29	Z2528668106	OC1CCN(CC=2C=CC(=CC2)CNC=3N=CN=C4C=C(Cl)C=CC34)C1	     -4.69
30	Z2446378012	CS(=O)(=O)C=1C=C(C=CC1F)NC(=O)N[C@H]2CC[C@H](C2)C(=O)O |&1:15,18,r|	     -4.69
31	Z748061926	O=C(NCCC=1C=CSC1)C2=NOC=3CCCCC23	     -4.69
32	Z3268555641	CC(CNC(=O)NC1=CNN=N1)N2CCC=3C=CC=CC32	     -4.68
33	Z1254674128	CN1CCN(CC1=O)C(=O)NCC=2C=CC=C(C2)CN3CCCC(C3)C(N)=O	     -4.68
34	Z1037464020	NS(=O)(=O)CC=1C=CC=C(C1)CNC(=O)NC2=NN=C(S2)C3CC3	     -4.68
35	Z1486401341	CC1=NC(=NN1)C=2C=CC=C(C2)NC(=O)CC=3C=CC=C(C3C)[N+]([O-])=O	     -4.68
36	Z651699820	CC1=CC=C(C(=O)NC(C)CC=2C=CC=C(Cl)C2)C(=O)N1	     -4.67
37	Z237846630	O=C(NC=1C=CC=CC1)NC=2C=CC=C(C2)NS(=O)(=O)C=3C=CC=CC3	     -4.66
38	Z1956079859	CC1=NN(C)C(C)=C1CC(=O)NCC=2C=CC=C(C2)N3C=CC(=N3)C(=O)O	     -4.66
39	Z2190256476	O=C(NCC=1C=CC=NN1)NC=2C=CC=C(C2)C3=NC=C4CCCCN34	     -4.66
