SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
COCC=1N=CC=C(N1)N2CCCN(CCO)CC2,Z2969239114,266.34,266.34,-0.453,-0.067,1,6,61.72,5,https://real.enamine.net/public-enum-files/Z2969239114
"CC=1C=CC(=NN1)OC=2C=CC(=CC2)NC(=O)[C@H]3CC[C@H](C3)C(=O)O |&1:17,20,r|",Z2352622408,341.362,341.362,1.505,-3.76,2,5,101.41,5,https://real.enamine.net/public-enum-files/Z2352622408
CC(C)CN1C=NC(=C1)S(=O)(=O)NCC(C)(O)C(=O)O,Z2361652458,305.352,305.352,0.6,-1.675,3,6,121.52,7,https://real.enamine.net/public-enum-files/Z2361652458
O=C(O)CC1CN(C=2C=CC=CC21)S(=O)(=O)CCCCF,Z2112499776,315.362,315.362,1.234,-2.977,1,4,74.68,7,https://real.enamine.net/public-enum-files/Z2112499776
COC=1C=CC=CC1N2CCC(C2=O)N(C)CC=3C=CC(=CC3)S(C)=O,Z1400681224,372.483,372.483,2.165,-3.751,0,4,49.85,6,https://real.enamine.net/public-enum-files/Z1400681224
COC1(CNC(=O)C2(C)CC3CCC2O3)CCOC1,Z1840754909,269.337,269.337,0.434,-1.421,1,4,56.79,5,https://real.enamine.net/public-enum-files/Z1840754909
CC1(C)CC1(C(=O)O)C(=O)NC=2C=CC=C(C2)OC=3C=CC=NN3,Z2607581214,327.335,327.335,1.754,-3.747,2,5,101.41,6,https://real.enamine.net/public-enum-files/Z2607581214
CC(C)C(NC(=O)C=1C=CC=CN1)C(=O)N2CC(C)(C)C2C3CC3,Z2204929916,329.437,329.437,2.977,-3.917,1,3,62.3,7,https://real.enamine.net/public-enum-files/Z2204929916
CCC(CNC(=O)C=1C=C(C)NN1)(C(=O)O)C=2C=CC=CC2,Z2352656980,301.341,301.341,2.263,-2.806,3,4,95.08,7,https://real.enamine.net/public-enum-files/Z2352656980
C#CCCC1(CCC(=O)NC2=CC=C(C=C2C(=O)O)N3CCOCC3)N=N1,Z3038756541,370.403,370.403,1.911,-3.92,2,7,103.59,9,https://real.enamine.net/public-enum-files/Z3038756541
C1CC1C2=NN=C(O2)N3CCC4(C3)CCOCC4,Z1883266885,249.309,249.309,0.001,-1.614,0,4,51.39,2,https://real.enamine.net/public-enum-files/Z1883266885
CN(C1CCN(CC1)C=2N=CN=C3N=CNC23)S(C)(=O)=O,Z1182660899,310.377,310.377,-0.524,-2.931,1,6,95.08,3,https://real.enamine.net/public-enum-files/Z1182660899
CC1(C)CN(CC(=O)NCC2CCCO2)CC(C)(C)O1,Z1796895667,284.395,284.395,2.296,-1.264,1,4,50.8,5,https://real.enamine.net/public-enum-files/Z1796895667
CC=1C=NC=C(C(=O)NCC2CCN(CC(F)(F)F)CC2)C1O,Z1767847361,331.334,331.334,3.146,-1.845,2,4,65.46,6,https://real.enamine.net/public-enum-files/Z1767847361
CC1=NC(=CO1)C=2C=CC(=CC2)S(=O)(=O)N3CCCC3CC=4C=CC(F)=CC4,Z1223141817,400.468,400.468,4.277,-4.54,0,3,63.41,4,https://real.enamine.net/public-enum-files/Z1223141817
CC1=CC(=NN1C2CCCCC2)NC(=O)NC3CCCC=4OC=CC43,Z2172013896,342.436,342.436,3.91,-3.78,2,2,72.09,3,https://real.enamine.net/public-enum-files/Z2172013896
O=C(NC1C2CC3=CC=CC=C3C12)C4(O)CCOC4,Z2348521995,259.301,259.301,0.735,-2.747,2,3,58.56,3,https://real.enamine.net/public-enum-files/Z2348521995
O=C(NC=1C=CC=2CNCCC2C1F)N3CC(=O)N(CC4CC4)C3,Z2356821444,332.373,332.373,1.051,-2.876,2,3,64.68,5,https://real.enamine.net/public-enum-files/Z2356821444
CC=1C=C(C=CC1F)C(NC(=O)C2CCCS2(=O)=O)C(=O)O,Z2506979594,329.346,329.346,0.787,-3.213,2,5,100.54,5,https://real.enamine.net/public-enum-files/Z2506979594
CC1CCCC(NC(=O)CN2CCC(O)(C2)C(F)(F)F)C1C,Z1317986397,322.367,322.367,3.0,-3.531,2,3,52.57,5,https://real.enamine.net/public-enum-files/Z1317986397
COC=1N=CC(=CC1C#N)NCC2=CSC(=N2)C3CC3,Z3027218446,286.354,286.354,2.378,-2.23,1,5,70.83,5,https://real.enamine.net/public-enum-files/Z3027218446
CCOC=1C=CC=CC1C(=O)NCC(=O)NC2CCCN(C=3C=CC=NC3)C2=O,Z1654248828,396.441,396.441,1.823,-3.93,2,5,100.63,7,https://real.enamine.net/public-enum-files/Z1654248828
CC(C)N1C=CC(=N1)C(=O)NCCOC2CCCCCC2,Z1228358753,293.405,293.405,2.89,-2.765,1,3,56.15,7,https://real.enamine.net/public-enum-files/Z1228358753
CC=1N=C(OC1C(=O)N2CC(O)(C2)C(F)(F)C(N)=O)C(C)C,Z3290580207,317.289,317.289,0.659,-2.647,2,4,109.66,5,https://real.enamine.net/public-enum-files/Z3290580207
CC(C)C[C@H](NS(=O)(=O)C=1C=CC=2COCC2C1)C(=O)O,Z1531987004,313.371,313.371,1.938,-3.362,2,5,92.7,6,https://real.enamine.net/public-enum-files/Z1531987004
COC1CC(NC(=O)CC=2C=CC(=CC2)C(=O)O)C31CCC3,Z2792872900,303.354,303.354,2.58,-2.786,2,4,75.63,6,https://real.enamine.net/public-enum-files/Z2792872900
O=C(NC1=NC(=CS1)C2CCC2)NC3CC=4C=CC=CC4C3,Z1995749057,313.419,313.419,3.977,-4.715,2,2,54.02,5,https://real.enamine.net/public-enum-files/Z1995749057
C[C@@H]1CN(CCN1C=2C=NC=C(N2)N3C=CC=N3)C4CCOCC4,Z1900803751,328.413,328.413,0.863,-1.503,0,6,59.31,3,https://real.enamine.net/public-enum-files/Z1900803751
