SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NCC=1C=CC(F)=CC1)C=2C=C(Cl)C=CN2,Z82206158,264.683,264.683,3.361,-3.529,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z82206158
O=C1CCC=2C=C(C=CC2N1)S(=O)(=O)N3CCC(=O)NC4=CC=CC=C43,Z1230765213,371.412,371.412,1.542,-3.66,2,4,95.58,1,https://real.enamine.net/public-enum-files/Z1230765213
CC=1C=CC(=CC1)S(=O)(=O)CC(C)NC2C3CCOC3C42CCC4,Z1701584056,349.489,349.489,2.65,-3.706,1,4,55.4,5,https://real.enamine.net/public-enum-files/Z1701584056
CC=1C=CC(=CC1)C=2C=C(NN2)C(=O)N(C)CC=3C=NN(C3)C=4C=CC=CC4,Z225129440,371.436,371.436,4.182,-5.353,1,3,66.81,6,https://real.enamine.net/public-enum-files/Z225129440
O=C(C1CCCC=2C(O)=CC=CC21)N3CCC(C3)OCC=4C=CN=CC4,Z1833500421,352.428,352.428,1.965,-3.298,1,4,62.66,4,https://real.enamine.net/public-enum-files/Z1833500421
O=C(C=1C=C(Cl)C=CC1O)N2CCCC(C2)C(F)(F)F,Z69128957,307.696,307.696,2.656,-4.284,1,2,40.54,3,https://real.enamine.net/public-enum-files/Z69128957
CC(C)(C)C1=CN2N=C(NCC=3C=CC=C(C3)NC(=O)C4CC4)SC2=N1,Z237654674,369.486,369.486,3.387,-4.76,2,4,71.32,6,https://real.enamine.net/public-enum-files/Z237654674
CCC=1C=C(NC(=O)C=2C=CC(=CC2)C(=O)N3CCOCC3)N(C)N1,Z2705524597,342.393,342.393,0.731,-3.496,1,4,76.46,6,https://real.enamine.net/public-enum-files/Z2705524597
CC(C)NC(=O)NC=1C=CC(=CC1)C(=O)NC2(CCO)CC2,Z2227727125,305.373,305.373,1.109,-2.813,4,3,90.46,9,https://real.enamine.net/public-enum-files/Z2227727125
CN1C=NC(=N1)NC(=O)C2CCC=3C=C(F)C=CC32,Z2640389021,260.268,260.268,1.221,-3.364,1,3,59.81,3,https://real.enamine.net/public-enum-files/Z2640389021
