SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NC1(CO)CC=2C=CC=CC2C1)C3CC43CCOC4,Z1767591882,287.354,287.354,0.983,-1.957,2,3,58.56,4,https://real.enamine.net/public-enum-files/Z1767591882
CC1=NC=C(S1)C(=O)N2CCCC2CC=3C=CC=C(F)C3,Z971508878,304.384,304.384,2.698,-3.474,0,2,33.2,4,https://real.enamine.net/public-enum-files/Z971508878
COC1C2CC3CN(C(=O)NCCC4=CSC=N4)C1C3C2,Z2117934033,307.413,307.413,1.083,-2.768,1,3,54.46,6,https://real.enamine.net/public-enum-files/Z2117934033
CC1(C)C(CCN1C(=O)NC2CCN(CC2)C=3C=CC=NN3)C(F)(F)F,Z1865314026,371.401,371.401,1.309,-3.855,1,4,61.36,3,https://real.enamine.net/public-enum-files/Z1865314026
CC=1C=CN=C2C=CC(=CC12)C(=O)NC3CCC4=NN=NN4CC3,Z2373778744,322.365,322.365,1.677,-3.326,1,5,85.59,3,https://real.enamine.net/public-enum-files/Z2373778744
CC(C)C=1C=CC(=CN1)C(=O)NC2=CC=NN2C(C)C,Z1472119181,272.346,272.346,2.419,-2.583,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z1472119181
CCCCS(=O)(=O)NC1CCN(CC2=CCCCC2)CC1,Z2863938807,314.488,314.488,2.973,-3.529,1,3,49.41,6,https://real.enamine.net/public-enum-files/Z2863938807
CC=1N=C(NC1C)C2CCCN2S(=O)(=O)C=3C=COC3,Z2863938867,295.359,295.359,1.222,-1.835,1,3,79.2,3,https://real.enamine.net/public-enum-files/Z2863938867
COC=1C=CC=C(C1)OCCN2CCN(CC2)C(=O)C3(N)CC4(CCC4)C3,Z2595898097,373.49,373.49,3.294,-3.456,1,5,68.03,6,https://real.enamine.net/public-enum-files/Z2595898097
CC(C)(NC(=O)C1=CC(=CO1)C(=O)O)C=2C=CC(=CC2)OC(F)(F)F,Z2272877240,357.282,357.282,3.826,-4.778,2,4,88.77,7,https://real.enamine.net/public-enum-files/Z2272877240
CC1=CC=C(C)N1C2CCN(CC3=NC(=NO3)C=4C=CC=CC4)CC2,Z968714302,336.432,336.432,3.508,-2.93,0,3,47.09,4,https://real.enamine.net/public-enum-files/Z968714302
CC1=CC(C)=CC(=C1)C(=O)N2CCC(CC=3N=CON3)CC2,Z2936894826,299.368,299.368,1.857,-3.697,0,3,59.23,4,https://real.enamine.net/public-enum-files/Z2936894826
CC1=NN(C)C=2NCC(CC12)NC(=O)C=3C=C(C)C=C(C)C3,Z2936896405,298.384,298.384,2.156,-3.283,2,3,58.95,3,https://real.enamine.net/public-enum-files/Z2936896405
CCN1C=C(C=N1)S(=O)(=O)N(C)C(CC(C)(C)C)C(=O)O,Z1983684247,317.406,317.406,2.222,-1.744,1,5,92.5,7,https://real.enamine.net/public-enum-files/Z1983684247
CNC(=O)C1CCCN(C1)C(=O)NC=2C=CC(F)=C(C#N)C2,Z1209686901,304.32,304.32,1.093,-3.071,2,3,85.23,5,https://real.enamine.net/public-enum-files/Z1209686901
CC1=NN=C(NC(=O)C2(C)CC=CCC2)N1C3CC3,Z2278709919,260.335,260.335,2.022,-2.418,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z2278709919
CN1N=C(O)C=2CCN(CC=3C=CC(=CC3)SC(F)F)CC21,Z2951379187,325.379,325.379,2.721,-2.409,1,3,41.29,4,https://real.enamine.net/public-enum-files/Z2951379187
CC=1C=COC1CN2N=NN=C2N3CCOCC4(CCOCC4)C3,Z2989409044,333.386,333.386,1.111,-2.057,0,6,78.44,3,
CCO[C@@H]1C[C@@H](NC(=O)CCOC=2C=CC=CC2F)C31CCOCC3,Z2765497897,351.413,351.413,2.57,-2.852,1,4,56.79,8,https://real.enamine.net/public-enum-files/Z2765497897
CNC(=O)C=1C=CC(C)=C(C1)NC(=O)C2=NN(C=3C=CC(F)=CC3)C(=CC2=O)OC,Z2027468288,410.399,410.399,1.017,-5.06,2,6,100.1,5,https://real.enamine.net/public-enum-files/Z2027468288
CCNC1=NC=C(S1)C(=O)N2CCC(CC2)N3CCCCC3=O,Z1464460528,336.454,336.454,0.383,-3.285,1,4,65.54,5,https://real.enamine.net/public-enum-files/Z1464460528
CC=1N=C(SC1C)S(=O)(=O)N2CCCC2CCC=3C=CC=CC3,Z1470777328,350.502,350.502,3.948,-4.474,0,3,50.27,5,https://real.enamine.net/public-enum-files/Z1470777328
O=C(NC1=NN=CN1)C2(CC2)C=3C=CC(=CC3)C(F)(F)F,Z1770286446,296.249,296.249,2.13,-4.26,2,3,70.67,5,https://real.enamine.net/public-enum-files/Z1770286446
COC(CS(=O)(=O)NC1=CC(=CC=C1F)C(=O)O)C(C)C,Z2442366696,319.351,319.351,2.124,-2.869,2,5,92.7,7,https://real.enamine.net/public-enum-files/Z2442366696
CN1C(=O)N[C@@H]2CN(CC3=CC=NN3C=4C=CC(F)=CC4)CC[C@@H]21,Z2054345129,329.373,329.373,1.351,-2.248,1,3,53.4,3,https://real.enamine.net/public-enum-files/Z2054345129
CCOC=1C=CC=NC1N2CCN(CC2)S(=O)(=O)N(CC)CC,Z2900720941,342.459,342.459,2.68,-2.396,0,6,65.98,7,https://real.enamine.net/public-enum-files/Z2900720941
CCCC1=NSC(=N1)NC(=O)N2CCCC2CCCO,Z2294204456,298.406,298.406,1.17,-2.962,2,4,78.35,8,https://real.enamine.net/public-enum-files/Z2294204456
CC=1C=CC=2CCC[C@H](NC(=O)NC=3C=C4CCCCN4N3)C2C1,Z2151287460,324.421,324.421,3.776,-4.386,2,2,58.95,4,https://real.enamine.net/public-enum-files/Z2151287460
CN1N=NC(CN2CCC[C@H]2CN3CCOCC3)=N1,Z2154689504,266.343,266.343,0.141,0.725,0,6,59.31,4,https://real.enamine.net/public-enum-files/Z2154689504
C1=CC(CC2=NOC(=N2)C3CC43CCOC4)=NO1,Z2158365679,247.251,247.251,-0.814,-0.295,0,4,74.18,3,https://real.enamine.net/public-enum-files/Z2158365679
O=C(NC=1C=CC=2CCCC2N1)N3CCCC3C=4C=CC=NC4,Z2296011854,308.378,308.378,1.84,-3.06,1,3,58.12,4,https://real.enamine.net/public-enum-files/Z2296011854
CC(C)C=1N=CC(Cl)=C(N1)C(=O)N2CCC=3C=CN=CC32,Z1624166448,302.759,302.759,1.232,-3.095,0,4,58.98,3,https://real.enamine.net/public-enum-files/Z1624166448
COC=1C=CC=C2CCCN(C(=O)C=3N=C(OC3C)C=4C=NN(C)C4)C12,Z1367279019,352.388,352.388,1.6,-3.206,0,4,73.39,3,https://real.enamine.net/public-enum-files/Z1367279019
O=C(N1CCC=2C=CC=CC21)N3CCS(=O)(=O)C4CCCCC43,Z1376628354,334.435,334.435,2.283,-3.948,0,3,57.69,2,https://real.enamine.net/public-enum-files/Z1376628354
CC(C)C1=NSC(=N1)NCC2=CC=C(N=C2)S(C)(=O)=O,Z2900717571,312.414,312.414,1.525,-2.831,1,6,84.84,5,
CC=1C=COC1CN2N=NN=C2N3CC(C)OC4(CCOCC4)C3,Z2989408388,333.386,333.386,1.241,-2.959,0,6,78.44,3,
COC=1C=CC(C)=CC1CCN2N=NN=C2N(C)CC3COCCO3,Z2989496146,347.413,347.413,2.523,-2.922,0,7,74.53,7,
CC=1C=CC=CC1C(=O)NC2CCN(CC2)C(=O)CC=3C=CC=4CC(=O)NC4C3,Z1651198893,391.464,391.464,0.511,-4.393,2,3,78.51,4,https://real.enamine.net/public-enum-files/Z1651198893
CC1=NN=C(CNC2(CCC2)C=3C=CC(F)=CC3F)O1,Z1590498190,279.286,279.286,0.578,-2.576,1,3,50.95,4,https://real.enamine.net/public-enum-files/Z1590498190
COC=1C=C2CCN(CC3(CC(=O)O)CC3)CCC2=CC1OC,Z2482937266,319.396,319.396,0.259,-1.042,1,5,59.0,6,https://real.enamine.net/public-enum-files/Z2482937266
CC=1SC(=CC1CN2CCC[C@H]2CN3C=C(N=N3)C4CC4)C(=O)O,Z2483106348,346.449,346.449,0.62,-2.405,1,5,71.25,6,https://real.enamine.net/public-enum-files/Z2483106348
C=CCOC=1C=CC(=CC1OC)CNC=2NN=CC2C(=O)N(C)C,Z2936885445,330.382,330.382,1.387,-2.996,2,5,79.48,9,https://real.enamine.net/public-enum-files/Z2936885445
CCC(C=1C=CC=CC1)N2CCCC(CN=S(C)(C)=O)C2,Z2936915400,308.484,308.484,2.554,-3.101,0,3,32.67,5,https://real.enamine.net/public-enum-files/Z2936915400
CCC1=NC=C(CNC(=O)C2=CC=3CCCCCC3S2)O1,Z2298241697,304.409,304.409,3.505,-4.107,1,2,55.13,5,https://real.enamine.net/public-enum-files/Z2298241697
CC1(C)CN(CC2=NC(CC(F)(F)F)=NO2)C1C3CCCO3,Z2169617431,319.323,319.323,1.464,-1.77,0,4,51.39,5,https://real.enamine.net/public-enum-files/Z2169617431
CC(O)C1CN(CCO1)C(=O)C2CCCN2C=3C=CC=CC3,Z2335522275,304.385,304.385,1.582,-2.919,1,4,53.01,4,https://real.enamine.net/public-enum-files/Z2335522275
F[C@H]1C[C@H]2CN(CCN2C1)C=3C=CN=C(CSC=4C=CC=CC4)N3,Z3027211502,344.451,344.451,2.801,-3.834,0,4,32.26,4,https://real.enamine.net/public-enum-files/Z3027211502
CC1=CC(=C(C)S1)C(C)NC(=O)NC(C)C=2N=CNN2,Z1622452359,293.39,293.39,1.677,-3.258,3,3,82.7,6,https://real.enamine.net/public-enum-files/Z1622452359
O=C(C=1C=NN2CCCC12)N3CCC(CC3)C4=NOC5=CC(F)=CC=C45,Z2278931897,354.379,354.379,1.287,-3.232,0,3,64.16,2,https://real.enamine.net/public-enum-files/Z2278931897
O=S(=O)(CC1CCCCC1(F)F)NCC(O)C2CCC2,Z2279877260,311.39,311.39,2.098,-3.556,2,3,66.4,6,https://real.enamine.net/public-enum-files/Z2279877260
COC=1C=CC=C(C)C1NC(=O)N2CCCN(CC2)C=3C=CC=CC3,Z1892697232,339.432,339.432,2.738,-4.419,1,3,44.81,5,https://real.enamine.net/public-enum-files/Z1892697232
COC=1C=CC=C(C1)C(NC(=O)C2CC2)C(=O)O,Z2595666245,249.263,249.263,1.234,-2.166,2,4,75.63,6,https://real.enamine.net/public-enum-files/Z2595666245
COC[C@@H]1C[C@H](CN1C(=O)C=2C=NC(=NC2)C=3C=CC=CC3)OC,Z2054731547,327.378,327.378,1.294,-3.28,0,5,64.55,6,https://real.enamine.net/public-enum-files/Z2054731547
CC(C(=O)NC=1C=CC=C2N=CC=CC12)N3CCOCC4(CC4)C3,Z1643546827,325.406,325.406,2.785,-2.65,1,4,54.46,4,https://real.enamine.net/public-enum-files/Z1643546827
O=C(C=1C=CN=C(C1)C2CC2)N3CCOC4(CCOCC4)C3,Z1647575611,302.369,302.369,0.206,-2.472,0,4,51.66,3,https://real.enamine.net/public-enum-files/Z1647575611
COC=1C=CC(NC(=O)N2CCOC[C@H]2CO)=C3C=CC=NC13,Z2312076168,317.34,317.34,1.302,-2.654,2,5,83.92,5,https://real.enamine.net/public-enum-files/Z2312076168
CC(=O)NC1=CC=CC(=C1)CNC(=O)CCC2=CNC3=C(C)C=CC=C23,Z1259677620,349.427,349.427,2.555,-4.34,3,2,73.99,8,https://real.enamine.net/public-enum-files/Z1259677620
CCS(=O)(=O)NCC(=O)N1CCC(C)(CO)CC1,Z1687168815,278.37,278.37,-0.578,-0.8,2,4,86.71,6,https://real.enamine.net/public-enum-files/Z1687168815
COC=1C=CC(=CC1N2CCNC2=O)C(=O)N3C4CCC3C=5C=CC=CC54,Z1266591532,363.411,363.411,1.78,-4.52,1,3,61.88,3,https://real.enamine.net/public-enum-files/Z1266591532
CC=1C=CC(=CN1)C2CCN(CC2)C(=O)C=3C=C(C4CC4)N(C)N3,Z1647692661,324.421,324.421,1.326,-1.985,0,3,51.02,4,https://real.enamine.net/public-enum-files/Z1647692661
NC(=O)C=1C=C(C=CC1OC=2C=CC=CC2)[N+]([O-])=O,Z458896992,258.23,258.23,2.786,-4.288,1,3,95.46,4,https://real.enamine.net/public-enum-files/Z458896992
CC=1SC(Br)=CC1S(=O)(=O)N2CCCN3N=CN=C23,Z1393167858,363.256,363.256,1.697,-4.888,0,4,68.09,2,https://real.enamine.net/public-enum-files/Z1393167858
N#CC1=CN(CC2=NC(=NO2)C=3C=CC=C(C3)CN4CCOCC4)C(=O)NC1=O,Z2798549611,394.385,394.385,-0.022,-2.75,1,7,124.59,5,https://real.enamine.net/public-enum-files/Z2798549611
CC1=NC2=CC(=O)NN2C(C)=C1CC(=O)N3CCC=C(F)C3,Z1649497323,304.32,304.32,1.654,-2.487,1,4,65.01,3,https://real.enamine.net/public-enum-files/Z1649497323
O=C1CC(CN1CC2CC2)C3=NOC(=N3)C4=CC=CO4,Z1685727166,273.288,273.288,0.74,-2.345,0,3,72.37,4,https://real.enamine.net/public-enum-files/Z1685727166
CC(C1=NC(=NO1)C2CC2)N3C4CCC3COC4,Z2313540568,249.309,249.309,0.577,-0.832,0,4,51.39,3,https://real.enamine.net/public-enum-files/Z2313540568
CCCN1CCCC1C2=NC(=NO2)C=3SC=CC3C,Z2172160509,277.387,277.387,2.984,-2.606,0,3,42.16,4,
CC=1C=CC=2N=CN=C(C2C1)N3C[C@H]4C(=O)NC(=O)[C@H]4C3,Z2273952796,282.298,282.298,0.649,-3.634,1,5,75.19,1,https://real.enamine.net/public-enum-files/Z2273952796
