SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(CC1CCOCC1)NC2=CC=C3CCC(=O)NC3=C2,Z1261985161,288.342,288.342,0.566,-2.0,2,3,67.43,4,https://real.enamine.net/public-enum-files/Z1261985161
CN1C=NC=C1CNCC=2C=CC=3OCCCOC3C2,Z1071286922,273.331,273.331,0.596,-1.761,1,4,48.31,4,https://real.enamine.net/public-enum-files/Z1071286922
CS(=O)(=O)NC1CCCCC1CNC(=O)C2(CC=3C=CC=CC3)CC2,Z2091279977,364.504,364.504,2.864,-3.308,2,3,75.27,8,https://real.enamine.net/public-enum-files/Z2091279977
O=C(COC=1C=CC=2C=CC=CC2C1)NCCC(=O)N3CCCCC3,Z511496142,340.417,340.417,2.924,-4.602,1,3,58.64,8,https://real.enamine.net/public-enum-files/Z511496142
CC1(C)CC(CCO1)(NC(=O)C=2C=C(F)C=C3C=CN=CC23)C(N)=O,Z3590465563,345.369,345.369,0.765,-4.172,2,4,94.31,4,https://real.enamine.net/public-enum-files/Z3590465563
CC=1C=CC(=CC1NC(=O)CC2=CSC3=NC=CN23)S(C)(=O)=O,Z1455997062,349.431,349.431,0.576,-3.311,1,4,80.54,5,https://real.enamine.net/public-enum-files/Z1455997062
CN(CC1CCCN1C(=O)NC=2C=CC=C3C=CC=NC23)C=4C=CC=CC4,Z992052138,360.453,360.453,4.405,-4.71,1,3,48.47,4,https://real.enamine.net/public-enum-files/Z992052138
NC(=O)C1=CC(=NN1)C(=O)NCC(C2=CC=CS2)N3CCCC3,Z3216001220,333.411,333.411,1.182,-3.065,3,4,104.11,7,https://real.enamine.net/public-enum-files/Z3216001220
CC(NC1CCCC=2C=CC=CC21)C3=NC=4C=CC=CC4C(=O)N3,Z46207628,319.401,319.401,2.113,-4.96,2,3,53.49,3,https://real.enamine.net/public-enum-files/Z46207628
CCC1=CC=C(O1)C2COCCN2C(=O)CC3=CNC=4C=CC(F)=CC34,Z1231566334,356.392,356.392,3.308,-4.449,1,2,58.47,5,https://real.enamine.net/public-enum-files/Z1231566334
CC1=NOC(C)=C1COC2CCN(CC=3C=C(C)C(C)=CC3OC(F)F)C2,Z2164888330,380.43,380.43,3.594,-3.345,0,4,47.73,7,
CN(C)C=1C=CC(=NC1)NC(=O)C=2C=CN=CC2C(F)(F)F,Z1979141910,310.275,310.275,1.219,-2.721,1,4,58.12,5,https://real.enamine.net/public-enum-files/Z1979141910
CC1=NOC(C)=C1CNC=2N=CN=C3C=CC(C)=CC23,Z838117944,268.314,268.314,2.247,-3.298,1,4,63.84,3,https://real.enamine.net/public-enum-files/Z838117944
CC1(C)CN(CC=2C=CC=CC2)CCC1NC(=O)N3CCN(CC4CC4)CC3,Z2021311639,384.559,384.559,4.046,-2.909,1,3,38.82,5,https://real.enamine.net/public-enum-files/Z2021311639
O=C(CN(CC1CCCO1)C(=O)C=2C=NC=C(F)C2)N3CCCC3,Z1414956988,335.374,335.374,0.813,-2.249,0,4,62.74,7,https://real.enamine.net/public-enum-files/Z1414956988
CCCC1(CC1)C(=O)NCC2=CN=C(C(F)=C2)N3CCOCC3,Z1693206562,321.391,321.391,1.617,-3.098,1,4,54.46,7,https://real.enamine.net/public-enum-files/Z1693206562
CNCC1CCN(CC1)C(=O)C=2C=C(F)C(C)=CC2F,Z2242915406,282.33,282.33,1.465,-2.908,1,2,32.34,4,https://real.enamine.net/public-enum-files/Z2242915406
CC(NC(=O)NC1CCCOCC1)C=2C=CC(=CC2)OC(F)(F)F,Z1601831400,346.345,346.345,2.748,-4.041,2,3,59.59,7,https://real.enamine.net/public-enum-files/Z1601831400
CC1=CC(CC2=NC(CC=3C=CC=C(C)C3F)=NO2)=NO1,Z2997373808,287.29,287.29,2.058,-2.126,0,3,64.95,4,https://real.enamine.net/public-enum-files/Z2997373808
COCC1(CC1)C(=O)NC2=CC(Br)=CN(C)C2=O,Z1619356925,315.163,315.163,0.851,-1.517,1,3,58.64,5,https://real.enamine.net/public-enum-files/Z1619356925
C1=NN=C2C(=NC=CN12)OC=3C=CC(=CC3)C=4C=CC=CC4,Z1576484160,288.304,288.304,3.406,-5.116,0,3,52.31,3,https://real.enamine.net/public-enum-files/Z1576484160
CCC1OCCCC1C(=O)NCC=2C=CN3C=CN=C3C2,Z1866610324,287.358,287.358,1.814,-2.208,1,3,55.63,5,https://real.enamine.net/public-enum-files/Z1866610324
CN(CC1=CCCOC1)C(=O)N[C@H]2CCO[C@@H]2C3=NC=CN3C=4C=CC=CC4,Z2602220389,382.457,382.457,1.061,-2.955,1,4,68.62,7,https://real.enamine.net/public-enum-files/Z2602220389
"CN1C(CN[C@@H]2CCO[C@H]2C=3C=CC=NC3)=NC4=CC=C(Cl)C=C41 |&1:5,9,r|",Z2684568269,342.823,342.823,1.744,-2.728,1,4,51.97,4,https://real.enamine.net/public-enum-files/Z2684568269
COCC1=CCN(CC1)C(=O)NC2=NC=3CCCCCCC3S2,Z1995648516,335.466,335.466,2.896,-4.628,1,3,54.46,5,https://real.enamine.net/public-enum-files/Z1995648516
COC=1C=CC(=CN1)C(=O)NC2(CC=3C=CC=CC3)CC2,Z1729508953,282.338,282.338,3.355,-3.394,1,3,51.22,5,https://real.enamine.net/public-enum-files/Z1729508953
COC=1C=CC=C(C1)CC2CCN(CC2)C(=O)CN3C(=O)NC=4C=CC=CC43,Z1654028283,379.453,379.453,3.882,-4.761,1,3,61.88,6,https://real.enamine.net/public-enum-files/Z1654028283
[O-][N+](=O)C=1C=CC=2NC=C(C(=O)N3CCC4=CC=CC(Br)=C4C3)C2C1,Z1228404985,400.226,400.226,4.246,-6.317,1,3,79.24,3,https://real.enamine.net/public-enum-files/Z1228404985
O=C(C=1C=CC=C2C=CNC12)N3CCCN(CC4=CSC=N4)CC3,Z1274017659,340.445,340.445,1.534,-3.63,1,3,52.23,4,https://real.enamine.net/public-enum-files/Z1274017659
CC=1C=CN=C(N1)C(=O)N2CCC[C@H]2CN3C=C(N=N3)C4CC4,Z2054912389,312.37,312.37,-0.096,-1.335,0,5,76.8,5,https://real.enamine.net/public-enum-files/Z2054912389
CC=1C=C(C)N2N=C(N=C2N1)SCC3=NC(=NO3)C4=CC=CC(Cl)=C4,Z91984328,372.833,372.833,3.273,-6.193,0,5,82.0,4,https://real.enamine.net/public-enum-files/Z91984328
CC=1C=C(N=C(N1)C=2C=CN=CC2)N3CCOC(C)C3,Z872491522,270.33,270.33,1.628,-2.627,0,5,51.14,2,https://real.enamine.net/public-enum-files/Z872491522
"N#C[C@H]1CC[C@H](C1)NC(=O)N2CCN(CC2)C(=O)C3=CC=4C=CC=CC4N3 |&1:2,5,r|",Z2416529437,365.43,365.43,1.88,-4.518,2,3,92.23,2,https://real.enamine.net/public-enum-files/Z2416529437
COC(=O)NC=1C=CC=C(C1)NC(=O)NCC(C)N2CCN(C)CC2,Z3016334513,349.429,349.429,0.29,-1.468,3,5,85.94,9,https://real.enamine.net/public-enum-files/Z3016334513
O=C(NC=1C=CC=C(C1)OCCF)N2CCC(CN3C=CC=N3)CC2,Z1417674274,346.4,346.4,1.758,-2.971,1,3,59.39,8,https://real.enamine.net/public-enum-files/Z1417674274
CN(C)CC=1C=CC=CC1C(=O)N2CCOC(C2)C3=NN=NN3,Z2196348832,316.359,316.359,-0.441,-2.47,1,6,87.24,5,https://real.enamine.net/public-enum-files/Z2196348832
O=C(NC=1C=CC=C(C1)OC=2C=CC=CC2)NC3CCCCNC3=O,Z505814644,339.389,339.389,3.343,-4.408,3,2,79.46,4,https://real.enamine.net/public-enum-files/Z505814644
CCN(CC)S(=O)(=O)CC(=O)N1CC(O)C2(CC2)C1,Z1748044051,290.381,290.381,0.975,-0.854,1,4,77.92,6,https://real.enamine.net/public-enum-files/Z1748044051
COC=1C=CC(Br)=CC1CSC2=NN=C(O2)C3COC=4C=CC=CC4O3,Z96865248,435.293,435.293,3.595,-6.47,0,5,66.61,5,https://real.enamine.net/public-enum-files/Z96865248
CC(=O)NCC1=CC=C(O1)C2CCCN2C=3C=CC(F)=CC3C#N,Z1697110453,327.354,327.354,1.995,-3.797,1,3,69.27,4,https://real.enamine.net/public-enum-files/Z1697110453
CN(C)CC1=C(OC=2C=CC=CC12)C(=O)N3CC[C@H](N)C3,Z2375518722,287.358,287.358,0.651,-3.072,1,3,62.71,4,https://real.enamine.net/public-enum-files/Z2375518722
CO[C@@H]1C[C@@H](C2=NC(C)=C(C)N2)N(CC3=CC=4C=CC=CC4N=C3O)C1,Z2384435988,352.431,352.431,2.266,-2.834,2,5,74.27,4,https://real.enamine.net/public-enum-files/Z2384435988
CC=1OC=2N=CNC(=O)C2C1C(=O)N(C)CC=3C=CC=4C=CC=CC4C3,Z145623018,347.368,347.368,2.13,-6.145,1,3,74.91,3,https://real.enamine.net/public-enum-files/Z145623018
COC=1C=C(C)N=C(C1)CN2CC(O)CC2C=3C=CC=C(F)C3,Z1994547710,316.371,316.371,2.633,-2.367,1,4,45.59,4,https://real.enamine.net/public-enum-files/Z1994547710
C[C@@H](NS(=O)(=O)C=1C=CC(OC(F)F)=C(F)C1)C(=O)O,Z1931654114,313.252,313.252,1.862,-2.787,2,5,92.7,6,https://real.enamine.net/public-enum-files/Z1931654114
CCCN(C(=O)C=1C=C(C=CN1)C(=O)O)C2CCC3=CC=CC=C3C2,Z2358663884,338.401,338.401,3.161,-3.802,1,4,70.5,6,https://real.enamine.net/public-enum-files/Z2358663884
CC1(C)CN(CC(O1)C(F)(F)F)C(=O)C2=NC=C3C=CC=CC3=C2O,Z2640267180,354.324,354.324,3.295,-4.666,1,4,62.66,3,https://real.enamine.net/public-enum-files/Z2640267180
CCN1C=CC=C(NC(=O)N2CC(C2)C3CCCC3)C1=O,Z2361218339,289.373,289.373,1.564,-3.692,1,2,52.65,5,https://real.enamine.net/public-enum-files/Z2361218339
CC(C)(C)OC(=O)N1CCN2N=C(C=C2C1)NC(=O)C3=CSC(C#N)=C3,Z3409369217,373.431,373.431,1.96,-3.969,1,4,100.25,6,https://real.enamine.net/public-enum-files/Z3409369217
COCCN(C(=O)NCC=1C=C(ON1)C=2C=CC(F)=CC2F)C3CC3,Z2823350123,351.349,351.349,2.345,-3.493,1,3,67.6,9,https://real.enamine.net/public-enum-files/Z2823350123
CC(=O)NC=1C=C(C=CC1C)C(=O)N(CC(=O)O)C2CCC2,Z2504193701,304.342,304.342,1.074,-3.007,2,4,86.71,7,https://real.enamine.net/public-enum-files/Z2504193701
CCOC=1C(Br)=CC(Cl)=CC1NC(=O)N2CCCC2CCO,Z1750633672,391.688,391.688,3.295,-4.347,2,3,61.8,7,https://real.enamine.net/public-enum-files/Z1750633672
CC(CC1=CC=CS1)NS(=O)(=O)C2CC(C2)C(=O)O,Z2887324760,303.4,303.4,2.008,-2.421,2,4,83.47,6,https://real.enamine.net/public-enum-files/Z2887324760
O=C(NC=1C=CC=2NN=CC2C1)C3CC(=O)N(C3)C4=CC=CC=C4F,Z237451440,338.337,338.337,3.321,-4.217,2,3,78.09,4,https://real.enamine.net/public-enum-files/Z237451440
O=C(O)C(F)(F)F.CN1N=CN=C1CNC2CCCC3=CC(F)=CC=C32,Z8535466542,374.334,260.311,0.899,-3.289,1,3,42.74,4,https://real.enamine.net/public-enum-files/Z8535466542
COC(=O)C=1C=CC(=CC1Cl)S(=O)(=O)N(C)C=2C=NC=CN2,Z2041223285,341.771,341.771,1.675,-2.623,0,5,89.46,5,https://real.enamine.net/public-enum-files/Z2041223285
CC1=NOC(=N1)[C@@H]2[C@@H](C)OCCN2C(=O)C3=C(C)OC=4C=CC=CC34,Z2063300742,341.362,341.362,1.963,-3.459,0,4,81.6,3,https://real.enamine.net/public-enum-files/Z2063300742
CC1COCC(C)N1C(=O)C=2C=CC(=CC2)OC(F)F,Z1251607052,285.287,285.287,2.476,-3.325,0,3,38.77,4,https://real.enamine.net/public-enum-files/Z1251607052
CN1C=C(C=N1)[C@H]2OCCC[C@@H]2NC(=O)C3=NNC4=CC=CC=C34,Z1756698108,325.366,325.366,1.336,-3.072,2,4,84.83,4,https://real.enamine.net/public-enum-files/Z1756698108
CCC1=CC=2C(=NC=NC2S1)NCC=3C=CC=C(N3)OC,Z963809168,300.381,300.381,3.516,-4.788,1,5,59.93,5,https://real.enamine.net/public-enum-files/Z963809168
CN(CC=1C=CC=2OCCOC2C1)C(=O)CN3C(=O)CCOC=4C=CC=CC43,Z95782052,382.411,382.411,2.468,-4.42,0,5,68.31,4,https://real.enamine.net/public-enum-files/Z95782052
COC=1C=C(C=C(C(=O)O)C1OC)S(=O)(=O)N(C)C=2C(C)=NOC2C,Z1310788928,370.379,370.379,0.411,-2.126,1,7,119.17,5,https://real.enamine.net/public-enum-files/Z1310788928
O=C(NC1CCC(CC1)C=2C=CC(F)=CC2)C=3C=CN=NC3,Z1641191894,299.343,299.343,2.861,-3.648,1,3,54.88,4,https://real.enamine.net/public-enum-files/Z1641191894
CC=1C=CC(=CC1Cl)NC(=O)N2CCC(CC=3C=CC=NC3)CC2,Z1575691089,343.851,343.851,3.804,-4.056,1,2,45.23,5,https://real.enamine.net/public-enum-files/Z1575691089
CC(=O)N1CCC(C)(C1)C2=NC(=NO2)C=3C=CC=C(C3)N4CCNC4=O,Z1890249607,355.392,355.392,-0.479,-3.169,1,4,91.57,4,https://real.enamine.net/public-enum-files/Z1890249607
CCOC=1C=C(C=CC1C)C(=O)N2CC[C@@H](N)C2,Z2242905396,248.321,248.321,1.505,-2.936,1,3,55.56,3,https://real.enamine.net/public-enum-files/Z2242905396
CCC1=C(C=NN1C=2C=CC=CC2)NC(=O)N3CCCC(C3)C(N)=O,Z2058418272,341.408,341.408,1.278,-3.104,2,3,93.25,6,https://real.enamine.net/public-enum-files/Z2058418272
CCC1=C(C=NN1CC=2C=CC=CC2)C(=O)N3CCC4=C(C3)N=C(C(C)C)N4C,Z1188826501,391.51,391.51,3.051,-3.32,0,3,55.95,6,https://real.enamine.net/public-enum-files/Z1188826501
CC=1C=CN(C)C(=O)C1NC(=O)C(C)OC=2C=CC(F)=CC2,Z1411356756,304.317,304.317,1.35,-3.121,1,3,58.64,5,https://real.enamine.net/public-enum-files/Z1411356756
CC(C)(C)OC(=O)N1CC=2C=CC(=CC2C1)CNC(=O)C=3C=CNC3,Z1768443769,341.405,341.405,2.818,-3.732,2,2,74.43,7,https://real.enamine.net/public-enum-files/Z1768443769
COC=1C=CC(=CC1)C2=NN=C3C=CC(=NN23)OC4=CC=CC=C4OC(C)C,Z1037335474,376.409,376.409,4.076,-6.27,0,5,70.77,6,https://real.enamine.net/public-enum-files/Z1037335474
O=C(C=1C=CN(N1)C=2C=CC(Cl)=C(Cl)C2)N3CCOC=4C=CN=CC43,Z1348915548,375.209,375.209,3.003,-4.691,0,4,60.25,3,https://real.enamine.net/public-enum-files/Z1348915548
"CN1C=CN=C1[C@H]2[C@H](CNC3=CC=CC(C#N)=N3)CCC(=O)N2C4CC4 |&1:6,7,r|",Z2616046644,350.419,350.419,0.992,-2.284,1,5,86.84,5,https://real.enamine.net/public-enum-files/Z2616046644
COC=1C=C(C=CC1C)CNC=2C=C(C=C(C)C2C)S(N)(=O)=O,Z2682990877,334.435,334.435,2.996,-3.974,2,4,81.42,5,https://real.enamine.net/public-enum-files/Z2682990877
CCC(C)NC(=O)C=1C=NC(C2=NC(C)(C(=O)N2)C(C)C)=C(O)C1,Z2690302634,332.398,332.398,1.295,-3.094,3,5,103.68,6,https://real.enamine.net/public-enum-files/Z2690302634
CCN(C(=O)CN1CCCC1=O)C=2C=CC=CC2C(=O)OC,Z1229868129,304.342,304.342,1.643,-2.811,0,3,66.92,7,https://real.enamine.net/public-enum-files/Z1229868129
CC1=CC=C(CN(C)C(=O)NCC2CCN(CCO)CC2)O1,Z2019908253,309.405,309.405,0.682,-0.89,2,3,68.95,8,https://real.enamine.net/public-enum-files/Z2019908253
CC=1C=C2OCOC2=CC1NC(=O)C3=COC(=N3)C4CCOCC4,Z1885722108,330.336,330.336,1.183,-3.179,1,5,82.82,3,https://real.enamine.net/public-enum-files/Z1885722108
CC(C(=O)NCC1=NN=CN1C2CC2)N3CCC4=CC=CC=C4C3,Z1199719437,325.409,325.409,0.862,-2.118,1,4,63.05,6,https://real.enamine.net/public-enum-files/Z1199719437
