SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
Cl.NCC1CCN(CC1)S(=O)(=O)C2=CC=3C=CC=CC3OC2,Z2040107446,344.858,308.398,1.664,-3.509,1,4,72.63,3,https://real.enamine.net/public-enum-files/Z2040107446
O=C1NC(=NC=2C=C(C=CC12)C(F)(F)F)C=3C=CNC3,Z1646204247,279.218,279.218,2.166,-4.475,2,2,57.25,2,https://real.enamine.net/public-enum-files/Z1646204247
NC(=O)C1=C(NC(=O)COC(=O)C2=NNC(=O)C=3C=CC=CC23)SC=4CCCCC14,Z94561061,426.448,426.448,1.249,-6.722,3,5,139.95,6,https://real.enamine.net/public-enum-files/Z94561061
CCOCC(=O)N1CC2=CN=NN2CC=3C=CC=CC31,Z1819488684,272.303,272.303,0.598,-1.964,0,4,60.25,4,https://real.enamine.net/public-enum-files/Z1819488684
O=S(=O)(NCCC=1C=CC=C(O)C1)C=2C=CC(F)=CC2,Z1496926610,295.331,295.331,2.796,-3.04,2,3,66.4,5,https://real.enamine.net/public-enum-files/Z1496926610
CCC1=CC(C)=C(O1)C(=O)N2CCC3(CC3N(C)CC4=NC=CS4)CC2,Z1761495981,373.514,373.514,2.044,-2.785,0,3,49.58,5,https://real.enamine.net/public-enum-files/Z1761495981
CC(C)N1C=CC(CSC=2N=C(O)C=C(N2)C3CC3)=N1,Z1882975319,290.386,290.386,2.975,-2.884,1,4,63.83,5,https://real.enamine.net/public-enum-files/Z1882975319
CC1=CC(C)=NN1CC2CCCCN2CC3=NC=4C=CC=NC4N3,Z1139476087,324.424,324.424,2.33,-2.11,1,4,62.63,4,https://real.enamine.net/public-enum-files/Z1139476087
COC1CCC(C1)NC2CCCN(CC2)C(=O)OC=3C=CC=CC3,Z2039967000,332.438,332.438,2.233,-3.152,1,3,50.8,6,https://real.enamine.net/public-enum-files/Z2039967000
CC1COC(CN1CC=2C=NN(C)C2)C=3C=CC=C(Cl)C3,Z1771018149,305.803,305.803,2.794,-2.013,0,3,30.29,3,https://real.enamine.net/public-enum-files/Z1771018149
COC=1C=CC(=CN1)N(C)C(=O)C2=CC(C)=C(S2)C=3C=CC(F)=CC3,Z1023095528,356.416,356.416,3.922,-5.74,0,3,42.43,5,https://real.enamine.net/public-enum-files/Z1023095528
