ligand_id,ligand_id,smiles,predicted_vina_mean,predicted_vina_std,predicted_gnina_mean,predicted_gnina_std,final_score,rank_confidence,mean_rank,std_rank,SA,QED
Z1269206754,Z1269206754,COc1cc(F)c(Br)c(OC)c1,-5.138683,1.4732586,4.604368,1.6387581,-5.8753123,0.004255267043613,1382442.2,4113.51613100034,2.0091333883309144,0.7838182712835443
Z18364264,Z18364264,COC(=O)c1cc(OC)c(OC)c(OC)c1,-5.1776586,0.6970954,4.523573,1.1288539,-5.526206,0.0030045017466777,1384178.7,3199.244115412264,1.6215563465469014,0.7280380918950724
Z2169606640,Z2169606640,CCOc1cc(N(C)C)cc(N(C)C)c1,-4.7948856,0.4117012,4.520656,1.5346824,-5.000736,0.0037691864443403,1383117.05,3316.1370369000138,2.1202296572654546,0.7542632805796168
Z432100232,Z432100232,COc1cc(OC)c2c(c1)OCCC2=O,-4.89799,1.6836338,4.5071063,1.6441383,-5.739807,0.0095818777685742,1375047.0,17706.23090327244,2.187406745177544,0.7411522799009458
Z105009720,Z105009720,C#CCNC(=O)CN1CCCCCCC1,-4.764291,1.520092,4.501672,1.5142673,-5.524337,0.0129569993157345,1370361.15,26648.987485972146,2.0472268576232366,0.7018232694232875
Z54794538,Z54794538,CCOc1ccc(C#N)cc1OC,-5.22144,0.98105425,4.4991293,0.97793347,-5.711967,0.0039819209853423,1382821.7,4984.723754632749,1.6617820577011333,0.7083521108955553
Z90122579,Z90122579,COc1cc(OC)c(OC)cc1CO,-5.5404234,0.87563276,4.489644,0.8756394,-5.97824,0.0022949544423236,1385163.8,3305.5250354520085,1.7090599379188607,0.789425356631236
Z406520390,Z406520390,COc1cc(OC)c(OC)cc1N,-5.207612,1.156121,4.482749,1.0020511,-5.7856727,0.0044898620664818,1382116.5,6404.737227240475,1.6754397500088256,0.7173450122688151
Z1269223989,Z1269223989,Nc1c(Br)cncc1Br,-2.7462332,0.5259623,4.442085,1.4445235,-3.0092144,0.0426820326286599,1329092.4,39000.59805746573,2.714922237994788,0.7679799818187163
Z56944509,Z56944509,CNCc1ccc(OC)c(OC)c1OC,-4.8309455,1.1281219,4.4384456,1.4336395,-5.395006,0.0069839377678538,1378653.85,17720.212414852707,1.8877443758395653,0.799471112533526
Z1269166464,Z1269166464,Nc1c(Br)cccc1Br,-3.017139,0.9315439,4.3893456,1.671103,-3.4829109,0.0431318111427234,1328467.95,60848.15801934763,2.1643010841486348,0.7045577245854464
Z102767670,Z102767670,CNCc1cc(OC)cc(OC)c1,-5.1335287,1.7910414,4.3620687,1.4951771,-6.0290494,0.012593906435697,1370865.25,28554.141578543386,1.745612826931902,0.7617141845150504
Z389861018,Z389861018,COc1cc(OC)c(CN)c(OC)c1,-4.8183913,0.8710266,4.33835,0.9600498,-5.253905,0.0051355205819857,1381220.1,6438.435601137903,1.9635595330605575,0.7868394421637319
Z533996776,Z533996776,CC(NC(=O)Nc1ccc(N2CCOCC2)nc1)c1nncn1C,-0.8364123,0.3336529,4.3368338e-05,0.25835696,-1.0032388,0.2829306731011632,995543.2,101669.09126504476,2.8430709919662327,0.8649037472055311
Z2050110979,Z2050110979,COc1cc(C=O)c(OC)c(OC)c1OC,-4.51624,0.37632382,4.3316393,0.87716645,-4.704402,0.0057528361004068,1380363.05,7121.919632198892,2.1088314807150574,0.712551529053645
Z44611068,Z44611068,CCCCNC(=O)N1CCCCCCC1,-4.3293934,1.4257442,4.3296933,1.4121529,-5.0422654,0.0183127813591673,1362925.45,37784.261753374245,1.7187155874980142,0.7167756459543517
Z85923173,Z85923173,COc1cc(C#N)ccc1OC(F)F,-4.921579,0.880051,4.324463,1.1427097,-5.361604,0.0050682104656606,1381313.55,6878.992066247787,1.9661611524937577,0.7486244118423137
Z330914644,Z330914644,COc1cc(C(C)N)cc(OC)c1OC,-4.972362,1.0005729,4.3147697,1.2076417,-5.4726486,0.004494327799186,1382110.3,5532.710774114258,2.3137954204925055,0.8236731686030468
Z448098876,Z448098876,CC(C)NC(=O)OCC(F)(F)F,-5.30087,1.2083137,4.2950044,1.1562713,-5.905027,0.0026976626931249,1384604.7,2598.8710260418848,2.213343099869377,0.7103119060333601
Z56989641,Z56989641,CCOc1c(Cl)cc(C#N)cc1OC,-4.3665495,0.7270541,4.2949314,1.2961632,-4.730077,0.0073796593078114,1378104.45,8380.638128895675,1.98302795411319,0.7720052445503226
Z1226793701,Z1226793701,C=C(Br)CNC(C)(C)C(=O)OC,-4.7791433,1.136622,4.291576,0.9284938,-5.347454,0.0072225303417725,1378322.6,11604.195997138277,2.9769169460232234,0.7502864520544554
Z1263129694,Z1263129694,C#CCN(C)c1cc(OC)c(OC)c(OC)c1,-4.7227583,0.87115705,4.285783,0.8283244,-5.1583366,0.0068437713832967,1378848.45,11754.335210785,2.417603036690055,0.7279100706653558
Z1219738605,Z1219738605,COc1cc(O)cc(OC)c1OC,-5.5610948,0.80074215,4.279866,0.403389,-5.961466,0.0036993913638492,1383213.95,7344.076337259846,1.7324107390198158,0.7712681798352244
Z57756597,Z57756597,COc1cc(C#N)cc(Cl)c1OC,-4.2391553,0.6948089,4.2637215,1.0207518,-4.58656,0.0078556199805525,1377443.65,8461.636852731272,1.9586964533055298,0.730321077950834
Z56173976,Z56173976,CNCc1ccc(OC)c(OC)c1,-5.0045996,1.2227284,4.2515674,1.1911428,-5.615964,0.0060874419274679,1379898.5,11814.20867218791,1.5301897500088266,0.7617141845150504
Z1544712728,Z1544712728,CN(C)c1ccc(C#N)cc1Br,-3.9162152,0.8541523,4.250653,1.6046852,-4.3432913,0.0151463968019591,1367321.5,22312.569841907494,2.2278766575616835,0.7331449353411562
Z55292532,Z55292532,O=C(NCCCl)OCC(F)(F)F,-4.943349,1.2885263,4.2381935,0.8325442,-5.587612,0.0047802427341807,1381713.35,5599.34232097842,2.44981054403811,0.7096960274579629
Z425841796,Z425841796,CCOc1c(OC)cc(CN)cc1OC,-4.7735777,1.1699114,4.238019,1.3143685,-5.3585334,0.006725681564447,1379012.4,11566.216859457549,1.8285436253705214,0.8026633106056643
Z1269212576,Z1269212576,COc1cc(OC)c(OC)cc1I,-4.492046,1.2695401,4.210246,1.6088201,-5.126816,0.0067753808477689,1378943.4,5379.762758709719,1.844501288470365,0.8007489259290402
Z3243491618,Z3243491618,CN(C)c1ccc(C#N)c(Br)c1,-4.055195,0.9587244,4.200163,1.4899417,-4.534557,0.012382360355818,1371158.95,20079.9768263686,2.3429598306386072,0.7331449353411562
Z808597868,Z808597868,FC(F)(F)COCCCN1CCNCC1,-4.927611,0.9572191,4.198439,0.65671504,-5.4062204,0.0038220549573234,1383043.65,3075.383216365076,2.3277375144083123,0.7036492038188126
Z838204250,Z838204250,COCCCNC(=O)OCC(F)(F)F,-5.1381297,1.1017072,4.1932135,0.75450015,-5.6889834,0.0034448445997046,1383567.35,3296.889538261784,2.1528036626152147,0.7031989320798896
Z442350448,Z442350448,COc1cc(C)c(Br)cc1OC,-4.773725,1.2456769,4.186459,0.9533969,-5.3965635,0.0059031944394424,1380154.3,7610.670680695624,1.6392377152539925,0.7785798898372389
Z275747624,Z275747624,O=C(Nc1nccs1)N1CCCCCC1,-4.338393,1.6144836,4.1658735,1.7140208,-5.145635,0.0280662296971224,1349384.25,62150.331630551256,1.9973862656570631,0.7979638266603015
Z228585338,Z228585338,COc1cc(CO)cc(OC)c1OC(F)F,-5.0764337,0.53551763,4.1598043,0.9418254,-5.3441925,0.0031927827997262,1383917.3,4390.340204357744,2.066797133666757,0.8434196983922053
Z3919190219,Z3919190219,COc1cc(OC)cc(OS(=O)(=O)F)c1,-4.9079847,0.7861313,4.1512475,0.6905086,-5.30105,0.0044340043937046,1382194.05,4993.264077484787,2.3587642726500704,0.7371327107406328
Z1535581716,Z1535581716,CNC(=O)CCN1CCCSCC1,-4.5854597,0.66026276,4.149031,0.76254696,-4.9155912,0.0050681744516871,1381313.6,4492.2181091305,2.3261303944994705,0.7256564523589843
Z2736561843,Z2736561843,CNCc1cc(OC)c(OC)cc1OC.Cl,-5.612506,1.8848752,4.127185,1.4263725,-6.5549436,0.0073121691216192,1378198.15,15247.334220364555,1.9121517720516295,0.862250141062713
Z1535580893,Z1535580893,c1csc(CN2CCCSCC2)n1,-3.7834754,1.2641716,4.125862,1.2232089,-4.415561,0.0281338999531818,1349290.3,53460.643396895255,2.5576776198313116,0.7496762242993995
Z1269124531,Z1269124531,COc1cc(Br)c(OC)cc1C,-4.802161,0.9927806,4.125588,1.273532,-5.2985516,0.0050486548780926,1381340.7,5126.551112590218,1.7432526191001454,0.7785798898372389
Z2235409284,Z2235409284,Br.Br.Br.NCc1cc(CN)cc(CN)c1,-4.6379,1.9615837,4.1176705,1.9195069,-5.618692,0.0294444844599705,1347470.75,67363.87963506482,2.639283737124849,0.7144424807696796
Z432083190,Z432083190,COc1ccc(N)c(OC)c1OC,-4.57052,0.90287983,4.111545,0.68962157,-5.02196,0.0068097381784132,1378895.7,8614.619789056274,1.8797100796791568,0.7173450122688151
Z1831379493,Z1831379493,CCN1CCCN(CCCC(C)O)CC1,-4.885768,0.9028879,4.1082225,0.7028319,-5.337212,0.0040053660820399,1382789.15,3049.122714404916,2.457573552360639,0.7441608572699739
Z56957486,Z56957486,CNCc1ccc(OC)cc1OC,-5.061359,1.1161382,4.1003428,1.2174101,-5.619428,0.0042100334929953,1382505.0,5079.964133731654,1.6596128269319053,0.7617141845150504
